layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0.2918,0.2918,1.3769,1.0267,1.5309,1.095,1.1808,1.1613,0.9761,0.758,1.396
2,0.203,0.203,142.7498,140.127,185.8859,110.0906,151.5336,147.3572,118.9509,0.798,118.967
3,0.203,0.203,88.5096,93.0925,113.3065,71.0952,99.7872,99.4269,79.4145,0.798,79.499
4,0.203,0.203,61.6816,58.4575,82.6935,53.056,70.9646,70.2742,58.4745,0.798,58.546
5,0.203,0.203,44.8497,47.9403,66.0352,40.8416,54.9215,55.2212,44.3889,0.798,44.449
6,0.203,0.203,31.2941,39.7754,54.6207,34.235,44.236,44.4667,35.0877,0.798,35.116
7,0.203,0.203,24.1718,31.1883,41.8376,27.0254,34.908,35.3571,28.2409,0.798,28.254
8,0.2029,0.2029,20.1455,29.3592,37.5485,23.4704,29.5327,29.8877,23.5863,0.798,23.596
9,0.2029,0.2029,16.0134,25.6552,33.1913,20.573,25.3079,25.9285,20.6206,0.798,20.676
10,0.2029,0.2029,12.7941,21.8222,28.8335,18.2646,22.488,22.7247,18.2214,0.798,18.222
11,0.2029,0.2029,12.3305,18.7867,25.2103,16.1293,19.7644,20.0344,16.0931,0.798,16.082
12,0.2028,0.2028,11.7603,16.9624,22.9613,14.7147,17.7806,18.0284,14.2651,0.798,14.263
13,0.2028,0.2028,10.9741,16.542,21.701,13.678,16.5949,16.892,13.1372,0.798,13.112
14,0.2028,0.2028,10.044,15.0087,19.8307,12.448,14.9008,15.0244,11.677,0.798,11.693
15,0.2084,0.2084,9.1353,12.4378,15.8712,9.9652,11.9128,12.1201,9.5661,0.793,9.624
16,0.2084,0.2084,8.1534,10.6604,13.8605,9.1923,10.698,10.7886,8.4385,0.793,8.459
17,0.2084,0.2084,7.7281,8.9979,11.9489,8.2083,9.3914,9.3103,7.4342,0.793,7.411
18,0.2084,0.2084,5.8364,7.9457,10.4508,7.1047,8.0556,8.062,6.4997,0.793,6.508
19,0.2084,0.2084,5.6688,7.0216,9.0494,6.3795,7.0991,7.0769,5.6556,0.793,5.612
20,0.2055,0.2055,5.8513,6.2254,7.8309,5.8677,6.4484,6.3879,5.4001,0.796,5.385
21,0.2055,0.2055,5.407,5.3592,6.6259,5.1983,5.6299,5.547,4.8071,0.796,4.808
22,0.2055,0.2055,4.9094,4.8059,5.897,4.7615,5.1133,5.0292,4.387,0.796,4.398
23,0.2054,0.2054,4.3733,4.3955,5.3212,4.3964,4.7005,4.5964,4.0546,0.796,4.071
24,0.2054,0.2054,4.1438,4.1394,4.897,4.1129,4.3325,4.1992,3.736,0.796,3.744
25,0.2054,0.2054,3.9065,3.8816,4.6195,3.9143,4.0418,3.9219,3.4784,0.796,3.479
26,0.2054,0.2054,3.6924,3.7042,4.4134,3.7173,3.7973,3.679,3.245,0.796,3.235
27,0.2054,0.2054,3.6481,3.5925,4.2608,3.5741,3.6251,3.5158,3.0698,0.796,3.015
28,0.2064,0.2064,3.4594,3.3638,4.0185,3.347,3.3503,3.2664,2.829,0.795,2.738
29,0.2074,0.2074,3.2384,3.062,3.6929,3.0907,3.0646,2.9943,2.5799,0.795,2.419
30,0.219,0.219,2.9594,2.7098,3.2767,2.7709,2.6906,2.6443,2.274,0.819,2.067
31,0.2797,0.2797,4.0727,2.9042,2.5715,2.4463,2.4172,2.3301,1.9272,0.965,1.707
32,0.112,0.112,1.151,1.1503,1.1364,1.1104,1.1185,1.1143,1.0766,0.994,0.443
