layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.9822,0.84214,0.17753,
2,0.9182,0.00152,0.60028,
3,0.92394,0.03642,0.51047,
4,0.91759,0.0671,0.47649,
5,0.91792,0.12009,0.4254,
6,0.91196,0.11781,0.42573,
7,0.91223,0.16977,0.40448,
8,0.90818,0.19955,0.40703,
9,0.90461,0.20357,0.41424,
10,0.9005,0.22324,0.41826,
11,0.89961,0.23871,0.41616,
12,0.89946,0.2716,0.41481,
13,0.89535,0.31338,0.42282,
14,0.89657,0.38756,0.42196,
15,0.8992,0.41777,0.41482,
16,0.89928,0.52801,0.41741,
17,0.90154,0.62816,0.41531,
18,0.90102,0.64366,0.41547,
19,0.90242,0.68302,0.41375,
20,0.90436,0.7017,0.41005,
21,0.90354,0.71342,0.41386,
22,0.90224,0.71188,0.41753,
23,0.89934,0.7056,0.42419,
24,0.89548,0.70411,0.43183,
25,0.89113,0.70201,0.44087,
26,0.88711,0.69993,0.44903,
27,0.88082,0.70097,0.46203,
28,0.87611,0.69322,0.46979,
29,0.87012,0.68808,0.4796,
30,0.86955,0.6934,0.4791,
31,0.8599,0.67942,0.49728,
32,0.85899,0.69864,0.50148,0.6844
