layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0.0823,0.0823,0.291,0.1656,0.2118,0.2034,0.1965,0.1884,0.1783,1.071,1.017
2,0.0146,0.0146,0.464,0.4823,0.6542,0.4753,0.347,0.3601,0.6641,0.997,1.316
3,0.0146,0.0146,0.4044,0.4035,0.4984,0.4332,0.3361,0.3485,0.5623,0.997,1.192
4,0.0146,0.0146,0.3818,0.3984,0.4544,0.4451,0.3571,0.3784,0.5196,0.997,1.128
5,0.0146,0.0146,0.3833,0.3796,0.4147,0.4348,0.3609,0.3807,0.4571,0.997,1.061
6,0.0145,0.0145,0.3604,0.392,0.4013,0.4434,0.3733,0.3941,0.4569,0.997,1.048
7,0.0144,0.0144,0.3462,0.3723,0.3712,0.4357,0.3725,0.3857,0.4328,0.997,1.02
8,0.0142,0.0142,0.3415,0.3937,0.3765,0.4353,0.3784,0.3863,0.4348,0.997,0.994
9,0.0141,0.0141,0.3372,0.3928,0.3781,0.4299,0.3763,0.3874,0.4438,0.997,0.993
10,0.014,0.014,0.3094,0.3835,0.3697,0.4331,0.3898,0.3957,0.4494,0.997,0.992
11,0.0141,0.0141,0.3209,0.3707,0.3528,0.4267,0.3882,0.393,0.4474,0.997,0.983
12,0.0141,0.0141,0.3197,0.3674,0.3511,0.4234,0.3884,0.3891,0.4459,0.997,0.984
13,0.0141,0.0141,0.3232,0.3797,0.3643,0.427,0.3913,0.3954,0.4544,0.997,0.979
14,0.0142,0.0142,0.3143,0.3725,0.3579,0.4185,0.3849,0.3883,0.4543,0.997,0.984
15,0.0143,0.0143,0.323,0.3575,0.3569,0.398,0.3634,0.3705,0.4472,0.997,0.974
16,0.0143,0.0143,0.3199,0.351,0.3481,0.3997,0.366,0.3732,0.4506,0.997,0.976
17,0.0144,0.0144,0.3273,0.3385,0.3433,0.3995,0.3661,0.3685,0.4484,0.997,0.982
18,0.0144,0.0144,0.3196,0.3431,0.3456,0.3912,0.3595,0.3652,0.4491,0.997,0.979
19,0.0144,0.0144,0.3354,0.3436,0.3449,0.3916,0.3616,0.3657,0.4465,0.997,0.983
20,0.0154,0.0154,0.3574,0.3337,0.3394,0.3829,0.352,0.3578,0.4424,0.997,0.985
21,0.0155,0.0155,0.3844,0.3351,0.3328,0.3845,0.3542,0.3585,0.4464,0.997,0.994
22,0.0157,0.0157,0.4026,0.344,0.3344,0.3932,0.3606,0.3601,0.4497,0.997,0.998
23,0.0158,0.0158,0.4062,0.3528,0.3415,0.4009,0.3683,0.3638,0.4569,0.997,1.001
24,0.0161,0.0161,0.4179,0.3652,0.3519,0.4131,0.3768,0.3698,0.4646,0.997,0.997
25,0.0162,0.0162,0.4335,0.376,0.3643,0.4281,0.3879,0.3777,0.4738,0.997,0.996
26,0.0162,0.0162,0.4475,0.3892,0.3775,0.4433,0.4022,0.3856,0.4816,0.997,0.998
27,0.0163,0.0163,0.4724,0.4129,0.3995,0.4621,0.4205,0.3975,0.4943,0.997,0.998
28,0.0168,0.0168,0.4899,0.4276,0.4183,0.4756,0.4281,0.4033,0.5016,0.997,0.993
29,0.0174,0.0174,0.5072,0.4451,0.4374,0.4893,0.4399,0.4116,0.5113,0.997,0.986
30,0.0183,0.0183,0.5357,0.4483,0.4379,0.4927,0.439,0.4066,0.5098,0.997,0.978
31,0.0401,0.0401,0.5612,0.4671,0.4584,0.5072,0.451,0.4186,0.528,1.001,0.975
32,0.0242,0.0242,0.5038,0.4766,0.4274,0.4911,0.459,0.4334,0.5363,1.004,0.986
