layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.99311,0.99748,0.11329,
2,0.99428,0.99809,0.10211,
3,0.99384,0.99747,0.10615,
4,0.99294,0.99596,0.11412,
5,0.98695,0.99295,0.15539,
6,0.49604,0.5659,6.01203,
7,0.39641,0.52617,15.38311,
8,0.4079,0.54918,14.65738,
9,0.41816,0.56336,13.91707,
10,0.42102,0.56063,12.37172,
11,0.45415,0.59454,11.57188,
12,0.45464,0.60636,10.9404,
13,0.44022,0.60317,10.79559,
14,0.421,0.60712,10.78219,
15,0.39958,0.58777,10.86174,
16,0.37795,0.59206,10.8834,
17,0.37007,0.57576,10.78998,
18,0.3725,0.55747,10.57429,
19,0.36487,0.55206,10.31784,
20,0.34503,0.4989,10.4142,
21,0.33887,0.50229,10.34906,
22,0.33014,0.5152,10.11325,
23,0.33426,0.51737,12.65212,
24,0.35754,0.51267,12.50067,
25,0.34749,0.53124,11.93711,
26,0.34635,0.56979,11.66502,
27,0.31484,0.53454,12.10252,
28,0.31629,0.51732,13.2914,
29,0.34121,0.46988,12.66841,
30,0.34315,0.47773,12.17965,
31,0.34153,0.42978,11.48399,
32,0.35339,0.41679,10.47082,
33,0.35534,0.39928,9.75033,
34,0.36795,0.38224,8.72607,
35,0.39339,0.43299,7.76163,
36,0.42044,0.44616,6.89762,
37,0.43309,0.44105,6.07016,
38,0.46682,0.50015,5.25483,
39,0.48021,0.52595,4.74743,
40,0.49336,0.52917,4.16554,
41,0.5158,0.55186,3.58419,
42,0.52359,0.56405,3.18247,
43,0.51846,0.56107,2.84168,
44,0.52804,0.56703,2.45268,
45,0.47078,0.50959,1.17796,
46,0.46862,0.51235,1.10709,
47,0.53333,0.57506,1.87968,
48,0.03044,0.01036,1.26966,0.0341
