layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4,1.5,1.6,1.6,1.5,1.4,1.6,1.4
1,0.2022,0.1533,0.1044,0.1051,0.1239,0.1215,0.1453,0.0666,0.1113,0.977,0.972,0.966,0.983,0.992,0.996,0.994,0.995,0.986,19.6,31.9,21.5,26.1,31.6,25.2,25.5,20.0,22.8
2,0.167,0.1473,0.0791,0.091,0.1134,0.1094,0.1393,0.0542,0.1007,1.032,0.971,0.982,0.983,0.991,0.998,0.996,0.997,0.989,28.8,34.1,30.6,30.3,34.6,28.6,27.1,26.5,26.0
3,0.1488,0.1483,0.0752,0.0878,0.1124,0.1084,0.1377,0.0585,0.1058,1.004,0.981,1.001,0.983,0.988,0.999,1.003,1.002,0.991,37.9,36.6,37.7,34.6,36.9,34.5,31.3,32.2,29.4
4,0.1932,0.161,0.085,0.0913,0.1111,0.1103,0.1435,0.0739,0.1133,0.997,0.993,1.001,0.992,0.995,0.997,1.003,1.009,0.987,39.4,41.1,40.1,38.4,40.6,41.2,42.3,35.2,35.0
5,0.3077,0.2311,0.2443,0.2586,0.1947,0.144,0.2115,0.1744,0.1466,0.949,0.934,0.872,1.004,1.004,0.976,1.013,0.983,0.98,74.7,49.4,130.5,42.2,47.7,47.1,59.5,37.5,39.5
6,3.1666,7.0224,0.3702,2.0641,2.3615,3.0125,3.8989,1.0985,6.4524,3.756,7.424,1.358,2.014,2.65,3.384,4.086,1.605,6.845,96.1,60.6,4064.0,46.5,53.0,50.3,69.0,40.3,44.5
7,7.4486,14.0884,0.3265,2.3768,9.5473,9.4656,9.7347,1.3919,16.5712,8.094,14.434,1.315,2.39,9.737,9.738,9.759,1.809,16.916,111.7,69.0,4691.7,48.9,56.2,58.9,77.7,42.9,48.7
8,7.7143,13.6428,0.3144,3.9824,9.5126,9.4168,9.6375,1.3091,15.7253,8.333,13.932,1.302,3.984,9.707,9.745,9.626,1.702,16.085,112.9,74.0,4744.0,54.0,60.2,62.0,82.0,44.3,52.2
9,7.8265,12.2799,0.3099,5.4796,8.9623,8.8144,8.4223,1.0956,14.9194,8.422,12.548,1.297,5.445,9.22,9.12,8.38,1.379,15.291,115.9,85.2,4787.6,59.3,67.0,70.1,98.6,51.0,56.8
10,7.1699,9.947,0.3107,5.0099,7.8148,8.3747,8.2411,1.0097,13.2523,7.727,10.219,1.298,4.964,8.086,8.652,8.249,1.264,13.623,128.3,106.1,4805.0,68.3,78.2,75.3,101.9,57.6,64.0
11,6.7184,8.631,0.3054,4.7857,7.5163,8.0827,8.4421,0.951,12.386,7.244,8.895,1.293,4.729,7.832,8.393,8.497,1.217,12.792,143.7,127.8,4872.8,75.8,86.5,83.0,104.9,65.1,71.4
12,6.261,7.9707,0.3036,4.5147,7.1763,7.6341,7.9088,0.8739,11.7157,6.779,8.246,1.29,4.47,7.489,7.902,8.032,1.077,12.119,154.7,138.8,4881.8,82.0,91.1,88.7,111.8,74.2,75.7
13,5.2751,6.7814,0.3005,4.4152,6.8977,7.6499,7.7359,0.9287,11.5959,5.815,7.124,1.287,4.389,7.155,7.837,7.912,1.051,11.981,183.6,163.6,4908.6,86.8,97.9,91.8,115.8,82.0,78.2
