layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.98981,0.99593,0.13703,
2,0.99106,0.9967,0.12836,
3,0.99033,0.99616,0.13451,
4,0.98899,0.99441,0.14394,
5,0.98613,0.99131,0.16328,
6,0.97211,0.97362,0.23796,
7,0.96766,0.96526,0.25552,
8,0.9641,0.96341,0.26792,
9,0.96218,0.95832,0.27347,
10,0.96054,0.95447,0.27914,
11,0.96005,0.95829,0.28054,
12,0.95973,0.96076,0.28139,
13,0.95618,0.95768,0.29369,
14,0.95234,0.9561,0.30587,
15,0.94831,0.95016,0.31853,
16,0.94712,0.95355,0.32158,
17,0.94561,0.94846,0.32611,
18,0.94318,0.9439,0.33324,
19,0.94018,0.93483,0.34157,
20,0.93635,0.9223,0.35232,
21,0.93203,0.91653,0.36261,
22,0.92879,0.9197,0.37036,
23,0.92522,0.91957,0.37895,
24,0.92333,0.91319,0.38259,
25,0.92282,0.92007,0.38459,
26,0.91655,0.92637,0.3982,
27,0.90651,0.91746,0.42017,
28,0.90028,0.91356,0.43451,
29,0.90207,0.90326,0.42972,
30,0.89692,0.90441,0.43928,
31,0.89426,0.8951,0.44358,
32,0.89338,0.89528,0.44537,
33,0.88707,0.88833,0.45739,
34,0.88412,0.88197,0.4619,
35,0.8849,0.89062,0.4596,
36,0.88433,0.88741,0.45859,
37,0.8829,0.88339,0.46013,
38,0.88349,0.89174,0.45613,
39,0.88025,0.89454,0.46099,
40,0.87725,0.89367,0.46606,
41,0.87863,0.89767,0.46305,
42,0.87577,0.90113,0.46787,
43,0.8685,0.89932,0.47963,
44,0.8662,0.89876,0.48286,
45,0.85959,0.89598,0.49408,
46,0.86009,0.89348,0.49568,
47,0.88413,0.9141,0.4496,
48,0.81041,0.84146,0.58219,0.6324
