layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0.2378,0.1976,0.132,0.1307,0.1497,0.1481,0.1883,0.0822,0.1341,1.001,0.985
2,0.2075,0.1935,0.1066,0.1194,0.1437,0.1382,0.1822,0.071,0.1261,1.069,0.986
3,0.1947,0.1992,0.1015,0.1183,0.1456,0.1391,0.1822,0.0753,0.1332,1.083,0.985
4,0.2012,0.2043,0.1142,0.1282,0.1483,0.1447,0.1846,0.0955,0.1428,1.023,0.981
5,0.257,0.2498,0.2464,0.1651,0.1752,0.1632,0.2409,0.1338,0.1578,0.86,0.978
6,0.294,0.3073,0.2935,0.2408,0.2376,0.2328,0.306,0.2396,0.2338,0.845,0.997
7,0.3418,0.3435,0.3009,0.2728,0.2404,0.2473,0.337,0.2719,0.2502,0.811,0.991
8,0.3466,0.3808,0.3012,0.2793,0.2448,0.2552,0.3782,0.2773,0.2625,0.836,0.984
9,0.3338,0.3697,0.2986,0.2653,0.2428,0.261,0.4259,0.2727,0.2687,0.884,0.965
10,0.3411,0.366,0.2975,0.2623,0.2329,0.2627,0.4442,0.2747,0.2749,0.933,0.976
11,0.3527,0.3682,0.2954,0.2608,0.235,0.2682,0.4652,0.2744,0.2759,0.956,0.983
12,0.3412,0.3571,0.2959,0.2731,0.2391,0.2785,0.4793,0.2776,0.2764,0.96,0.983
13,0.3,0.3201,0.2952,0.3116,0.2541,0.3096,0.5052,0.2834,0.2898,0.983,0.985
14,0.3128,0.3329,0.2941,0.3373,0.2731,0.3334,0.5212,0.2874,0.3017,0.973,0.985
15,0.3151,0.3371,0.2935,0.3464,0.2927,0.3624,0.5348,0.2997,0.3145,0.958,0.985
16,0.3309,0.346,0.2932,0.3569,0.2999,0.3781,0.5319,0.3164,0.3167,0.967,0.983
17,0.3129,0.3376,0.2935,0.3532,0.3227,0.3765,0.5128,0.3256,0.3222,0.973,0.981
18,0.3098,0.3342,0.2925,0.3525,0.334,0.392,0.5042,0.3372,0.3299,0.972,0.982
19,0.3132,0.3353,0.2909,0.3467,0.337,0.3991,0.5134,0.3507,0.3388,0.978,0.982
20,0.3226,0.3362,0.2911,0.3554,0.3373,0.403,0.5251,0.3779,0.35,0.995,0.985
21,0.3286,0.3404,0.2915,0.3675,0.3404,0.4187,0.5326,0.4072,0.3603,1.004,0.98
22,0.3357,0.34,0.2925,0.3637,0.3367,0.4165,0.5587,0.4377,0.3681,1.023,0.981
23,0.354,0.3412,0.2976,0.3483,0.3491,0.4171,0.5362,0.4578,0.3775,1.01,0.979
24,0.3583,0.3508,0.297,0.3428,0.3435,0.4255,0.5492,0.4703,0.3811,1.008,0.98
25,0.3657,0.3514,0.2956,0.3474,0.3384,0.444,0.5544,0.4673,0.3829,0.999,0.988
26,0.3736,0.3601,0.2947,0.3612,0.3484,0.4602,0.5563,0.5006,0.3968,0.999,0.98
27,0.3678,0.3561,0.2932,0.3685,0.3634,0.4919,0.5769,0.515,0.4204,0.982,0.979
28,0.3671,0.3553,0.2942,0.371,0.3673,0.504,0.5707,0.5405,0.4361,0.924,0.983
29,0.3915,0.3705,0.2945,0.3551,0.3673,0.4941,0.5658,0.5438,0.4304,0.908,0.988
30,0.41,0.3862,0.2936,0.3618,0.3837,0.5139,0.5534,0.557,0.4399,0.915,0.987
31,0.4172,0.384,0.2936,0.35,0.4027,0.5121,0.5476,0.5647,0.4445,0.911,0.987
32,0.4219,0.3855,0.2937,0.3457,0.4308,0.5195,0.5571,0.6031,0.4451,0.904,0.993
33,0.4316,0.3962,0.2937,0.3567,0.4429,0.5302,0.5545,0.6358,0.4573,0.915,0.993
34,0.4152,0.3913,0.2937,0.3425,0.462,0.5012,0.555,0.6544,0.463,0.939,0.989
35,0.4282,0.3895,0.2938,0.3436,0.4696,0.4276,0.5482,0.6855,0.4609,0.939,0.992
36,0.438,0.3921,0.2938,0.3296,0.4799,0.4157,0.5323,0.6975,0.4599,0.945,0.989
37,0.4308,0.3859,0.2939,0.3452,0.5096,0.4099,0.5451,0.7117,0.4608,0.974,0.99
38,0.4227,0.3751,0.2912,0.3465,0.5484,0.4139,0.5413,0.6989,0.4562,0.961,0.987
39,0.4072,0.3609,0.2867,0.3519,0.5772,0.4302,0.5643,0.7074,0.4609,0.959,0.988
40,0.4077,0.3656,0.2859,0.3654,0.6145,0.4414,0.5992,0.726,0.4647,0.982,0.993
41,0.3956,0.3517,0.285,0.3635,0.6481,0.4653,0.6327,0.7325,0.4601,0.976,0.995
42,0.3956,0.3516,0.2861,0.3683,0.6631,0.4867,0.6745,0.7425,0.464,0.98,0.998
43,0.3952,0.3559,0.282,0.3779,0.6994,0.513,0.6864,0.7529,0.4758,0.969,0.996
44,0.417,0.3703,0.2866,0.3715,0.7161,0.5412,0.7071,0.7586,0.4777,0.982,0.991
45,0.4416,0.3947,0.4048,0.3765,0.7392,0.5908,0.717,0.7795,0.4858,0.997,0.987
46,0.4486,0.3934,0.3279,0.3763,0.7069,0.604,0.698,0.775,0.4896,0.992,0.995
47,0.4709,0.3933,0.3209,0.3179,0.5636,0.6183,0.5797,0.6994,0.4436,0.927,0.974
48,0.5308,0.3586,0.6745,0.3972,0.5033,0.736,0.9684,0.8484,0.5763,0.954,0.997
