layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.99148,0.99469,0.11975,
2,0.99237,0.99614,0.1123,
3,0.9914,0.9956,0.12078,
4,0.98927,0.99256,0.13429,
5,0.98723,0.99019,0.14997,
6,0.96424,0.96389,0.26437,
7,0.96043,0.95996,0.27794,
8,0.95841,0.96228,0.28378,
9,0.95858,0.9616,0.28116,
10,0.95769,0.95423,0.2839,
11,0.95742,0.95604,0.28494,
12,0.9571,0.95521,0.28496,
13,0.95303,0.94863,0.30004,
14,0.94908,0.94497,0.31429,
15,0.94503,0.93836,0.32805,
16,0.94331,0.94478,0.33366,
17,0.9416,0.93946,0.33866,
18,0.93941,0.93234,0.3474,
19,0.93677,0.92843,0.3535,
20,0.93295,0.91997,0.36559,
21,0.92969,0.91742,0.37376,
22,0.92744,0.91972,0.37859,
23,0.92492,0.922,0.38503,
24,0.92371,0.91504,0.38536,
25,0.92271,0.92152,0.38777,
26,0.91696,0.92506,0.39983,
27,0.90732,0.91376,0.42325,
28,0.90223,0.90791,0.43381,
29,0.90329,0.89859,0.42956,
30,0.89929,0.90056,0.43769,
31,0.89617,0.89045,0.44228,
32,0.89415,0.88835,0.44453,
33,0.88676,0.87783,0.45807,
34,0.8824,0.86855,0.4636,
35,0.88156,0.87774,0.46373,
36,0.88045,0.8732,0.46298,
37,0.87672,0.86789,0.46793,
38,0.87634,0.87667,0.46504,
39,0.87207,0.87905,0.47203,
40,0.86675,0.87886,0.47951,
41,0.8669,0.88145,0.4777,
42,0.86071,0.88501,0.48644,
43,0.85112,0.88121,0.50175,
44,0.84594,0.88057,0.50904,
45,0.83924,0.8753,0.51965,
46,0.83995,0.86196,0.52137,
47,0.86865,0.89049,0.47267,
48,0.7954,0.8128,0.60237,0.6304
