layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4,1.5,1.6,1.6,1.5,1.4,1.6,1.4
1,0.2146,0.1621,0.1429,0.1026,0.1161,0.1333,0.1809,0.0702,0.117,1.001,1.005,0.981,1.007,0.999,0.993,1.005,1.001,0.998,19.6,31.9,21.5,26.1,31.6,25.2,25.5,20.0,22.8
2,0.1967,0.1576,0.1087,0.0946,0.1112,0.122,0.1748,0.061,0.1102,1.06,1.003,0.978,1.008,1.004,0.989,1.004,1.011,0.998,28.8,34.1,30.6,30.3,34.6,28.6,27.1,26.5,26.0
3,0.1987,0.1628,0.1007,0.0952,0.1148,0.1241,0.1701,0.0633,0.1198,1.091,1.002,0.987,1.009,1.007,0.994,1.007,1.01,0.996,37.9,36.6,37.7,34.6,36.9,34.5,31.3,32.2,29.4
4,0.2177,0.1767,0.1127,0.1056,0.1199,0.126,0.1961,0.079,0.1334,1.044,0.996,0.986,1.006,1.001,0.998,0.996,1.004,0.993,39.4,41.1,40.1,38.4,40.6,41.2,42.3,35.2,35.0
5,0.2292,0.2329,0.1893,0.1388,0.1445,0.1411,0.222,0.11,0.1466,1.039,0.947,0.99,1.01,0.995,0.992,1.001,1.003,0.989,74.7,49.4,130.5,42.2,47.7,47.1,59.5,37.5,39.5
6,0.39,0.3259,0.0698,0.2998,0.2947,0.2643,0.328,0.3059,0.2617,1.082,0.944,0.932,1.019,1.021,1.011,1.006,1.016,1.0,96.1,60.6,4064.0,46.5,53.0,50.3,69.0,40.3,44.5
7,0.388,0.3471,0.0702,0.3521,0.3034,0.2906,0.4216,0.3871,0.2723,1.067,0.948,0.931,1.07,1.02,1.039,1.086,1.017,1.006,111.7,69.0,4691.7,48.9,56.2,58.9,77.7,42.9,48.7
8,0.4276,0.3996,0.0707,0.3413,0.2993,0.2906,0.4744,0.389,0.2767,1.118,0.951,0.931,1.045,1.02,1.029,1.047,0.999,1.003,112.9,74.0,4744.0,54.0,60.2,62.0,82.0,44.3,52.2
9,0.4246,0.3836,0.0701,0.3139,0.2873,0.2836,0.4972,0.3677,0.2748,1.121,0.925,0.931,1.038,1.024,1.022,0.96,0.994,0.99,115.9,85.2,4787.6,59.3,67.0,70.1,98.6,51.0,56.8
10,0.4155,0.3925,0.0698,0.2937,0.2714,0.2844,0.5132,0.3582,0.2784,1.056,0.85,0.932,1.022,1.008,1.03,0.947,0.983,0.992,128.3,106.1,4805.0,68.3,78.2,75.3,101.9,57.6,64.0
11,0.4149,0.4228,0.0705,0.2834,0.268,0.2804,0.5273,0.3466,0.2793,0.968,0.782,0.931,0.98,0.994,1.002,0.957,0.986,1.0,143.7,127.8,4872.8,75.8,86.5,83.0,104.9,65.1,71.4
12,0.4077,0.4279,0.0704,0.2933,0.265,0.2878,0.544,0.3281,0.2792,0.929,0.763,0.931,0.964,0.999,1.005,0.944,0.969,0.996,154.7,138.8,4881.8,82.0,91.1,88.7,111.8,74.2,75.7
13,0.3919,0.425,0.07,0.323,0.2797,0.3319,0.5648,0.3356,0.2946,0.877,0.732,0.931,0.966,0.989,1.023,0.936,1.012,1.003,183.6,163.6,4908.6,86.8,97.9,91.8,115.8,82.0,78.2
14,0.392,0.4397,0.0697,0.348,0.2991,0.3717,0.5863,0.3523,0.3085,0.874,0.733,0.932,0.962,0.983,1.042,0.951,1.018,1.013,179.6,159.8,4926.4,87.5,99.5,93.6,116.6,89.7,79.5
15,0.3882,0.4596,0.0693,0.3612,0.3132,0.3991,0.6038,0.352,0.3226,0.852,0.734,0.932,0.965,0.981,1.074,0.973,1.018,1.018,180.5,158.2,4953.7,88.3,101.7,95.9,116.1,93.6,80.6
16,0.4026,0.4584,0.0689,0.3689,0.3257,0.4133,0.6042,0.3785,0.3277,0.856,0.746,0.933,0.956,0.985,1.074,0.969,1.027,1.021,171.8,154.1,4995.9,88.1,100.7,92.7,114.6,88.1,81.6
17,0.3913,0.4483,0.0685,0.3591,0.3379,0.4162,0.597,0.3644,0.334,0.86,0.756,0.933,0.976,0.988,1.069,0.957,1.015,1.019,176.7,157.5,5023.4,94.5,102.7,95.5,122.2,92.7,83.7
18,0.3903,0.4389,0.0683,0.3591,0.3435,0.4331,0.5698,0.377,0.344,0.865,0.763,0.933,1.0,0.999,1.074,0.952,1.002,1.028,177.6,160.3,5042.0,99.0,103.9,96.2,127.8,95.9,86.0
19,0.3957,0.4412,0.0682,0.3528,0.3389,0.434,0.5797,0.3914,0.3505,0.863,0.773,0.933,0.992,0.993,1.064,0.958,1.011,1.024,176.9,161.4,5051.4,101.4,105.2,96.8,126.7,97.4,87.9
20,0.4081,0.4407,0.0681,0.352,0.3433,0.4453,0.5912,0.4403,0.3628,0.847,0.782,0.933,0.998,0.99,1.076,0.998,1.065,1.028,174.5,166.1,5096.0,101.3,107.3,98.0,127.9,93.2,89.2
21,0.4207,0.427,0.0678,0.3612,0.3448,0.4553,0.5887,0.462,0.3713,0.876,0.813,0.934,1.012,0.998,1.094,1.004,1.058,1.027,169.6,167.1,5123.5,101.8,109.2,99.5,134.3,98.2,91.0
22,0.444,0.4123,0.0676,0.3537,0.3444,0.4663,0.6009,0.4682,0.3763,0.873,0.829,0.934,1.016,0.996,1.108,0.99,1.062,1.026,161.4,168.4,5142.0,103.0,111.8,100.7,133.4,101.4,93.0
23,0.4625,0.4223,0.0714,0.3419,0.3514,0.455,0.5727,0.4875,0.3834,0.855,0.834,0.93,0.988,0.997,1.09,0.945,1.068,1.026,160.5,170.1,5552.7,107.8,111.4,100.1,139.6,101.0,95.5
24,0.4729,0.4259,0.0703,0.3426,0.3509,0.4509,0.5856,0.5073,0.3831,0.884,0.85,0.931,0.995,0.998,1.104,0.966,1.086,1.02,164.8,171.6,5641.8,110.7,112.8,100.7,134.5,100.8,100.7
25,0.4943,0.4165,0.07,0.3454,0.347,0.4827,0.5768,0.5165,0.3851,0.888,0.846,0.931,1.0,0.982,1.121,0.962,1.077,1.021,167.6,181.0,5668.7,115.1,119.6,101.5,140.8,111.6,106.2
26,0.4905,0.4294,0.0697,0.3634,0.353,0.5028,0.5674,0.5428,0.3976,0.872,0.853,0.932,1.004,0.971,1.136,0.953,1.069,1.012,166.7,179.9,5686.9,112.8,124.2,103.8,146.5,115.2,109.9
27,0.5051,0.4408,0.0658,0.376,0.366,0.5321,0.5783,0.581,0.422,0.863,0.844,0.936,1.017,0.969,1.163,0.973,1.067,1.017,172.0,184.1,5761.8,114.6,127.2,104.1,142.3,118.2,111.2
28,0.4434,0.4329,0.0636,0.3798,0.3765,0.5349,0.5762,0.5911,0.4348,0.821,0.834,0.938,1.012,0.977,1.154,0.957,1.065,1.014,199.3,194.9,5870.7,116.8,131.3,107.1,148.6,123.2,116.0
29,0.4413,0.4394,0.0633,0.3633,0.3682,0.5121,0.5971,0.6002,0.4302,0.827,0.832,0.938,0.983,0.984,1.123,0.949,1.066,1.014,213.0,206.3,5898.6,127.0,135.3,111.6,148.7,126.0,123.3
30,0.4563,0.4525,0.0646,0.3646,0.3849,0.5066,0.5859,0.6168,0.4385,0.856,0.859,0.937,0.981,0.999,1.122,0.914,1.03,1.017,223.8,217.7,5917.1,132.3,140.0,114.8,157.4,137.3,129.3
31,0.4532,0.4481,0.0646,0.3581,0.3898,0.5048,0.587,0.6133,0.4439,0.888,0.876,0.937,0.981,1.018,1.136,0.904,1.023,1.013,237.2,235.1,5917.0,147.2,150.3,118.0,164.6,141.3,137.4
