layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0.2146,0.1621,0.1429,0.1026,0.1161,0.1333,0.1809,0.0702,0.117,1.001,0.998
2,0.1967,0.1576,0.1087,0.0946,0.1112,0.122,0.1748,0.061,0.1102,1.06,0.998
3,0.1987,0.1628,0.1007,0.0952,0.1148,0.1241,0.1701,0.0633,0.1198,1.091,0.996
4,0.2177,0.1767,0.1127,0.1056,0.1199,0.126,0.1961,0.079,0.1334,1.044,0.993
5,0.671,0.3187,3.9564,0.2786,0.1615,0.1655,0.2506,0.3896,0.1711,1.429,1.015
6,0.4697,0.3303,0.9131,0.3931,0.308,0.2702,0.3585,0.4524,0.2409,1.249,1.025
7,0.4175,0.3768,0.9231,0.4414,0.3266,0.3161,0.4089,0.4702,0.311,1.156,1.024
8,0.4427,0.4167,0.9229,0.4463,0.3478,0.3436,0.5043,0.4524,0.3598,1.166,1.013
9,0.4529,0.411,0.9226,0.4502,0.3872,0.3968,0.551,0.4601,0.4226,1.182,1.021
10,0.4314,0.4259,0.9225,0.4608,0.3845,0.4167,0.5773,0.4561,0.4574,1.086,1.023
11,0.4374,0.4512,0.9226,0.4825,0.4095,0.4511,0.6071,0.4634,0.4827,0.99,0.987
12,0.4363,0.4512,0.9228,0.5166,0.4229,0.4704,0.6389,0.4813,0.5349,0.957,1.038
13,0.4149,0.4458,0.923,0.5611,0.4596,0.5238,0.6595,0.49,0.5483,0.88,1.012
14,0.417,0.4543,0.9232,0.6017,0.4963,0.5523,0.6844,0.5056,0.5641,0.885,0.976
15,0.4146,0.4625,0.9234,0.6164,0.5203,0.5691,0.6996,0.5196,0.5846,0.873,0.951
16,0.4305,0.4686,0.9239,0.6242,0.5303,0.5799,0.6968,0.5525,0.5919,0.876,0.934
17,0.4175,0.4584,0.9241,0.6396,0.5448,0.5827,0.7007,0.5617,0.6124,0.876,0.917
18,0.4208,0.4543,0.9241,0.6387,0.5418,0.5955,0.6964,0.5976,0.6343,0.891,0.907
19,0.4326,0.4636,0.9242,0.6349,0.5505,0.6092,0.7133,0.6107,0.6473,0.886,0.922
20,0.4527,0.46,0.9246,0.651,0.5583,0.6132,0.7103,0.6433,0.6601,0.882,0.93
21,0.4926,0.459,0.9245,0.6518,0.5792,0.6232,0.6971,0.6549,0.6608,0.923,0.901
22,0.5406,0.4671,0.925,0.6491,0.5787,0.626,0.7245,0.6764,0.6616,0.897,0.894
23,0.5463,0.4751,0.9238,0.6412,0.5809,0.6076,0.7117,0.6749,0.6702,0.859,0.864
24,0.5579,0.4843,0.9229,0.6285,0.5797,0.6083,0.7149,0.6892,0.6689,0.883,0.847
25,0.5706,0.485,0.9233,0.6361,0.5852,0.6333,0.7098,0.7188,0.6807,0.826,0.883
26,0.5881,0.5028,0.9225,0.6448,0.6147,0.6447,0.7163,0.7504,0.6999,0.829,0.871
27,0.5988,0.5086,0.9216,0.6564,0.6246,0.6572,0.7392,0.7716,0.7352,0.808,0.87
28,0.495,0.4959,0.9181,0.6706,0.6343,0.6553,0.7385,0.7988,0.7595,0.823,0.892
29,0.4698,0.4911,0.918,0.6779,0.637,0.6421,0.7566,0.7968,0.749,0.81,0.905
30,0.4734,0.4987,0.9171,0.68,0.6564,0.6701,0.7569,0.7946,0.7684,0.845,0.944
31,0.4859,0.4935,0.9168,0.6465,0.6676,0.6676,0.7631,0.8491,0.7743,0.883,0.975
32,0.4751,0.4765,0.9159,0.636,0.714,0.6759,0.7822,0.8452,0.7768,0.871,1.0
33,0.4788,0.4787,0.9148,0.6524,0.7021,0.6837,0.7711,0.8339,0.7913,0.868,1.005
34,0.4757,0.4766,0.9137,0.6588,0.7232,0.6752,0.7798,0.8621,0.7929,0.826,1.004
35,0.4806,0.4655,0.9122,0.6497,0.7654,0.5843,0.7649,0.8759,0.7727,0.856,1.021
36,0.4671,0.4498,0.9107,0.6406,0.7691,0.5959,0.7349,0.8709,0.7701,0.813,1.029
37,0.4725,0.4524,0.9085,0.6421,0.818,0.5988,0.7658,0.8756,0.7732,0.831,1.055
38,0.4556,0.4338,0.906,0.6425,0.8682,0.5788,0.7575,0.84,0.7589,0.824,1.071
39,0.4406,0.4121,0.9037,0.6383,0.8834,0.5888,0.7944,0.8575,0.7578,0.838,1.074
40,0.4458,0.4161,0.9012,0.6435,0.9571,0.593,0.8405,0.8735,0.7624,0.836,1.089
41,0.4351,0.3977,0.8977,0.6306,1.0072,0.6301,0.9049,0.8516,0.7462,0.831,1.102
42,0.4364,0.394,0.895,0.6288,1.0247,0.6694,0.957,0.8519,0.7501,0.84,1.12
43,0.4386,0.3937,0.892,0.6329,1.0522,0.7085,0.9513,0.8648,0.7547,0.828,1.109
44,0.4625,0.4073,0.8888,0.613,1.0485,0.7596,0.9583,0.8536,0.7516,0.833,1.105
45,0.4905,0.4314,0.7704,0.6133,1.049,0.8136,0.9428,0.8607,0.7548,0.85,1.098
46,0.5046,0.4372,0.7016,0.5839,0.9439,0.8123,0.9132,0.8331,0.7518,0.863,1.108
47,0.5279,0.4373,0.778,0.4771,0.7412,0.8016,0.7831,0.6902,0.6836,0.845,1.093
48,0.7348,0.4797,0.9822,0.5404,0.8109,0.9081,1.2753,0.9697,0.8023,0.947,0.982
