layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.99183,0.99544,0.11696,
2,0.99274,0.99672,0.1099,
3,0.99205,0.9963,0.117,
4,0.9902,0.99381,0.12961,
5,0.98402,0.9909,0.15574,
6,0.96381,0.96299,0.2684,
7,0.96054,0.95641,0.28105,
8,0.95703,0.95635,0.29126,
9,0.95584,0.95932,0.29518,
10,0.95385,0.95603,0.30155,
11,0.9528,0.95642,0.30306,
12,0.95313,0.95782,0.30239,
13,0.95065,0.9535,0.31221,
14,0.94713,0.95083,0.32377,
15,0.94358,0.94629,0.33494,
16,0.9421,0.94843,0.33895,
17,0.94099,0.94342,0.34219,
18,0.93845,0.93898,0.34972,
19,0.93564,0.93215,0.35671,
20,0.93209,0.92202,0.36705,
21,0.92917,0.91767,0.37492,
22,0.9264,0.92024,0.38051,
23,0.92284,0.92095,0.38917,
24,0.92177,0.91596,0.3901,
25,0.92148,0.91856,0.39059,
26,0.91578,0.92645,0.40293,
27,0.90662,0.91649,0.42527,
28,0.90114,0.9118,0.43732,
29,0.90249,0.89928,0.43374,
30,0.89865,0.8981,0.44233,
31,0.89601,0.88646,0.44657,
32,0.8941,0.88122,0.44982,
33,0.88669,0.86963,0.4632,
34,0.88353,0.85946,0.46757,
35,0.88394,0.86909,0.46743,
36,0.88351,0.86482,0.46544,
37,0.88073,0.85959,0.47199,
38,0.88216,0.87122,0.46732,
39,0.87835,0.87284,0.47351,
40,0.87463,0.87249,0.47931,
41,0.87555,0.87678,0.47696,
42,0.87162,0.87965,0.48308,
43,0.86525,0.87735,0.4941,
44,0.86214,0.87723,0.49795,
45,0.85507,0.87435,0.50894,
46,0.85461,0.87255,0.51247,
47,0.88096,0.8989,0.46194,
48,0.80926,0.82037,0.58512,0.6563
