layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4,1.5,1.6,1.6,1.5,1.4,1.6,1.4
1,0.2305,0.1642,0.1374,0.0976,0.1165,0.1346,0.1794,0.0639,0.1138,1.024,0.995,0.982,1.009,1.022,1.012,1.002,1.001,0.995,19.6,31.9,21.5,26.1,31.6,25.2,25.5,20.0,22.8
2,0.2273,0.1589,0.1028,0.0897,0.1129,0.1227,0.176,0.056,0.1071,1.106,0.997,0.987,1.011,1.026,1.016,0.998,0.997,0.996,28.8,34.1,30.6,30.3,34.6,28.6,27.1,26.5,26.0
3,0.2727,0.1756,0.0956,0.09,0.114,0.1261,0.176,0.0591,0.1141,1.17,1.015,0.995,1.006,1.024,1.009,0.998,0.996,0.996,37.9,36.6,37.7,34.6,36.9,34.5,31.3,32.2,29.4
4,0.2683,0.1977,0.1114,0.103,0.1174,0.1273,0.1791,0.0772,0.1273,1.086,0.997,0.993,1.001,1.015,1.002,0.99,0.996,0.995,39.4,41.1,40.1,38.4,40.6,41.2,42.3,35.2,35.0
5,0.6828,0.2859,0.2027,0.1585,0.1507,0.1436,0.3215,0.1081,0.142,0.963,0.933,0.966,1.005,1.008,1.002,1.052,1.005,0.994,74.7,49.4,130.5,42.2,47.7,47.1,59.5,37.5,39.5
6,0.835,0.4668,0.2014,0.2945,0.256,0.2524,0.397,0.2675,0.2543,1.421,1.015,0.851,1.033,1.019,1.017,1.047,1.025,1.012,96.1,60.6,4064.0,46.5,53.0,50.3,69.0,40.3,44.5
7,0.8044,0.568,0.2192,0.3242,0.2651,0.2546,0.4286,0.2977,0.2654,1.471,1.028,0.817,1.023,1.01,0.999,1.054,1.019,1.009,111.7,69.0,4691.7,48.9,56.2,58.9,77.7,42.9,48.7
8,0.786,0.6222,0.2196,0.3378,0.2735,0.2575,0.4888,0.3069,0.2748,1.444,1.002,0.814,1.0,1.012,1.004,1.055,1.017,1.006,112.9,74.0,4744.0,54.0,60.2,62.0,82.0,44.3,52.2
9,0.7511,0.5758,0.2176,0.332,0.27,0.2671,0.5268,0.3141,0.2799,1.409,0.968,0.816,1.001,0.998,0.982,1.059,0.969,1.002,115.9,85.2,4787.6,59.3,67.0,70.1,98.6,51.0,56.8
10,0.6825,0.5622,0.2168,0.3285,0.2654,0.2752,0.5392,0.3118,0.2884,1.302,0.947,0.817,0.974,1.003,1.002,1.045,1.005,1.011,128.3,106.1,4805.0,68.3,78.2,75.3,101.9,57.6,64.0
11,0.6457,0.5562,0.2152,0.3218,0.2666,0.2833,0.5525,0.305,0.2908,1.198,0.896,0.817,0.951,0.99,0.968,1.045,0.999,1.012,143.7,127.8,4872.8,75.8,86.5,83.0,104.9,65.1,71.4
12,0.6073,0.5333,0.2168,0.3309,0.2629,0.2919,0.5784,0.3013,0.2904,1.16,0.886,0.816,0.962,0.998,0.979,1.056,1.009,1.016,154.7,138.8,4881.8,82.0,91.1,88.7,111.8,74.2,75.7
13,0.5083,0.4637,0.2157,0.3656,0.2815,0.3314,0.5927,0.307,0.3025,1.092,0.881,0.817,0.968,1.003,1.005,1.043,0.985,1.02,183.6,163.6,4908.6,86.8,97.9,91.8,115.8,82.0,78.2
