layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.98655,0.98588,0.15685,
2,0.98577,0.98781,0.15881,
3,0.98084,0.98646,0.18144,
4,0.97656,0.97858,0.20935,
5,0.97066,0.97179,0.23685,
6,0.96445,0.96827,0.25749,
7,0.95777,0.96009,0.2802,
8,0.95061,0.94156,0.30566,
9,0.93923,0.91062,0.34066,
10,0.93952,0.90212,0.34049,
11,0.94022,0.90041,0.33873,
12,0.93415,0.89403,0.35438,
13,0.9293,0.89634,0.36716,
14,0.92872,0.90407,0.37031,
15,0.92442,0.91041,0.38199,
16,0.91957,0.89649,0.39178,
17,0.90722,0.88966,0.4217,
18,0.8958,0.88188,0.44792,
19,0.89353,0.88273,0.45099,
20,0.88437,0.87011,0.46807,
21,0.87367,0.84997,0.48804,
22,0.86235,0.84683,0.51065,
23,0.84404,0.83338,0.54171,
24,0.84071,0.8366,0.54336,
25,0.83613,0.84577,0.54488,
26,0.82952,0.84565,0.5549,
27,0.8325,0.85032,0.55212,
28,0.76277,0.77734,0.65501,0.5712
