layer,head,score
0,0,3.798259422183037e-05
0,1,8.549541234970093e-07
0,2,0.00011690706014633179
0,3,1.1050142347812653e-05
0,4,9.40496101975441e-06
0,5,0.00012312224134802818
0,6,8.451472967863083e-05
0,7,1.539057120680809e-05
0,8,2.0273961126804352e-05
0,9,2.1309591829776764e-05
0,10,3.99881973862648e-05
0,11,1.9599683582782745e-05
0,12,8.286908268928528e-06
0,13,6.565824151039124e-08
0,14,0.0002214084379374981
0,15,4.473142325878143e-06
0,16,6.274506449699402e-05
0,17,7.965648546814919e-05
0,18,0.00021317927166819572
0,19,9.102653712034225e-05
0,20,9.000720456242561e-05
0,21,0.0001286473125219345
0,22,6.142957136034966e-05
0,23,6.997957825660706e-05
0,24,4.945974797010422e-05
0,25,2.3595523089170456e-05
0,26,8.642300963401794e-05
0,27,3.1060539186000824e-05
1,0,2.4071894586086273e-05
1,1,2.4335458874702454e-06
1,2,9.857350960373878e-05
1,3,3.552064299583435e-06
1,4,4.779873415827751e-05
1,5,2.8279609978199005e-06
1,6,3.0352966859936714e-05
1,7,0.00010885042138397694
1,8,0.00010161567479372025
1,9,2.8281239792704582e-05
1,10,0.00010325992479920387
1,11,5.597062408924103e-05
1,12,7.29067251086235e-05
1,13,6.840098649263382e-06
1,14,7.218308746814728e-05
1,15,2.8741545975208282e-05
1,16,6.465241312980652e-05
1,17,1.81528739631176e-05
1,18,1.1772848665714264e-05
1,19,9.563006460666656e-05
1,20,3.4924596548080444e-05
1,21,0.00033288169652223587
1,22,0.00015038438141345978
1,23,2.630986273288727e-07
1,24,0.00010483851656317711
1,25,0.00015844125300645828
1,26,0.0002765655517578125
1,27,5.044648423790932e-05
2,0,0.00010148412548005581
2,1,0.00012835138477385044
2,2,6.850017234683037e-05
2,3,4.847301170229912e-05
2,4,5.192600656300783e-05
2,5,2.2099120542407036e-05
2,6,2.0273844711482525e-05
2,7,0.00010885018855333328
2,8,0.00016202591359615326
2,9,0.0007925033569335938
2,10,0.0002624904736876488
2,11,0.0005218246951699257
2,12,0.0001068115234375
2,13,0.0005087358877062798
2,14,0.00032470980659127235
2,15,0.00035338569432497025
2,16,0.0006652045994997025
2,17,0.000430435873568058
2,18,0.0002948991023004055
2,19,0.000416656956076622
2,20,0.0002867933362722397
2,21,1.1115334928035736e-05
2,22,0.0011649294756352901
2,23,0.0004208008758723736
2,24,0.0002795581240206957
2,25,0.0003757476806640625
2,26,0.0013085398823022842
2,27,0.0007075602188706398
3,0,3.068195655941963e-05
3,1,0.00010998500511050224
3,2,1.7708749510347843e-05
3,3,7.122987881302834e-05
3,4,0.000521363690495491
3,5,0.00017501553520560265
3,6,0.0002664858475327492
3,7,0.00020727608352899551
3,8,0.00019277376122772694
3,9,0.0002211206592619419
3,10,0.00012805499136447906
3,11,9.382166899740696e-05
3,12,0.00028432649560272694
3,13,0.00034496700391173363
3,14,0.00046374881640076637
3,15,0.0003972873091697693
3,16,0.0002819257788360119
3,17,0.00026854174211621284
3,18,6.874673999845982e-05
3,19,0.0004887417890131474
3,20,0.00044556334614753723
3,21,7.040752097964287e-05
3,22,1.976359635591507e-05
3,23,0.00012999586760997772
3,24,0.0001869862899184227
3,25,0.0002880757674574852
3,26,0.0001272987574338913
3,27,0.0003402316942811012
4,0,0.00042399053927510977
4,1,9.39536839723587e-05
4,2,0.0001506148837506771
4,3,7.252860814332962e-05
4,4,0.00014495849609375
4,5,0.0003995564766228199
4,6,0.00038863904774188995
4,7,6.885364882691647e-07
4,8,6.412621587514877e-06
4,9,3.734949859790504e-05
4,10,1.0126619599759579e-05
4,11,0.00010847224621102214
4,12,5.9637532103806734e-05
4,13,1.4816894690738991e-05
4,14,0.00025173695757985115
4,15,5.0331000238657e-05
4,16,0.0002577264094725251
4,17,0.00010322709567844868
4,18,0.00032145390287041664
4,19,0.0003126733936369419
4,20,6.073922850191593e-05
4,21,9.221071377396584e-05
4,22,0.00014910195022821426
4,23,0.00015826080925762653
4,24,7.289019413292408e-05
4,25,8.92840325832367e-05
4,26,3.115879371762276e-05
