layer,proj,numel,selected,frac
0,down_proj,67895296,98163,0.0014457997207936173
0,gate_proj,67895296,44980,0.000662490667983832
0,k_proj,1835008,197555,0.10765893118722099
0,o_proj,12845056,147955,0.011518439468072385
0,q_proj,12845056,247092,0.019236350546077807
0,up_proj,67895296,26901,0.00039621301599451016
0,v_proj,1835008,30998,0.016892569405691966
1,down_proj,67895296,95850,0.0014117325594986728
1,gate_proj,67895296,84660,0.0012469199633506273
1,k_proj,1835008,13878,0.007562909807477679
1,o_proj,12845056,77908,0.006065212950414541
1,q_proj,12845056,9881,0.0007692453812579719
1,up_proj,67895296,54802,0.0008071545928601592
1,v_proj,1835008,47257,0.025753021240234375
2,down_proj,67895296,111569,0.0016432508078321067
2,gate_proj,67895296,86843,0.0012790724117323238
2,k_proj,1835008,22334,0.012171064104352678
2,o_proj,12845056,48583,0.003782233413384885
2,q_proj,12845056,11893,0.0009258815220424107
2,up_proj,67895296,46740,0.0006884129351170367
2,v_proj,1835008,17143,0.009342193603515625
3,down_proj,67895296,220484,0.0032474120151122104
3,gate_proj,67895296,151090,0.002225338262020391
3,k_proj,1835008,33272,0.018131801060267856
3,o_proj,12845056,126280,0.009831019810267858
3,q_proj,12845056,21274,0.0016562014209980868
3,up_proj,67895296,119477,0.0017597242672010738
3,v_proj,1835008,53507,0.02915900094168527
4,down_proj,67895296,199160,0.0029333401830960427
4,gate_proj,67895296,165848,0.00244270236335666
4,k_proj,1835008,31808,0.017333984375
4,o_proj,12845056,72749,0.005663579824019452
4,q_proj,12845056,26823,0.002088196423588967
4,up_proj,67895296,121103,0.0017836729071775458
4,v_proj,1835008,47333,0.02579443795340402
5,down_proj,67895296,236187,0.0034786946064717062
5,gate_proj,67895296,205631,0.003028648700493183
5,k_proj,1835008,47390,0.02582550048828125
5,o_proj,12845056,67331,0.005241783297791773
5,q_proj,12845056,44744,0.003483363560267857
5,up_proj,67895296,215120,0.003168408014599421
5,v_proj,1835008,39050,0.021280561174665178
6,down_proj,67895296,283176,0.004170774953245656
6,gate_proj,67895296,343954,0.005065947425871742
6,k_proj,1835008,34558,0.018832615443638394
6,o_proj,12845056,112628,0.008768198441485969
6,q_proj,12845056,26773,0.0020843038753587373
6,up_proj,67895296,234430,0.0034528165250211147
6,v_proj,1835008,75543,0.04116766793387277
7,down_proj,67895296,363635,0.005355820232376629
7,gate_proj,67895296,312104,0.004596842762125965
7,k_proj,1835008,36593,0.019941602434430803
7,o_proj,12845056,182975,0.014244780248525192
7,q_proj,12845056,42432,0.003303372130102041
7,up_proj,67895296,268788,0.003958860419431709
7,v_proj,1835008,128384,0.06996372767857142
8,down_proj,67895296,326451,0.004808153424944196
8,gate_proj,67895296,281459,0.004145486014229911
8,k_proj,1835008,72131,0.03930827549525669
8,o_proj,12845056,149840,0.01166518853635204
8,q_proj,12845056,66307,0.005162063910036671
8,up_proj,67895296,236912,0.003489372813103282
8,v_proj,1835008,71223,0.03881345476422991
9,down_proj,67895296,228614,0.0033671552149945705
9,gate_proj,67895296,195351,0.002877239094737874
9,k_proj,1835008,36131,0.019689832414899553
9,o_proj,12845056,245414,0.019105716627471302
9,q_proj,12845056,40901,0.0031841823032924105
9,up_proj,67895296,176993,0.002606852174265504
9,v_proj,1835008,173869,0.09475108555385045
10,down_proj,67895296,393203,0.005791314320214467
10,gate_proj,67895296,341502,0.00502983299461571
10,k_proj,1835008,43875,0.02390997750418527
10,o_proj,12845056,167973,0.013076860077527105
10,q_proj,12845056,47754,0.0037176949637276785
10,up_proj,67895296,336932,0.004962523471434604
10,v_proj,1835008,71544,0.03898838588169643
11,down_proj,67895296,430048,0.006333988145511583
11,gate_proj,67895296,379758,0.005593288819302003
11,k_proj,1835008,80041,0.04361888340541294
11,o_proj,12845056,228044,0.01775344537228954
11,q_proj,12845056,91169,0.0070975945920360335
11,up_proj,67895296,369369,0.00544027380041174
11,v_proj,1835008,67785,0.03693989345005581
12,down_proj,67895296,498257,0.0073386085539711024
12,gate_proj,67895296,379294,0.005586454767057794
12,k_proj,1835008,58808,0.032047816685267856
12,o_proj,12845056,269842,0.02100745999083227
12,q_proj,12845056,74816,0.005824497767857143
12,up_proj,67895296,435940,0.006420768826164334
12,v_proj,1835008,88184,0.04805646623883929
13,down_proj,67895296,446237,0.006572428817454452
13,gate_proj,67895296,368878,0.00543304207702401
13,k_proj,1835008,51065,0.027828216552734375
13,o_proj,12845056,362624,0.02823062818877551
13,q_proj,12845056,69350,0.005398964395328444
13,up_proj,67895296,392736,0.005784436082287645
13,v_proj,1835008,166047,0.09048843383789062
14,down_proj,67895296,563197,0.008295081296942869
14,gate_proj,67895296,417114,0.0061434889392042715
14,k_proj,1835008,74532,0.04061671665736607
14,o_proj,12845056,268445,0.020898702193279654
14,q_proj,12845056,102585,0.007986341203962053
14,up_proj,67895296,475740,0.007006965548835666
14,v_proj,1835008,91130,0.04966190883091518
15,down_proj,67895296,580657,0.008552241969752955
15,gate_proj,67895296,453208,0.0066751016152871625
15,k_proj,1835008,59182,0.03225163051060268
15,o_proj,12845056,220734,0.017184354821029976
15,q_proj,12845056,80478,0.0062652899294483415
15,up_proj,67895296,464649,0.006843611080213864
15,v_proj,1835008,90180,0.049144199916294644
16,down_proj,67895296,453435,0.006678444998604911
16,gate_proj,67895296,406187,0.005982549954565336
16,k_proj,1835008,65210,0.03553662981305804
16,o_proj,12845056,285871,0.022255333102479274
16,q_proj,12845056,112768,0.008779097576530613
16,up_proj,67895296,406515,0.005987380922531069
16,v_proj,1835008,126308,0.0688323974609375
17,down_proj,67895296,489459,0.0072090266754268216
17,gate_proj,67895296,453640,0.006681464353583494
17,k_proj,1835008,53163,0.02897153581891741
17,o_proj,12845056,161637,0.012583596365792411
17,q_proj,12845056,68759,0.00535295447524713
17,up_proj,67895296,501326,0.0073838105072846286
17,v_proj,1835008,89006,0.048504420689174106
18,down_proj,67895296,549101,0.008087467502903295
18,gate_proj,67895296,474621,0.006990484289220862
18,k_proj,1835008,36124,0.019686017717633928
18,o_proj,12845056,385413,0.030004773821149553
18,q_proj,12845056,50937,0.003965494584064095
18,up_proj,67895296,518098,0.0076308379302153714
18,v_proj,1835008,194006,0.10572487967354911
19,down_proj,67895296,533950,0.007864315077144668
19,gate_proj,67895296,474152,0.006983576594172297
19,k_proj,1835008,46276,0.025218418666294644
19,o_proj,12845056,367872,0.02863919005102041
19,q_proj,12845056,73233,0.005701259690888074
19,up_proj,67895296,446975,0.0065832984953773524
19,v_proj,1835008,216319,0.11788449968610491
20,down_proj,67895296,600681,0.008847166672636643
