layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,55179,0.001611,0.01536,0.983,6.466e-12,0.7069,0.2931,5.42e-12,0.5568,0.4432,4.013e-09,46.01,3.015e-07,3.732e+06
0,k_proj,55179,0.001611,0.01536,0.983,0.3283,0.396,0.2757,0.2738,0.3284,0.3977,203.8,25.77,1.594e+04,1.899e+06
0,v_proj,55179,0.001611,0.01536,0.983,0.4281,0.3746,0.1972,0.3843,0.3462,0.2695,265.7,24.39,1.737e+04,1.276e+06
0,o_proj,55179,0.01055,0.03186,0.9576,0.1987,0.4714,0.3299,0.3644,0.5165,0.1191,18.84,14.79,6819,1.472e+06
0,gate_proj,55179,0.005844,0.0267,0.9675,0.09931,0.3472,0.5535,0.1436,0.4525,0.4039,16.99,13,1389,2.333e+05
0,up_proj,55179,0.005844,0.0267,0.9675,0.08032,0.3327,0.587,0.1178,0.4372,0.445,13.75,12.46,1119,1.756e+05
0,down_proj,55179,0.00872,0.02797,0.9633,0.0204,0.1875,0.7921,0.06602,0.3036,0.6304,2.339,6.705,151.9,1.302e+04
1,q_proj,55179,0.002213,0.01508,0.9827,1.302e-12,0.179,0.821,1.373e-12,0.1894,0.8106,5.882e-10,11.86,2.164e-08,2.696e+04
1,k_proj,55179,0.002213,0.01508,0.9827,0.08573,0.2422,0.6721,0.08933,0.2443,0.6663,38.73,16.06,1094,5.806e+04
1,v_proj,55179,0.002213,0.01508,0.9827,0.19,0.3129,0.4971,0.1991,0.3133,0.4876,85.86,20.74,2630,5.442e+04
1,o_proj,55179,0.01913,0.03685,0.944,0.002744,0.1751,0.8222,0.01813,0.3955,0.5864,0.1434,4.752,20.92,1.656e+04
1,gate_proj,55179,0.001932,0.01598,0.9821,0.007664,0.2497,0.7426,0.006801,0.2455,0.7477,3.967,15.63,67.27,2.745e+04
1,up_proj,55179,0.001932,0.01598,0.9821,0.008366,0.2545,0.7371,0.007514,0.2509,0.7416,4.33,15.93,77.63,3.333e+04
1,down_proj,55179,0.3605,0.1884,0.4511,0.001973,0.1533,0.8447,0.8245,0.0499,0.1256,0.005474,0.8137,13.62,1.186e+04
2,q_proj,55179,0.0006222,0.01657,0.9828,8.948e-17,0.09682,0.9032,2.557e-17,0.1129,0.8871,1.438e-13,5.843,8.305e-13,7612
2,k_proj,55179,0.0006222,0.01657,0.9828,0.2693,0.1391,0.5917,0.09252,0.1804,0.7271,432.7,8.394,3616,1.18e+04
2,v_proj,55179,0.0006222,0.01657,0.9828,0.7644,0.06868,0.167,0.5712,0.1277,0.3011,1228,4.144,4.596e+04,4.287e+04
2,o_proj,55179,0.001273,0.01955,0.9792,0.00203,0.1522,0.8458,0.001327,0.1924,0.8063,1.594,7.786,14.79,1.393e+04
2,gate_proj,55179,0.0001549,0.01609,0.9838,0.0002479,0.2231,0.7767,1.755e-05,0.2361,0.7639,1.6,13.86,1.875,2.133e+04
2,up_proj,55179,0.0001549,0.01609,0.9838,0.0006384,0.1982,0.8012,4.604e-05,0.2132,0.7868,4.12,12.32,4.675,1.643e+04
2,down_proj,55179,0.0005503,0.02427,0.9752,0.002941,0.1351,0.862,0.0007225,0.2419,0.7574,5.343,5.565,19.77,1.18e+04
3,q_proj,55179,0.0009673,0.01617,0.9829,2.009e-16,0.1118,0.8882,8.765e-17,0.1201,0.8799,2.077e-13,6.912,1.864e-12,9092
3,k_proj,55179,0.0009673,0.01617,0.9829,0.269,0.1382,0.5928,0.1341,0.1646,0.7013,278.1,8.543,3037,1.037e+04
3,v_proj,55179,0.0009673,0.01617,0.9829,0.7212,0.06878,0.21,0.5413,0.1117,0.3469,745.6,4.253,2.212e+04,7272
3,o_proj,55179,0.0009999,0.01681,0.9822,0.003068,0.1304,0.8665,0.001537,0.1466,0.8519,3.068,7.761,21.21,1.25e+04
3,gate_proj,55179,0.001204,0.01363,0.9852,0.007948,0.2028,0.7893,0.004771,0.1797,0.8156,6.602,14.88,62.64,2.443e+04
3,up_proj,55179,0.001204,0.01363,0.9852,0.01001,0.1773,0.8127,0.005994,0.1569,0.8371,8.317,13.01,80.07,2.201e+04
3,down_proj,55179,0.5013,0.02508,0.4736,0.004078,0.12,0.8759,0.6623,0.07287,0.2649,0.008135,4.785,24.84,6338
4,q_proj,55179,0.001051,0.01602,0.9829,2.105e-16,0.0799,0.9201,1.089e-16,0.0939,0.9061,2.003e-13,4.986,2.224e-12,7927
4,k_proj,55179,0.001051,0.01602,0.9829,0.2166,0.1426,0.6408,0.1148,0.1676,0.7176,206.1,8.898,4184,3.185e+04
4,v_proj,55179,0.001051,0.01602,0.9829,0.656,0.1074,0.2366,0.4991,0.157,0.3439,624.3,6.701,2.155e+04,8.187e+04
4,o_proj,55179,0.001212,0.01526,0.9835,0.004391,0.1119,0.8837,0.001902,0.09149,0.9066,3.623,7.332,25.87,6585
4,gate_proj,55179,0.001845,0.01387,0.9843,0.001669,0.1621,0.8362,0.001431,0.147,0.8516,0.9048,11.69,10.37,1.131e+04
4,up_proj,55179,0.001845,0.01387,0.9843,0.004822,0.1288,0.8664,0.004185,0.1186,0.8772,2.613,9.283,32.36,8168
4,down_proj,55179,0.006066,0.02037,0.9736,0.005608,0.1262,0.8682,0.01372,0.1699,0.8163,0.9246,6.198,26.88,7117
5,q_proj,55179,0.0008589,0.01534,0.9838,2.337e-16,0.0987,0.9013,9.159e-17,0.1012,0.8988,2.72e-13,6.436,1.52e-12,1.434e+04
5,k_proj,55179,0.0008589,0.01534,0.9838,0.2686,0.1329,0.5985,0.1267,0.1548,0.7185,312.7,8.667,2862,1.364e+04
5,v_proj,55179,0.0008589,0.01534,0.9838,0.6934,0.0703,0.2363,0.5096,0.102,0.3885,807.3,4.584,1.791e+04,1.433e+04
5,o_proj,55179,0.0009295,0.01372,0.9853,0.005873,0.1238,0.8703,0.002629,0.1114,0.8859,6.318,9.025,27.9,7509
5,gate_proj,55179,0.001283,0.01539,0.9833,0.001267,0.1542,0.8445,0.0007105,0.1538,0.8454,0.9881,10.02,6.136,8698
5,up_proj,55179,0.001283,0.01539,0.9833,0.001836,0.1352,0.8629,0.001044,0.1367,0.8622,1.431,8.789,8.623,7847
5,down_proj,55179,0.0001191,0.01763,0.9823,0.005721,0.1251,0.8692,0.0003118,0.1614,0.8383,48.01,7.097,25.15,6905
6,q_proj,55179,0.001101,0.0148,0.9841,2.095e-16,0.08421,0.9158,1.009e-16,0.08014,0.9199,1.902e-13,5.688,1.498e-12,7004
6,k_proj,55179,0.001101,0.0148,0.9841,0.2623,0.093,0.6447,0.1499,0.1002,0.7498,238.1,6.282,2636,8018
6,v_proj,55179,0.001101,0.0148,0.9841,0.5636,0.07003,0.3664,0.3973,0.08658,0.5161,511.6,4.73,6888,3159
6,o_proj,55179,0.0007266,0.01374,0.9855,0.005648,0.1236,0.8707,0.002036,0.117,0.881,7.773,8.995,24.41,7330
6,gate_proj,55179,0.001226,0.01715,0.9816,0.0009712,0.1504,0.8486,0.0004993,0.1659,0.8336,0.7921,8.772,4.111,7140
6,up_proj,55179,0.001226,0.01715,0.9816,0.001276,0.1363,0.8624,0.0006667,0.1517,0.8477,1.04,7.949,4.949,5719
6,down_proj,55179,0.0006207,0.01879,0.9806,0.005885,0.119,0.8751,0.001672,0.1607,0.8377,9.48,6.334,22.2,5522
7,q_proj,55179,0.001329,0.0146,0.9841,4.126e-16,0.06264,0.9374,2.409e-16,0.05805,0.942,3.105e-13,4.291,1.982e-12,2966
7,k_proj,55179,0.001329,0.0146,0.9841,0.2248,0.1074,0.6677,0.1472,0.1077,0.7451,169.2,7.36,1762,6832
7,v_proj,55179,0.001329,0.0146,0.9841,0.6197,0.06544,0.3148,0.4916,0.08039,0.4281,466.4,4.483,7020,9041
7,o_proj,55179,0.0009367,0.01218,0.9869,0.006285,0.1197,0.874,0.002993,0.1027,0.8943,6.71,9.826,23.07,5977
7,gate_proj,55179,0.001936,0.01736,0.9807,0.001817,0.1461,0.8521,0.001487,0.1608,0.8378,0.9386,8.414,6.816,6539
7,up_proj,55179,0.001936,0.01736,0.9807,0.001941,0.1322,0.8658,0.001597,0.1454,0.853,1.003,7.616,6.728,4742
7,down_proj,55179,0.001994,0.01894,0.9791,0.00646,0.1132,0.8803,0.005717,0.1417,0.8525,3.239,5.98,21.39,4228
8,q_proj,55179,0.001076,0.01472,0.9842,9.306e-16,0.09053,0.9095,4.408e-16,0.0877,0.9123,8.651e-13,6.152,3.929e-12,4176
8,k_proj,55179,0.001076,0.01472,0.9842,0.2807,0.1383,0.5811,0.1601,0.1532,0.6868,260.9,9.395,2108,8283
8,v_proj,55179,0.001076,0.01472,0.9842,0.6842,0.07234,0.2435,0.5265,0.1027,0.3708,636.1,4.916,1.144e+04,8166
8,o_proj,55179,0.001139,0.01521,0.9836,0.006889,0.1059,0.8872,0.003613,0.1118,0.8846,6.046,6.961,22.89,4725
8,gate_proj,55179,0.002539,0.0174,0.9801,0.001771,0.1311,0.8671,0.001891,0.1432,0.8549,0.6977,7.535,6.11,4547
8,up_proj,55179,0.002539,0.0174,0.9801,0.003584,0.1213,0.8751,0.00386,0.1332,0.8629,1.412,6.972,11.79,4233
8,down_proj,55179,0.0003908,0.01887,0.9807,0.007455,0.09267,0.8999,0.001298,0.1214,0.8774,19.08,4.911,22.85,2785
9,q_proj,55179,0.0009994,0.01481,0.9842,2.588e-16,0.07408,0.9259,1.16e-16,0.07355,0.9265,2.589e-13,5.001,1.02e-12,5182
9,k_proj,55179,0.0009994,0.01481,0.9842,0.1846,0.1518,0.6636,0.09209,0.1639,0.744,184.8,10.24,1503,2.028e+04
9,v_proj,55179,0.0009994,0.01481,0.9842,0.7891,0.04546,0.1654,0.6882,0.05545,0.2564,789.6,3.068,2.529e+04,2.103e+04
9,o_proj,55179,0.0006529,0.01012,0.9892,0.006687,0.08453,0.9088,0.002376,0.06977,0.9279,10.24,8.355,21.06,3156
9,gate_proj,55179,0.002205,0.01704,0.9808,0.001279,0.1014,0.8973,0.00117,0.1077,0.8912,0.58,5.951,4.109,3130
9,up_proj,55179,0.002205,0.01704,0.9808,0.002773,0.09335,0.9039,0.002561,0.09971,0.8977,1.257,5.477,8.362,2561
9,down_proj,55179,0.0002012,0.01708,0.9827,0.007462,0.08633,0.9062,0.0006213,0.09428,0.9051,37.09,5.054,20.82,2047
10,q_proj,55179,0.001029,0.01415,0.9848,1.851e-16,0.06306,0.9369,8.306e-17,0.05893,0.9411,1.798e-13,4.458,6.205e-13,4765
10,k_proj,55179,0.001029,0.01415,0.9848,0.2219,0.1189,0.6592,0.1168,0.1236,0.7596,215.6,8.405,1560,6823
10,v_proj,55179,0.001029,0.01415,0.9848,0.6945,0.06034,0.2452,0.5616,0.07193,0.3665,674.8,4.265,1.025e+04,9541
10,o_proj,55179,0.0007708,0.009513,0.9897,0.00735,0.07858,0.9141,0.002806,0.05399,0.9432,9.536,8.26,20.69,2127
10,gate_proj,55179,0.0026,0.01633,0.9811,0.001197,0.09088,0.9079,0.001288,0.09055,0.9082,0.4603,5.565,3.544,2528
10,up_proj,55179,0.0026,0.01633,0.9811,0.002808,0.0806,0.9166,0.003033,0.08091,0.9161,1.08,4.936,7.747,2051
