pos,token_id,token,text,xnorm2,g,x_share,g_share
0,128000,<|begin_of_text|>,<|begin_of_text|>,231260,8.00338e+07,0.999928,0.000958114
1,128006,<|start_header_id|>,<|start_header_id|>,3.47335,1.31204e+10,1.50181e-05,0.157069
2,882,user,user,1.25539,1.30678e+10,5.4281e-06,0.156439
3,128007,<|end_header_id|>,<|end_header_id|>,0.675419,4.20911e+10,2.92039e-06,0.503888
4,271,ĊĊ,"

",1.34209,4.29082e+08,5.80295e-06,0.0051367
5,8144,Write,Write,0.807767,2.72809e+08,3.49264e-06,0.0032659
6,264,Ġa, a,1.19642,1.54732e+08,5.17313e-06,0.00185235
7,33894,Ġpoem, poem,0.908203,1.73472e+09,3.92691e-06,0.020767
8,13,.,.,0.51955,8.64008e+08,2.24644e-06,0.0103433
9,128009,<|eot_id|>,<|eot_id|>,0.532571,8.31983e+08,2.30274e-06,0.00995997
10,128006,<|start_header_id|>,<|start_header_id|>,0.605533,9.16978e+07,2.61822e-06,0.00109775
11,78191,assistant,assistant,1.01375,5.83638e+08,4.38327e-06,0.00698694
12,128007,<|end_header_id|>,<|end_header_id|>,0.428868,4.36382e+08,1.85435e-06,0.00522408
13,271,ĊĊ,"

",0.522976,3.48194e+09,2.26126e-06,0.0416836
14,791,The,The,0.434359,4.6243e+09,1.87809e-06,0.0553592
15,9581,Ġsea, sea,0.798965,4.84698e+08,3.45458e-06,0.0058025
16,374,Ġis, is,0.752398,7.92814e+08,3.25324e-06,0.00949106
17,6437,Ġblue, blue,1.07963,3.90517e+08,4.66812e-06,0.00467502
18,13,.,.,0.403816,0,1.74603e-06,0
