pos,token_id,token,text,xnorm2,g,x_share,g_share
0,151644,<|im_start|>,<|im_start|>,2210.13,1.56696e+06,0.314598,0.0170914
1,872,user,user,1662.12,410687,0.236592,0.00447951
2,198,Ċ,"
",172.642,745374,0.0245745,0.00813006
3,7985,Write,Write,344.233,9.60288e+06,0.0489994,0.104742
4,264,Ġa, a,269.507,1.429e+06,0.0383625,0.0155866
5,32794,Ġpoem, poem,250.517,5.41961e+06,0.0356595,0.0591136
6,13,.,.,274.347,8.80316e+06,0.0390515,0.0960192
7,151645,<|im_end|>,<|im_end|>,118.526,5.50203e+06,0.0168715,0.0600125
8,198,Ċ,"
",180.545,1.34947e+07,0.0256994,0.147192
9,151644,<|im_start|>,<|im_start|>,83.2492,6.92437e+06,0.01185,0.0755265
10,77091,assistant,assistant,214.87,5.0865e+06,0.0305854,0.0554802
11,198,Ċ,"
",96.1049,2.24698e+07,0.0136799,0.245086
12,785,The,The,111.193,7.7973e+06,0.0158277,0.0850478
13,9396,Ġsea, sea,195.291,1.49437e+06,0.0277984,0.0162997
14,374,Ġis, is,194.135,330214,0.0276338,0.00360176
15,6303,Ġblue, blue,501.219,604313,0.0713452,0.00659146
16,13,.,.,146.629,0,0.0208717,0
