layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,55179,0.001656,0.01542,0.9829,6.606e-13,0.3725,0.6275,3.495e-13,0.1896,0.8104,3.99e-10,24.16,2.843e-08,1.106e+06
0,k_proj,55179,0.001656,0.01542,0.9829,0.06466,0.1624,0.773,0.03551,0.1152,0.8493,39.05,10.53,2875,1.587e+05
0,v_proj,55179,0.001656,0.01542,0.9829,0.4192,0.3863,0.1945,0.3306,0.4323,0.2372,253.2,25.05,1.939e+04,1.106e+06
0,o_proj,55179,0.01114,0.03332,0.9555,0.05286,0.6022,0.3449,0.1314,0.7229,0.1457,4.747,18.07,2057,2.256e+06
0,gate_proj,55179,0.005888,0.02706,0.967,0.05353,0.5315,0.4149,0.06033,0.6739,0.2658,9.093,19.64,1097,8.984e+05
0,up_proj,55179,0.005888,0.02706,0.967,0.04337,0.5794,0.3772,0.04694,0.7228,0.2303,7.366,21.41,1110,1.35e+06
0,down_proj,55179,0.008987,0.02774,0.9633,0.02505,0.2927,0.6823,0.06637,0.4869,0.4467,2.788,10.55,236,1.496e+05
1,q_proj,55179,0.002113,0.01485,0.983,2.774e-12,0.2932,0.7068,2.601e-12,0.2852,0.7148,1.313e-09,19.75,5.938e-08,4.48e+05
1,k_proj,55179,0.002113,0.01485,0.983,0.1062,0.2555,0.6382,0.1136,0.2426,0.6438,50.28,17.21,1492,9.587e+04
1,v_proj,55179,0.002113,0.01485,0.983,0.2935,0.2944,0.4121,0.3189,0.2775,0.4036,138.9,19.83,5602,2.048e+05
1,o_proj,55179,0.01909,0.03537,0.9455,0.002541,0.3095,0.6879,0.01392,0.571,0.4151,0.1331,8.752,25.49,1.945e+05
1,gate_proj,55179,0.001935,0.01621,0.9819,0.007216,0.4216,0.5712,0.006658,0.4074,0.5859,3.729,26,92.03,3.382e+05
1,up_proj,55179,0.001935,0.01621,0.9819,0.005913,0.5125,0.4816,0.005555,0.4989,0.4956,3.056,31.61,94.13,6.409e+05
1,down_proj,55179,0.3208,0.2103,0.469,0.001578,0.2356,0.7629,0.7767,0.06615,0.1571,0.004921,1.12,12.56,8.997e+04
2,q_proj,55179,0.0006531,0.01694,0.9824,1.25e-16,0.2353,0.7647,3.461e-17,0.2822,0.7178,1.913e-13,13.89,1.214e-12,1.248e+05
2,k_proj,55179,0.0006531,0.01694,0.9824,0.2776,0.2584,0.4641,0.09486,0.3589,0.5462,425,15.25,4092,1.182e+05
2,v_proj,55179,0.0006531,0.01694,0.9824,0.7675,0.06146,0.171,0.6095,0.1275,0.263,1175,3.628,6.105e+04,5.491e+04
2,o_proj,55179,0.001405,0.01993,0.9787,0.001577,0.2313,0.7671,0.001207,0.2605,0.7383,1.122,11.61,13.51,1.009e+05
2,gate_proj,55179,0.0001334,0.01608,0.9838,0.0002124,0.3258,0.674,1.311e-05,0.335,0.665,1.592,20.26,2.049,1.42e+05
2,up_proj,55179,0.0001334,0.01608,0.9838,0.0007638,0.2995,0.6997,4.754e-05,0.3105,0.6894,5.726,18.62,7.009,1.274e+05
2,down_proj,55179,0.0003747,0.02425,0.9754,0.002421,0.1659,0.8317,0.0003923,0.307,0.6926,6.462,6.839,17.75,3.585e+04
3,q_proj,55179,0.0009638,0.01647,0.9826,2.227e-16,0.1499,0.8501,9.466e-17,0.1695,0.8305,2.31e-13,9.101,2.33e-12,5.276e+04
3,k_proj,55179,0.0009638,0.01647,0.9826,0.215,0.1569,0.6281,0.09912,0.1863,0.7146,223,9.525,3048,6.112e+04
3,v_proj,55179,0.0009638,0.01647,0.9826,0.735,0.06904,0.1959,0.5493,0.1209,0.3298,762.7,4.19,2.599e+04,5.633e+04
3,o_proj,55179,0.0009685,0.01663,0.9824,0.002553,0.1576,0.8399,0.001312,0.1669,0.8318,2.636,9.478,19.21,3.635e+04
3,gate_proj,55179,0.001111,0.01351,0.9854,0.01971,0.2472,0.7331,0.01155,0.2061,0.7824,17.75,18.3,187.5,6.893e+04
3,up_proj,55179,0.001111,0.01351,0.9854,0.01993,0.2411,0.739,0.01173,0.2007,0.7876,17.94,17.85,192.1,8.924e+04
3,down_proj,55179,0.5447,0.02576,0.4296,0.003625,0.1342,0.8621,0.6698,0.08137,0.2488,0.006655,5.211,23.25,2.976e+04
4,q_proj,55179,0.001023,0.01648,0.9825,4.838e-16,0.09611,0.9039,2.302e-16,0.1126,0.8874,4.73e-13,5.83,4.3e-12,2.018e+04
4,k_proj,55179,0.001023,0.01648,0.9825,0.2353,0.1578,0.6069,0.1198,0.1907,0.6895,230.1,9.572,4153,5.047e+04
4,v_proj,55179,0.001023,0.01648,0.9825,0.6931,0.08618,0.2208,0.5327,0.1341,0.3332,677.6,5.228,2.421e+04,5.875e+04
4,o_proj,55179,0.001181,0.01454,0.9843,0.003802,0.1243,0.8719,0.002129,0.1383,0.8596,3.219,8.549,23.95,2.811e+04
4,gate_proj,55179,0.001703,0.01374,0.9846,0.002787,0.1862,0.811,0.002294,0.161,0.8367,1.636,13.55,20.82,5.976e+04
4,up_proj,55179,0.001703,0.01374,0.9846,0.00553,0.1594,0.8351,0.004575,0.1394,0.856,3.247,11.6,37.37,4.317e+04
4,down_proj,55179,0.007112,0.02031,0.9726,0.005194,0.1332,0.8616,0.01637,0.188,0.7956,0.7304,6.561,25.05,2.036e+04
5,q_proj,55179,0.0008468,0.01568,0.9835,2.58e-16,0.07435,0.9257,1.016e-16,0.081,0.919,3.047e-13,4.743,1.683e-12,1.683e+04
5,k_proj,55179,0.0008468,0.01568,0.9835,0.3043,0.1562,0.5395,0.1418,0.1929,0.6653,359.4,9.966,3278,6.746e+04
5,v_proj,55179,0.0008468,0.01568,0.9835,0.6817,0.07315,0.2452,0.4857,0.1113,0.403,805,4.666,1.542e+04,3.464e+04
5,o_proj,55179,0.0009383,0.01353,0.9855,0.005398,0.1301,0.8645,0.002588,0.1335,0.8639,5.753,9.619,25.97,2.075e+04
5,gate_proj,55179,0.00112,0.01541,0.9835,0.001824,0.1707,0.8275,0.0009417,0.1704,0.8287,1.628,11.08,9.092,3.269e+04
5,up_proj,55179,0.00112,0.01541,0.9835,0.001678,0.1565,0.8419,0.0008605,0.1554,0.8437,1.498,10.16,7.459,2.369e+04
5,down_proj,55179,0.0001278,0.01743,0.9824,0.005948,0.1396,0.8544,0.0003567,0.1618,0.8378,46.54,8.012,23.28,1.672e+04
6,q_proj,55179,0.001053,0.01489,0.9841,4.675e-16,0.09676,0.9032,2.193e-16,0.09253,0.9075,4.439e-13,6.498,2.579e-12,1.37e+04
6,k_proj,55179,0.001053,0.01489,0.9841,0.2747,0.1057,0.6195,0.1518,0.1151,0.7332,260.9,7.1,1960,6036
6,v_proj,55179,0.001053,0.01489,0.9841,0.5716,0.07132,0.3571,0.397,0.08935,0.5137,542.7,4.789,5539,9729
6,o_proj,55179,0.0006553,0.01386,0.9855,0.005646,0.1331,0.8613,0.00206,0.1216,0.8764,8.617,9.603,22.42,1.605e+04
6,gate_proj,55179,0.001077,0.01721,0.9817,0.001119,0.1661,0.8327,0.0005164,0.1773,0.8222,1.039,9.654,4.333,1.934e+04
6,up_proj,55179,0.001077,0.01721,0.9817,0.001166,0.1505,0.8484,0.0005477,0.1624,0.837,1.082,8.743,4.104,1.376e+04
6,down_proj,55179,0.0004754,0.01914,0.9804,0.006109,0.1307,0.8632,0.001352,0.1706,0.8281,12.85,6.832,20.14,1.253e+04
7,q_proj,55179,0.001313,0.0147,0.984,6.068e-16,0.1094,0.8906,3.59e-16,0.09949,0.9005,4.62e-13,7.44,2.597e-12,2.839e+04
7,k_proj,55179,0.001313,0.0147,0.984,0.2442,0.1198,0.636,0.162,0.1198,0.7182,185.9,8.149,1574,1.396e+04
7,v_proj,55179,0.001313,0.0147,0.984,0.5463,0.1007,0.353,0.4174,0.1161,0.4665,415.9,6.849,4467,3.1e+04
7,o_proj,55179,0.0009434,0.01236,0.9867,0.00641,0.1248,0.8688,0.003105,0.1391,0.8578,6.795,10.1,21.05,1.187e+04
7,gate_proj,55179,0.001781,0.01739,0.9808,0.003257,0.1599,0.8369,0.002513,0.1743,0.8232,1.829,9.195,10.71,1.727e+04
7,up_proj,55179,0.001781,0.01739,0.9808,0.001917,0.1468,0.8513,0.001495,0.1611,0.8374,1.076,8.443,5.966,1.493e+04
7,down_proj,55179,0.002511,0.01903,0.9785,0.006778,0.1137,0.8796,0.007697,0.1482,0.8441,2.7,5.974,19.65,6762
8,q_proj,55179,0.001114,0.01482,0.9841,1.721e-15,0.09283,0.9072,8.484e-16,0.08886,0.9111,1.546e-12,6.265,6.742e-12,8206
8,k_proj,55179,0.001114,0.01482,0.9841,0.2329,0.1477,0.6193,0.1325,0.1573,0.7101,209.1,9.97,1292,1.567e+04
8,v_proj,55179,0.001114,0.01482,0.9841,0.6394,0.07561,0.285,0.4843,0.1001,0.4157,574.1,5.102,7466,1.203e+04
8,o_proj,55179,0.001114,0.01534,0.9835,0.007168,0.1089,0.8839,0.003721,0.1212,0.8751,6.435,7.102,21.17,6830
8,gate_proj,55179,0.002481,0.01741,0.9801,0.002937,0.1403,0.8567,0.003174,0.1537,0.8431,1.184,8.063,9.121,1.21e+04
8,up_proj,55179,0.002481,0.01741,0.9801,0.003386,0.1401,0.8565,0.003616,0.1509,0.8455,1.365,8.048,9.669,1.259e+04
