layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,54692,0.0006254,0.01752,0.9819,3.37e-15,0.1509,0.8491,8.124e-16,0.1648,0.8352,5.389e-12,8.614,1.462e-11,7127
0,k_proj,54692,0.0006254,0.01752,0.9819,0.4016,0.09616,0.5022,0.1471,0.147,0.7059,642.2,5.49,1952,2085
0,v_proj,54692,0.0006254,0.01752,0.9819,0.8194,0.04395,0.1366,0.5138,0.131,0.3553,1310,2.509,1.171e+04,3551
0,o_proj,54692,0.002121,0.01869,0.9792,0.09078,0.1506,0.7587,0.08897,0.1682,0.7428,42.8,8.054,227,1327
0,gate_proj,54692,0.002116,0.01651,0.9814,0.03382,0.1942,0.772,0.0315,0.1957,0.7728,15.98,11.76,109.4,3747
0,up_proj,54692,0.002116,0.01651,0.9814,0.04411,0.2071,0.7488,0.04104,0.2087,0.7503,20.84,12.54,142,4946
0,down_proj,54692,0.0005229,0.01129,0.9882,0.06437,0.1646,0.771,0.02275,0.1338,0.8435,123.1,14.58,155.6,2651
1,q_proj,54692,0.0001905,0.0157,0.9841,6.055e-16,0.145,0.855,4.809e-17,0.1442,0.8558,3.179e-12,9.238,3.079e-12,1.149e+04
1,k_proj,54692,0.0001905,0.0157,0.9841,0.4356,0.09864,0.4657,0.05825,0.1622,0.7796,2287,6.283,4344,9312
1,v_proj,54692,0.0001905,0.0157,0.9841,0.9617,0.007674,0.03063,0.671,0.06559,0.2634,5049,0.4888,9.785e+04,5217
1,o_proj,54692,0.0003968,0.01359,0.986,0.06357,0.1287,0.8077,0.01558,0.1092,0.8752,160.2,9.47,162.1,1342
1,gate_proj,54692,0.0012,0.01583,0.983,0.02169,0.1256,0.8528,0.01062,0.1284,0.861,18.08,7.932,66.55,3916
1,up_proj,54692,0.0012,0.01583,0.983,0.02586,0.1128,0.8614,0.01268,0.1186,0.8688,21.55,7.123,76.88,5569
1,down_proj,54692,0.002612,0.01753,0.9799,0.07862,0.1021,0.8193,0.0856,0.1174,0.797,30.1,5.822,191.4,2752
2,q_proj,54692,0.0003034,0.01651,0.9832,1.076e-16,0.1154,0.8846,1.348e-17,0.1218,0.8782,3.545e-13,6.99,3.781e-13,5126
2,k_proj,54692,0.0003034,0.01651,0.9832,0.2869,0.07407,0.639,0.04905,0.1024,0.8485,945.4,4.486,1119,3071
2,v_proj,54692,0.0003034,0.01651,0.9832,0.7931,0.02766,0.1792,0.3327,0.09356,0.5737,2614,1.675,6625,1603
2,o_proj,54692,0.0003078,0.01719,0.9825,0.07142,0.1061,0.8225,0.01076,0.126,0.8633,232,6.171,143.2,2139
2,gate_proj,54692,0.0006633,0.01672,0.9826,0.09239,0.1172,0.7904,0.02606,0.133,0.8409,139.3,7.011,248.4,2934
2,up_proj,54692,0.0006633,0.01672,0.9826,0.1458,0.1012,0.753,0.04392,0.1204,0.8357,219.9,6.051,366.4,2001
2,down_proj,54692,3.077e-05,0.01814,0.9818,0.5142,0.05568,0.4301,0.01377,0.1314,0.8548,1.671e+04,3.07,2029,1897
3,q_proj,54692,0.000374,0.016,0.9836,7.297e-17,0.09796,0.902,1.209e-17,0.09752,0.9025,1.951e-13,6.122,2.055e-13,1930
3,k_proj,54692,0.000374,0.016,0.9836,0.404,0.06738,0.5286,0.09943,0.1015,0.7991,1080,4.21,1842,1844
3,v_proj,54692,0.000374,0.016,0.9836,0.9192,0.01172,0.06906,0.6523,0.05097,0.2967,2458,0.7326,2.864e+04,2116
3,o_proj,54692,0.0007351,0.01656,0.9827,0.03136,0.09657,0.8721,0.01186,0.117,0.8712,42.66,5.83,67.04,1149
3,gate_proj,54692,0.0009386,0.01766,0.9814,0.09034,0.1295,0.7802,0.03486,0.1534,0.8118,96.25,7.334,272.7,9733
3,up_proj,54692,0.0009386,0.01766,0.9814,0.1404,0.1121,0.7475,0.05792,0.1382,0.8039,149.6,6.349,376.4,6710
3,down_proj,54692,8.648e-05,0.01962,0.9803,0.4332,0.06254,0.5042,0.03087,0.1321,0.837,5010,3.188,1590,3635
4,q_proj,54692,0.0004181,0.01627,0.9833,6.024e-16,0.1038,0.8962,1.099e-16,0.1078,0.8922,1.441e-12,6.381,1.372e-12,3868
