layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,62659,0.002034,0.01483,0.9831,2.104e-13,0.2103,0.7897,1.819e-13,0.2114,0.7886,1.034e-10,14.18,1.487e-09,2.024e+04
0,k_proj,62659,0.002034,0.01483,0.9831,0.05415,0.1747,0.7712,0.05611,0.181,0.7629,26.62,11.78,369.7,8256
0,v_proj,62659,0.002034,0.01483,0.9831,0.1696,0.1785,0.6519,0.1601,0.2015,0.6384,83.39,12.04,981.6,8698
0,o_proj,62659,0.005337,0.02104,0.9736,0.04675,0.1294,0.8239,0.1022,0.194,0.7037,8.76,6.151,210.9,6302
0,gate_proj,62659,0.002015,0.01444,0.9835,0.0296,0.1458,0.8246,0.02701,0.1436,0.8294,14.69,10.1,158.6,9084
0,up_proj,62659,0.002015,0.01444,0.9835,0.02815,0.1349,0.8369,0.02641,0.1341,0.8395,13.97,9.344,138.1,6498
0,down_proj,62659,0.006858,0.01837,0.9748,0.01611,0.1233,0.8606,0.05507,0.1673,0.7777,2.348,6.708,74.28,7551
1,q_proj,62659,0.001624,0.01329,0.9851,2.868e-14,0.1121,0.8879,2.255e-14,0.1031,0.8969,1.766e-11,8.43,2.137e-10,1.968e+04
1,k_proj,62659,0.001624,0.01329,0.9851,0.0603,0.1261,0.8136,0.04799,0.1181,0.8339,37.14,9.486,377.3,7816
1,v_proj,62659,0.001624,0.01329,0.9851,0.1009,0.1972,0.7019,0.08503,0.1877,0.7273,62.15,14.83,587.2,1.107e+04
1,o_proj,62659,0.009359,0.0296,0.961,0.0091,0.1167,0.8742,0.03444,0.2493,0.7162,0.9724,3.942,44.41,8360
1,gate_proj,62659,0.002198,0.01569,0.9821,0.02621,0.1532,0.8206,0.02687,0.1692,0.8039,11.92,9.763,141.9,1.186e+04
1,up_proj,62659,0.002198,0.01569,0.9821,0.01857,0.12,0.8615,0.02019,0.1354,0.8445,8.45,7.646,92.78,7332
1,down_proj,62659,0.006986,0.02123,0.9718,0.008191,0.09873,0.8931,0.02907,0.1706,0.8003,1.173,4.65,40.55,6818
2,q_proj,62659,0.001488,0.01311,0.9854,1.098e-13,0.1401,0.8599,8.216e-14,0.1318,0.8682,7.383e-11,10.69,8.232e-10,2.449e+04
2,k_proj,62659,0.001488,0.01311,0.9854,0.1158,0.1386,0.7456,0.08958,0.1349,0.7755,77.85,10.57,780.5,1.13e+04
2,v_proj,62659,0.001488,0.01311,0.9854,0.1518,0.1713,0.6769,0.1217,0.1673,0.7109,102.1,13.07,898.4,7077
2,o_proj,62659,0.01068,0.0325,0.9568,0.0007857,0.09517,0.904,0.003852,0.2377,0.7584,0.07359,2.929,4.112,7483
2,gate_proj,62659,0.002388,0.01719,0.9804,0.001537,0.1355,0.8629,0.00165,0.1687,0.8297,0.6437,7.883,8.895,1.222e+04
2,up_proj,62659,0.002388,0.01719,0.9804,0.001713,0.09912,0.8992,0.002026,0.1296,0.8684,0.7172,5.766,8.647,6009
2,down_proj,62659,0.9019,0.00386,0.09423,0.0006939,0.07935,0.92,0.7611,0.02832,0.2106,0.0007694,20.56,3.488,5581
3,q_proj,62659,0.0001389,0.01374,0.9861,1.105e-19,0.07615,0.9238,7.781e-21,0.0797,0.9203,7.96e-16,5.543,7.203e-16,8227
