layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,53700,0.001004,0.01628,0.9827,8.479e-17,0.672,0.328,4.095e-17,0.6262,0.3738,8.442e-14,41.28,1.345e-12,1.091e+06
0,k_proj,53700,0.001004,0.01628,0.9827,0.09075,0.2262,0.6831,0.04107,0.2383,0.7207,90.35,13.89,419.4,1.094e+04
0,v_proj,53700,0.001004,0.01628,0.9827,0.6663,0.07659,0.2571,0.4648,0.1225,0.4127,663.4,4.705,7033,1.297e+04
0,o_proj,53700,0.001002,0.01925,0.9797,0.00754,0.1614,0.8311,0.002813,0.1881,0.809,7.525,8.385,25.05,7571
0,gate_proj,53700,0.003131,0.01894,0.9779,0.001108,0.1796,0.8193,0.001209,0.1994,0.7993,0.3539,9.482,4.109,1.183e+04
0,up_proj,53700,0.003131,0.01894,0.9779,0.0009651,0.1886,0.8104,0.001057,0.2127,0.7863,0.3082,9.958,3.666,1.38e+04
0,down_proj,53700,0.2461,0.0166,0.7373,0.01178,0.1332,0.855,0.5935,0.06269,0.3438,0.04789,8.02,36.1,5821
1,q_proj,53700,0.0002398,0.01604,0.9837,1.166e-19,0.1269,0.8731,1.169e-20,0.1255,0.8745,4.863e-16,7.91,4.231e-16,7992
1,k_proj,53700,0.0002398,0.01604,0.9837,0.4828,0.08956,0.4276,0.08644,0.1536,0.76,2013,5.584,3114,5350
1,v_proj,53700,0.0002398,0.01604,0.9837,0.9376,0.01105,0.05135,0.6076,0.06761,0.3248,3909,0.6887,5.851e+04,6283
1,o_proj,53700,0.0004543,0.01634,0.9832,0.0003143,0.1316,0.868,5.776e-05,0.131,0.869,0.692,8.057,1.052,7087
1,gate_proj,53700,0.005393,0.01868,0.9759,0.0003149,0.1339,0.8658,0.0006109,0.1431,0.8563,0.05839,7.17,1.136,8309
1,up_proj,53700,0.005393,0.01868,0.9759,0.0004589,0.1397,0.8599,0.0008905,0.1488,0.8503,0.08509,7.477,1.669,8733
1,down_proj,53700,0.9976,4.995e-05,0.002336,0.000563,0.1155,0.8839,0.9863,0.001977,0.01169,0.0005644,2313,1.597,4489
2,q_proj,53700,5.722e-05,0.01563,0.9843,3.85e-19,0.09029,0.9097,9.335e-21,0.09064,0.9094,6.728e-15,5.777,1.098e-15,1.396e+04
2,k_proj,53700,5.722e-05,0.01563,0.9843,0.6264,0.07386,0.2997,0.03961,0.1783,0.782,1.095e+04,4.726,6087,2.621e+04
2,v_proj,53700,5.722e-05,0.01563,0.9843,0.9956,0.0008661,0.003525,0.8482,0.02826,0.1235,1.74e+04,0.05542,6.743e+05,1.3e+04
2,o_proj,53700,0.0005238,0.0109,0.9886,0.0005356,0.1123,0.8872,0.0001787,0.09507,0.9048,1.022,10.3,1.655,5462
2,gate_proj,53700,0.001761,0.01864,0.9796,0.0003303,0.1253,0.8744,0.0002071,0.1343,0.8655,0.1876,6.722,1.106,7820
2,up_proj,53700,0.001761,0.01864,0.9796,0.0002949,0.1172,0.8825,0.0001879,0.1264,0.8734,0.1675,6.288,0.8706,5945
2,down_proj,53700,0.0005794,0.01886,0.9806,0.0009383,0.1024,0.8967,0.0002097,0.1153,0.8845,1.62,5.427,2.566,4343
3,q_proj,53700,0.0001031,0.01638,0.9835,7.445e-19,0.1151,0.8849,3.231e-20,0.1143,0.8857,7.218e-15,7.028,2.268e-15,9961
3,k_proj,53700,0.0001031,0.01638,0.9835,0.5365,0.09534,0.3682,0.04809,0.195,0.7569,5202,5.82,3774,2.84e+04
3,v_proj,53700,0.0001031,0.01638,0.9835,0.9931,0.001553,0.00533,0.8629,0.03082,0.1063,9629,0.09483,3.993e+05,9504
3,o_proj,53700,0.0004988,0.01382,0.9857,0.0008588,0.09257,0.9066,0.0002306,0.09225,0.9075,1.722,6.696,2.468,5120
3,gate_proj,53700,0.001812,0.01852,0.9797,0.0004799,0.09736,0.9022,0.0003219,0.1043,0.8953,0.2649,5.257,1.403,4847
3,up_proj,53700,0.001812,0.01852,0.9797,0.0004302,0.08983,0.9097,0.0002926,0.09717,0.9025,0.2374,4.85,1.103,3589
3,down_proj,53700,0.0003495,0.01984,0.9798,0.001508,0.08141,0.9171,0.0002115,0.08474,0.915,4.315,4.103,3.593,2913
4,q_proj,53700,0.0001371,0.01599,0.9839,1.185e-18,0.05218,0.9478,6.96e-20,0.05036,0.9496,8.643e-15,3.264,2.617e-15,2516
4,k_proj,53700,0.0001371,0.01599,0.9839,0.5749,0.04586,0.3793,0.07374,0.09735,0.8289,4193,2.868,2895,3639
4,v_proj,53700,0.0001371,0.01599,0.9839,0.9884,0.001933,0.009669,0.8346,0.02692,0.1385,7209,0.1209,1.618e+05,3481
4,o_proj,53700,0.0007555,0.01113,0.9881,0.001471,0.0762,0.9223,0.0006722,0.06026,0.9391,1.947,6.848,3.604,2881
4,gate_proj,53700,0.001863,0.018,0.9801,0.0006406,0.07579,0.9236,0.000459,0.08017,0.9194,0.3439,4.211,1.443,2392
4,up_proj,53700,0.001863,0.018,0.9801,0.0004771,0.06764,0.9319,0.000344,0.07175,0.9279,0.2561,3.758,0.9598,1661
4,down_proj,53700,0.0001903,0.01649,0.9833,0.00221,0.06773,0.9301,0.0001698,0.06495,0.9349,11.61,4.107,4.292,1518
5,q_proj,53700,0.0001327,0.01595,0.9839,3.544e-18,0.04043,0.9596,2.01e-19,0.03904,0.961,2.671e-14,2.535,5.73e-15,958.2
5,k_proj,53700,0.0001327,0.01595,0.9839,0.5884,0.03198,0.3796,0.07522,0.06923,0.8556,4435,2.005,2684,1202
5,v_proj,53700,0.0001327,0.01595,0.9839,0.9864,0.001481,0.01207,0.8065,0.02057,0.1729,7435,0.09286,1.164e+05,2504
5,o_proj,53700,0.000969,0.009198,0.9898,0.002248,0.06765,0.9301,0.001313,0.04484,0.9538,2.32,7.355,4.66,1681
5,gate_proj,53700,0.001784,0.01725,0.981,0.0008582,0.06389,0.9353,0.0005994,0.06615,0.9332,0.4811,3.703,1.651,1290
5,up_proj,53700,0.001784,0.01725,0.981,0.0006797,0.05709,0.9422,0.0004778,0.05938,0.9401,0.381,3.309,1.149,924.6
5,down_proj,53700,0.0001668,0.01536,0.9845,0.003135,0.05777,0.9391,0.0002124,0.05444,0.9453,18.8,3.761,5.249,962.6
6,q_proj,53700,0.0001448,0.01609,0.9838,8.431e-18,0.03531,0.9647,5.224e-19,0.034,0.966,5.82e-14,2.195,1.183e-14,472.6
6,k_proj,53700,0.0001448,0.01609,0.9838,0.5869,0.02578,0.3873,0.08073,0.05526,0.864,4052,1.602,2174,1197
6,v_proj,53700,0.0001448,0.01609,0.9838,0.9766,0.002026,0.02139,0.7216,0.0234,0.255,6742,0.1259,6.062e+04,1528
6,o_proj,53700,0.001169,0.01116,0.9877,0.003198,0.05748,0.9393,0.002258,0.04694,0.9508,2.736,5.152,5.694,1057
6,gate_proj,53700,0.001988,0.017,0.981,0.001107,0.05416,0.9447,0.0008782,0.05561,0.9435,0.5567,3.185,1.868,878.4
6,up_proj,53700,0.001988,0.017,0.981,0.0009529,0.04757,0.9515,0.0007614,0.04908,0.9502,0.4793,2.798,1.392,596.4
6,down_proj,53700,0.0001426,0.0157,0.9842,0.004093,0.04847,0.9474,0.0002372,0.04607,0.9537,28.7,3.087,5.962,669.1
7,q_proj,53700,0.0001465,0.01598,0.9839,1.231e-17,0.02019,0.9798,7.775e-19,0.01969,0.9803,8.405e-14,1.263,2.168e-14,1275
7,k_proj,53700,0.0001465,0.01598,0.9839,0.6534,0.0577,0.2889,0.1061,0.1431,0.7508,4460,3.61,3341,1.326e+04
7,v_proj,53700,0.0001465,0.01598,0.9839,0.9697,0.002162,0.02816,0.668,0.02285,0.3091,6619,0.1353,4.815e+04,1293
7,o_proj,53700,0.001448,0.01197,0.9866,0.00437,0.04404,0.9516,0.003407,0.03694,0.9597,3.018,3.681,6.545,748.9
7,gate_proj,53700,0.001764,0.01653,0.9817,0.001424,0.04137,0.9572,0.001024,0.04203,0.9569,0.8075,2.503,2.026,537.4
7,up_proj,53700,0.001764,0.01653,0.9817,0.001295,0.03588,0.9628,0.0009345,0.03654,0.9625,0.734,2.17,1.665,415.6
7,down_proj,53700,0.0001363,0.01787,0.982,0.005198,0.03813,0.9567,0.0003044,0.03622,0.9635,38.13,2.134,6.725,491.3
8,q_proj,53700,0.0002192,0.01595,0.9838,2.262e-17,0.02175,0.9782,2.115e-18,0.02062,0.9794,1.032e-13,1.364,2.839e-14,296.2
8,k_proj,53700,0.0002192,0.01595,0.9838,0.5701,0.0246,0.4053,0.1115,0.04879,0.8397,2601,1.543,2064,759.9
8,v_proj,53700,0.0002192,0.01595,0.9838,0.9537,0.00288,0.04346,0.661,0.02015,0.3189,4352,0.1806,2.824e+04,626.6
8,o_proj,53700,0.001328,0.0104,0.9883,0.00539,0.03665,0.958,0.003819,0.027,0.9692,4.06,3.523,7.113,542.7
8,gate_proj,53700,0.001874,0.0166,0.9815,0.001671,0.03475,0.9636,0.001291,0.03498,0.9637,0.8917,2.093,2.118,518.5
8,up_proj,53700,0.001874,0.0166,0.9815,0.001311,0.03135,0.9673,0.001016,0.03157,0.9674,0.6991,1.888,1.519,563.9
8,down_proj,53700,0.0001138,0.01453,0.9854,0.005837,0.03205,0.9621,0.0002856,0.02982,0.9699,51.28,2.206,7.035,331.1
9,q_proj,53700,0.0002508,0.01557,0.9842,4.488e-17,0.0161,0.9839,4.786e-18,0.01503,0.985,1.789e-13,1.034,5.311e-14,250.2
9,k_proj,53700,0.0002508,0.01557,0.9842,0.611,0.01556,0.3734,0.1448,0.03188,0.8234,2437,0.9993,2173,681.8
9,v_proj,53700,0.0002508,0.01557,0.9842,0.9708,0.001632,0.02759,0.7825,0.01128,0.2063,3871,0.1049,4.285e+04,1040
9,o_proj,53700,0.00156,0.009787,0.9887,0.005706,0.03118,0.9631,0.004589,0.02205,0.9734,3.659,3.186,7.13,341.8
9,gate_proj,53700,0.001847,0.01615,0.982,0.001525,0.02793,0.9705,0.00117,0.02793,0.9709,0.8255,1.729,1.824,312.6
9,up_proj,53700,0.001847,0.01615,0.982,0.001001,0.02482,0.9742,0.000769,0.02483,0.9744,0.5418,1.537,1.121,269.7
9,down_proj,53700,7.331e-05,0.01315,0.9868,0.005956,0.02934,0.9647,0.0001881,0.0266,0.9732,81.24,2.232,6.97,274.7
10,q_proj,53700,0.0001689,0.01626,0.9836,2.928e-17,0.01046,0.9895,2.097e-18,0.009925,0.9901,1.733e-13,0.6433,3.175e-14,217.1
10,k_proj,53700,0.0001689,0.01626,0.9836,0.6116,0.01206,0.3763,0.1021,0.02659,0.8713,3620,0.7419,2004,649.7
10,v_proj,53700,0.0001689,0.01626,0.9836,0.9686,0.001173,0.03018,0.6916,0.01113,0.2973,5734,0.07217,3.784e+04,404.9
10,o_proj,53700,0.001305,0.00927,0.9894,0.006142,0.02991,0.9639,0.004317,0.02053,0.9752,4.708,3.227,7.432,295.1
10,gate_proj,53700,0.001283,0.01568,0.983,0.001518,0.02739,0.9711,0.0008114,0.02731,0.9719,1.183,1.747,1.762,343.4
10,up_proj,53700,0.001283,0.01568,0.983,0.0009521,0.02397,0.9751,0.0005095,0.02387,0.9756,0.7423,1.528,1.049,265.3
10,down_proj,53700,0.004043,0.01247,0.9835,0.006488,0.02828,0.9652,0.0116,0.02404,0.9644,1.605,2.268,7.433,293.9
11,q_proj,53700,0.0002227,0.01623,0.9835,4.34e-17,0.01167,0.9883,4.077e-18,0.01119,0.9888,1.949e-13,0.7189,4.802e-14,109.2
11,k_proj,53700,0.0002227,0.01623,0.9835,0.5778,0.01387,0.4083,0.1149,0.0283,0.8568,2594,0.8547,1874,252.7
11,v_proj,53700,0.0002227,0.01623,0.9835,0.9569,0.001784,0.0413,0.6803,0.01291,0.3068,4297,0.1099,2.938e+04,530.8
11,o_proj,53700,0.002093,0.01258,0.9853,0.006924,0.02848,0.9646,0.007277,0.02477,0.968,3.308,2.263,8.248,335
11,gate_proj,53700,0.001487,0.01562,0.9829,0.002834,0.02459,0.9726,0.001776,0.02456,0.9737,1.905,1.574,3.139,314.4
11,up_proj,53700,0.001487,0.01562,0.9829,0.001484,0.02192,0.9766,0.0009309,0.02187,0.9772,0.9977,1.403,1.562,275.3
11,down_proj,53700,0.0001758,0.0127,0.9871,0.007101,0.02584,0.9671,0.000567,0.02147,0.978,40.39,2.034,8.225,286.8
12,q_proj,53700,0.0002225,0.0166,0.9832,1.214e-17,0.01212,0.9879,1.137e-18,0.01194,0.9881,5.456e-14,0.7304,1.436e-14,122
12,k_proj,53700,0.0002225,0.0166,0.9832,0.6277,0.007119,0.3652,0.1368,0.01627,0.847,2822,0.4289,2128,174.9
12,v_proj,53700,0.0002225,0.0166,0.9832,0.9331,0.001622,0.06531,0.5669,0.01031,0.4228,4194,0.0977,1.331e+04,273.5
12,o_proj,53700,0.001247,0.009145,0.9896,0.007394,0.02632,0.9663,0.004743,0.01634,0.9789,5.929,2.878,9.014,329.7
12,gate_proj,53700,0.001759,0.01547,0.9828,0.002547,0.02285,0.9746,0.001906,0.02256,0.9755,1.448,1.477,2.849,297.5
12,up_proj,53700,0.001759,0.01547,0.9828,0.001482,0.02048,0.978,0.001113,0.02026,0.9786,0.8428,1.323,1.633,280.6
12,down_proj,53700,0.0001046,0.01289,0.987,0.007057,0.02358,0.9694,0.0003415,0.0202,0.9795,67.48,1.829,8.598,313.3
13,q_proj,53700,0.0001738,0.01607,0.9838,3.915e-17,0.009857,0.9901,2.863e-18,0.009498,0.9905,2.252e-13,0.6132,4.77e-14,224.6
13,k_proj,53700,0.0001738,0.01607,0.9838,0.5208,0.01371,0.4655,0.07496,0.02581,0.8992,2996,0.8531,1674,520.3
13,v_proj,53700,0.0001738,0.01607,0.9838,0.9437,0.002015,0.0543,0.5573,0.01534,0.4273,5429,0.1254,2.374e+04,437
13,o_proj,53700,0.001031,0.007453,0.9915,0.007524,0.02331,0.9692,0.004154,0.01328,0.9826,7.3,3.128,9.935,345.7
13,gate_proj,53700,0.001424,0.01539,0.9832,0.002693,0.01981,0.9775,0.001651,0.01949,0.9789,1.891,1.287,3.217,285.3
13,up_proj,53700,0.001424,0.01539,0.9832,0.001382,0.0187,0.9799,0.0008504,0.01842,0.9807,0.9707,1.215,1.665,293.4
13,down_proj,53700,0.0002139,0.01271,0.9871,0.007194,0.02261,0.9702,0.0007214,0.01933,0.9799,33.64,1.779,9.757,347.9
14,q_proj,53700,0.0001734,0.01658,0.9833,4.84e-17,0.01128,0.9887,3.513e-18,0.01106,0.9889,2.792e-13,0.6805,5.973e-14,261.9
14,k_proj,53700,0.0001734,0.01658,0.9833,0.6696,0.008551,0.3219,0.1288,0.02228,0.8489,3862,0.5158,2592,217.4
14,v_proj,53700,0.0001734,0.01658,0.9833,0.933,0.00215,0.06485,0.5037,0.01564,0.4806,5381,0.1297,1.572e+04,298.7
14,o_proj,53700,0.0009929,0.007752,0.9913,0.007794,0.02264,0.9696,0.004554,0.01394,0.9815,7.85,2.92,11.51,406.8
14,gate_proj,53700,0.001399,0.01526,0.9833,0.002931,0.01941,0.9777,0.001778,0.01911,0.9791,2.095,1.272,3.864,338.6
14,up_proj,53700,0.001399,0.01526,0.9833,0.001901,0.01956,0.9785,0.00116,0.01924,0.9796,1.359,1.281,2.544,377.5
14,down_proj,53700,0.0001918,0.01447,0.9853,0.007257,0.02227,0.9705,0.0006309,0.02027,0.9791,37.84,1.539,11.26,432.9
15,q_proj,53700,0.0001457,0.01623,0.9836,1.06e-17,0.01253,0.9875,6.498e-19,0.01217,0.9878,7.272e-14,0.7721,1.846e-14,367.7
15,k_proj,53700,0.0001457,0.01623,0.9836,0.5931,0.01144,0.3955,0.08267,0.02478,0.8925,4070,0.7049,2141,429
15,v_proj,53700,0.0001457,0.01623,0.9836,0.9699,0.001172,0.0289,0.6665,0.01244,0.3211,6656,0.0722,4.598e+04,869.6
15,o_proj,53700,0.0005446,0.006814,0.9926,0.006688,0.02111,0.9722,0.001836,0.01101,0.9872,12.28,3.098,11.85,542.3
15,gate_proj,53700,0.001058,0.01533,0.9836,0.001995,0.01834,0.9797,0.0009118,0.01796,0.9811,1.885,1.196,3.356,500.4
15,up_proj,53700,0.001058,0.01533,0.9836,0.001377,0.01925,0.9794,0.0006333,0.01869,0.9807,1.301,1.256,2.285,495.2
15,down_proj,53700,0.0001693,0.01449,0.9853,0.006205,0.02123,0.9726,0.0004838,0.02017,0.9793,36.64,1.465,11.54,587.8
16,q_proj,53700,0.0001052,0.01671,0.9832,1.881e-17,0.01034,0.9897,8.257e-19,0.01009,0.9899,1.787e-13,0.6185,2.843e-14,124.7
16,k_proj,53700,0.0001052,0.01671,0.9832,0.5918,0.01093,0.3973,0.06053,0.02478,0.9147,5625,0.6537,2148,373.9
