layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,53700,0.001728,0.0164,0.9819,1.581e-16,0.5667,0.4333,1.193e-16,0.5193,0.4807,9.149e-14,34.57,3.477e-12,1.137e+06
0,k_proj,53700,0.001728,0.0164,0.9819,0.09568,0.2397,0.6646,0.07186,0.2488,0.6794,55.38,14.62,605.3,1.752e+04
0,v_proj,53700,0.001728,0.0164,0.9819,0.6691,0.09129,0.2396,0.5996,0.11,0.2903,387.3,5.568,1.039e+04,2.652e+04
0,o_proj,53700,0.0008631,0.01812,0.981,0.006417,0.1977,0.7959,0.001979,0.2209,0.7771,7.435,10.91,32.55,2e+04
0,gate_proj,53700,0.00353,0.01924,0.9772,0.001313,0.2191,0.7795,0.001576,0.2389,0.7595,0.372,11.39,7.525,2.543e+04
0,up_proj,53700,0.00353,0.01924,0.9772,0.001283,0.2243,0.7744,0.001545,0.2482,0.7503,0.3633,11.66,7.312,2.882e+04
0,down_proj,53700,0.2754,0.01666,0.7079,0.01042,0.1669,0.8227,0.5912,0.07408,0.3347,0.03784,10.02,47.67,1.644e+04
1,q_proj,53700,0.0001851,0.01556,0.9843,7.566e-20,0.1471,0.8529,5.936e-21,0.1377,0.8623,4.088e-16,9.449,4.193e-16,2.034e+04
1,k_proj,53700,0.0001851,0.01556,0.9843,0.4821,0.1029,0.415,0.06863,0.1742,0.7572,2605,6.61,4347,9279
1,v_proj,53700,0.0001851,0.01556,0.9843,0.9406,0.01244,0.04692,0.5572,0.08733,0.3554,5082,0.7993,9.568e+04,1.531e+04
1,o_proj,53700,0.0005541,0.01703,0.9824,0.0002487,0.1638,0.836,5.017e-05,0.1632,0.8368,0.4488,9.615,1.235,1.944e+04
