layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,53700,0.000602,0.01667,0.9827,2.285e-16,0.4119,0.5881,5.719e-17,0.424,0.576,3.796e-13,24.71,9.206e-13,5.92e+04
0,k_proj,53700,0.000602,0.01667,0.9827,0.2922,0.2567,0.4512,0.0935,0.3391,0.5674,485.3,15.4,1233,5.303e+04
0,v_proj,53700,0.000602,0.01667,0.9827,0.8294,0.03582,0.1348,0.5542,0.09468,0.3511,1378,2.149,1.338e+04,8490
0,o_proj,53700,0.001744,0.01961,0.9787,0.003596,0.1995,0.7969,0.00281,0.2065,0.7907,2.063,10.17,7.716,8396
0,gate_proj,53700,0.002498,0.01879,0.9787,0.001308,0.139,0.8597,0.001185,0.148,0.8508,0.5238,7.396,2.696,2582
0,up_proj,53700,0.002498,0.01879,0.9787,0.001307,0.1986,0.8001,0.001191,0.213,0.7858,0.5232,10.57,2.901,1.054e+04
0,down_proj,53700,0.5738,0.008296,0.4179,0.006079,0.1168,0.8771,0.7544,0.03305,0.2125,0.01059,14.08,10.18,833.3
1,q_proj,53700,0.000169,0.01688,0.983,2.061e-20,0.08897,0.911,1.451e-21,0.08941,0.9106,1.22e-16,5.271,4.186e-17,1117
1,k_proj,53700,0.000169,0.01688,0.983,0.5706,0.05715,0.3722,0.08451,0.1238,0.7917,3377,3.386,2854,6759
1,v_proj,53700,0.000169,0.01688,0.983,0.9758,0.003542,0.02066,0.7383,0.0384,0.2233,5775,0.2098,7.066e+04,2092
1,o_proj,53700,0.0006799,0.01428,0.985,0.0001058,0.1123,0.8876,3.454e-05,0.09842,0.9016,0.1556,7.865,0.1849,901.9
1,gate_proj,53700,0.01297,0.01897,0.9681,0.0001416,0.1049,0.895,0.0006799,0.1158,0.8835,0.01092,5.53,0.2429,792.1
1,up_proj,53700,0.01297,0.01897,0.9681,0.0001223,0.09788,0.902,0.0006006,0.1095,0.8899,0.009429,5.16,0.1927,595.4
1,down_proj,53700,0.999,1.93e-05,0.0009333,0.000176,0.08775,0.9121,0.9863,0.001448,0.01222,0.0001761,4547,0.2546,412.8
2,q_proj,53700,0.000106,0.01605,0.9838,1.09e-19,0.05003,0.95,4.864e-21,0.049,0.951,1.028e-15,3.117,1.624e-16,244.6
2,k_proj,53700,0.000106,0.01605,0.9838,0.6481,0.03211,0.3198,0.07677,0.08221,0.841,6114,2,3366,763.2
2,v_proj,53700,0.000106,0.01605,0.9838,0.9904,0.001343,0.008254,0.8247,0.02395,0.1514,9343,0.08367,1.613e+05,548.2
2,o_proj,53700,0.001002,0.01207,0.9869,0.0001561,0.0868,0.913,8.81e-05,0.0668,0.9331,0.1557,7.192,0.238,428.4
2,gate_proj,53700,0.003182,0.01893,0.9779,0.0001803,0.08602,0.9138,0.0002201,0.09462,0.9052,0.05666,4.544,0.2623,353.5
2,up_proj,53700,0.003182,0.01893,0.9779,0.0001241,0.07262,0.9273,0.0001552,0.08143,0.9184,0.03901,3.836,0.1621,259.1
2,down_proj,53700,0.0007563,0.01922,0.98,0.000242,0.06876,0.931,7.635e-05,0.078,0.9219,0.32,3.578,0.2954,212.3
3,q_proj,53700,0.0002095,0.01622,0.9836,1.166e-19,0.06089,0.9391,1.032e-20,0.05948,0.9405,5.565e-16,3.754,1.501e-16,587.1
3,k_proj,53700,0.0002095,0.01622,0.9836,0.5164,0.04496,0.4386,0.08714,0.08297,0.8299,2465,2.772,1646,722.8
3,v_proj,53700,0.0002095,0.01622,0.9836,0.9769,0.002386,0.02067,0.7927,0.02117,0.1861,4663,0.1471,5.866e+04,560.4
3,o_proj,53700,0.001001,0.01417,0.9848,0.0002167,0.06451,0.9353,0.000105,0.05664,0.9433,0.2166,4.551,0.2602,211.4
3,gate_proj,53700,0.002634,0.01812,0.9793,0.0002157,0.06452,0.9353,0.0002295,0.06849,0.9313,0.08188,3.562,0.2415,188
3,up_proj,53700,0.002634,0.01812,0.9793,9.036e-05,0.05778,0.9421,9.66e-05,0.06144,0.9385,0.0343,3.19,0.09669,173.8
3,down_proj,53700,0.0004779,0.01718,0.9823,0.0002879,0.05908,0.9406,5.671e-05,0.0596,0.9403,0.6025,3.439,0.2831,130.1
4,q_proj,53700,0.0002307,0.01632,0.9834,2.527e-19,0.0456,0.9544,2.465e-20,0.04464,0.9554,1.095e-15,2.794,2.656e-16,157.5
4,k_proj,53700,0.0002307,0.01632,0.9834,0.602,0.02887,0.3691,0.1293,0.06179,0.8089,2609,1.768,1918,284.6
4,v_proj,53700,0.0002307,0.01632,0.9834,0.9609,0.003717,0.03536,0.7076,0.0273,0.2651,4164,0.2277,2.753e+04,227.6
4,o_proj,53700,0.001549,0.01214,0.9863,0.0002896,0.05529,0.9444,0.0002095,0.04282,0.957,0.1869,4.553,0.2826,125.4
4,gate_proj,53700,0.002401,0.01734,0.9803,0.0002328,0.05104,0.9487,0.0002301,0.05263,0.9471,0.09696,2.944,0.2234,115.9
4,up_proj,53700,0.002401,0.01734,0.9803,9.038e-05,0.0462,0.9537,8.923e-05,0.0476,0.9523,0.03764,2.664,0.07937,91.47
4,down_proj,53700,0.0006378,0.01665,0.9827,0.0003021,0.04988,0.9498,8.002e-05,0.04939,0.9505,0.4736,2.995,0.2531,96.15
5,q_proj,53700,0.000168,0.01592,0.9839,3.448e-19,0.02519,0.9748,2.448e-20,0.02407,0.9759,2.053e-15,1.582,3.299e-16,90.65
5,k_proj,53700,0.000168,0.01592,0.9839,0.672,0.02241,0.3055,0.1296,0.05731,0.8131,4001,1.408,2753,236.7
5,v_proj,53700,0.000168,0.01592,0.9839,0.9621,0.00321,0.03465,0.6492,0.02867,0.3221,5729,0.2017,2.902e+04,194.7
5,o_proj,53700,0.001936,0.01264,0.9854,0.000323,0.04933,0.9504,0.0002918,0.0415,0.9582,0.1668,3.904,0.2736,108.1
5,gate_proj,53700,0.00228,0.01672,0.981,0.0002649,0.04458,0.9552,0.0002513,0.04491,0.9548,0.1162,2.666,0.2211,99.41
5,up_proj,53700,0.00228,0.01672,0.981,0.0001137,0.03909,0.9608,0.0001079,0.03934,0.9606,0.04986,2.337,0.08757,70.1
5,down_proj,53700,0.0006643,0.01531,0.984,0.000348,0.04555,0.9541,9.826e-05,0.04198,0.9579,0.5239,2.975,0.2628,88.01
6,q_proj,53700,0.0002885,0.01636,0.9834,3.5e-19,0.02585,0.9741,4.252e-20,0.02528,0.9747,1.213e-15,1.581,2.958e-16,38.4
6,k_proj,53700,0.0002885,0.01636,0.9834,0.549,0.02126,0.4297,0.1299,0.04008,0.83,1903,1.3,1233,133.8
6,v_proj,53700,0.0002885,0.01636,0.9834,0.884,0.007207,0.1088,0.4835,0.03141,0.485,3065,0.4406,7258,114.9
6,o_proj,53700,0.001932,0.0128,0.9853,0.0003866,0.04579,0.9538,0.0003434,0.0376,0.9621,0.2002,3.578,0.2965,95.61
6,gate_proj,53700,0.002006,0.01612,0.9819,0.0002823,0.04207,0.9576,0.000237,0.04104,0.9587,0.1407,2.609,0.2212,90.11
6,up_proj,53700,0.002006,0.01612,0.9819,0.0001328,0.03676,0.9631,0.0001115,0.03583,0.9641,0.06622,2.28,0.09463,69.26
6,down_proj,53700,0.0006135,0.01483,0.9846,0.0003652,0.04291,0.9567,9.59e-05,0.03857,0.9613,0.5953,2.893,0.2615,85.23
7,q_proj,53700,0.0002459,0.01596,0.9838,7.852e-19,0.01451,0.9855,8.136e-20,0.01399,0.986,3.194e-15,0.9091,6.425e-16,40.12
7,k_proj,53700,0.0002459,0.01596,0.9838,0.5571,0.01614,0.4268,0.116,0.031,0.853,2266,1.011,1439,110.3
