layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,53700,0.001021,0.01628,0.9827,4.865e-16,0.7131,0.2869,2.383e-16,0.6727,0.3273,4.764e-13,43.79,1.632e-11,2.474e+06
0,k_proj,53700,0.001021,0.01628,0.9827,0.1038,0.2567,0.6395,0.04802,0.2715,0.6804,101.7,15.76,803.8,5.718e+04
0,v_proj,53700,0.001021,0.01628,0.9827,0.7105,0.08399,0.2055,0.5179,0.1395,0.3426,695.8,5.158,1.419e+04,3.385e+04
0,o_proj,53700,0.001033,0.01978,0.9792,0.009899,0.21,0.7801,0.003564,0.2149,0.7815,9.584,10.62,50.91,2.111e+04
0,gate_proj,53700,0.003244,0.01869,0.9781,0.001609,0.2376,0.7608,0.001777,0.2678,0.7304,0.496,12.71,9.379,3.173e+04
0,up_proj,53700,0.003244,0.01869,0.9781,0.001387,0.2619,0.7367,0.001531,0.2973,0.7012,0.4276,14.01,8.456,4.481e+04
0,down_proj,53700,0.1972,0.01705,0.7857,0.01627,0.1686,0.8151,0.6061,0.07492,0.319,0.08248,9.89,74.11,1.262e+04
1,q_proj,53700,0.0002364,0.01612,0.9836,2.007e-19,0.126,0.874,1.984e-20,0.1242,0.8758,8.489e-16,7.814,1.076e-15,1.119e+04
1,k_proj,53700,0.0002364,0.01612,0.9836,0.4615,0.1246,0.4139,0.07943,0.2039,0.7166,1952,7.727,4269,5.293e+04
1,v_proj,53700,0.0002364,0.01612,0.9836,0.9472,0.01268,0.04008,0.6428,0.08202,0.2752,4007,0.7865,1.052e+05,3.494e+04
1,o_proj,53700,0.0005413,0.01582,0.9836,0.0004749,0.1657,0.8338,9.877e-05,0.1433,0.8566,0.8774,10.48,2.302,1.526e+04
1,gate_proj,53700,0.005706,0.01915,0.9751,0.0004996,0.1608,0.8387,0.0009946,0.1703,0.8287,0.08755,8.399,2.615,1.764e+04
1,up_proj,53700,0.005706,0.01915,0.9751,0.001199,0.1761,0.8227,0.002388,0.1864,0.8112,0.2101,9.197,6.435,1.998e+04
1,down_proj,53700,0.9976,5.382e-05,0.002359,0.000828,0.1385,0.8606,0.9902,0.001779,0.007974,0.00083,2574,3.315,1.048e+04
