layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,53700,0.001737,0.01643,0.9818,1.455e-16,0.7632,0.2368,1.204e-16,0.7438,0.2562,8.375e-14,46.46,1.165e-11,4.436e+06
0,k_proj,53700,0.001737,0.01643,0.9818,0.085,0.5543,0.3607,0.06129,0.5982,0.3405,48.92,33.75,2752,1.154e+06
0,v_proj,53700,0.001737,0.01643,0.9818,0.7408,0.09718,0.162,0.6835,0.1234,0.1931,426.4,5.916,4.576e+04,1.961e+05
0,o_proj,53700,0.0008425,0.01881,0.9803,0.007123,0.2399,0.753,0.002635,0.2478,0.7495,8.455,12.76,109,1.83e+05
0,gate_proj,53700,0.003532,0.01935,0.9771,0.001311,0.2912,0.7075,0.001553,0.3214,0.6771,0.3712,15.05,22.32,2.748e+05
0,up_proj,53700,0.003532,0.01935,0.9771,0.001261,0.2856,0.7132,0.001496,0.3195,0.679,0.3571,14.76,22.39,2.391e+05
0,down_proj,53700,0.2659,0.01659,0.7175,0.01199,0.1466,0.8414,0.5965,0.07642,0.3271,0.04509,8.833,151.4,5.072e+04
1,q_proj,53700,0.0001843,0.01556,0.9843,5.867e-20,0.1732,0.8268,4.724e-21,0.1733,0.8267,3.182e-16,11.13,9.476e-16,2.067e+05
1,k_proj,53700,0.0001843,0.01556,0.9843,0.5495,0.1579,0.2926,0.09031,0.304,0.6057,2981,10.15,1.408e+04,1.879e+05
1,v_proj,53700,0.0001843,0.01556,0.9843,0.959,0.01061,0.03043,0.6525,0.08532,0.2622,5202,0.6819,2.97e+05,9e+04
1,o_proj,53700,0.0005584,0.01689,0.9826,0.0001866,0.1371,0.8627,4.612e-05,0.1445,0.8555,0.3343,8.119,2.57,5.236e+04
1,gate_proj,53700,0.006486,0.0193,0.9742,0.0003139,0.1335,0.8662,0.0007374,0.1465,0.8527,0.0484,6.915,4.621,5.077e+04
1,up_proj,53700,0.006486,0.0193,0.9742,0.000804,0.1471,0.8521,0.001898,0.1612,0.8369,0.124,7.62,11.68,5.831e+04
1,down_proj,53700,0.9982,3.835e-05,0.001797,0.000301,0.1155,0.8842,0.9838,0.002311,0.01384,0.0003015,3012,3.59,3.374e+04
2,q_proj,53700,4.994e-05,0.01565,0.9843,6.668e-20,0.06733,0.9327,1.414e-21,0.06669,0.9333,1.335e-15,4.302,1.619e-15,1.355e+05
2,k_proj,53700,4.994e-05,0.01565,0.9843,0.5556,0.06258,0.3818,0.0259,0.1264,0.8477,1.113e+04,3.999,4.391e+04,2.73e+05
2,v_proj,53700,4.994e-05,0.01565,0.9843,0.9955,0.001075,0.003382,0.8293,0.03894,0.1318,1.993e+04,0.06872,2.45e+06,1.072e+05
2,o_proj,53700,0.0004906,0.01119,0.9883,0.0002855,0.1111,0.8886,7.529e-05,0.09433,0.9056,0.582,9.926,3.4,3.206e+04
2,gate_proj,53700,0.002183,0.01969,0.9781,0.0002055,0.1228,0.8769,0.0001649,0.1358,0.8641,0.09418,6.238,2.516,3.233e+04
2,up_proj,53700,0.002183,0.01969,0.9781,0.0001649,0.1181,0.8817,0.0001338,0.1307,0.8691,0.07557,5.997,1.788,2.885e+04
2,down_proj,53700,0.0005421,0.02031,0.9791,0.0004879,0.09246,0.907,0.0001177,0.1159,0.8839,0.9,4.552,5.12,2.369e+04
