layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,262106,0.0003551,0.003412,0.9962,1.008e-16,0.005544,0.9945,5.615e-17,0.003763,0.9962,2.839e-13,1.625,8.202e-10,3.206e+06
0,k_proj,262106,0.0003551,0.003412,0.9962,0.009761,0.006901,0.9833,0.007005,0.006005,0.987,27.48,2.022,1.156e+04,1.579e+05
0,v_proj,262106,0.0003551,0.003412,0.9962,0.4989,0.00605,0.495,0.4132,0.006175,0.5806,1405,1.773,9.043e+05,2.882e+05
0,o_proj,262106,0.0001768,0.003917,0.9959,0.006933,0.01034,0.9827,0.001635,0.008457,0.9899,39.2,2.64,5190,3.618e+05
0,gate_proj,262106,0.000722,0.003996,0.9953,0.001402,0.01072,0.9879,0.001506,0.01016,0.9883,1.942,2.682,1204,4.084e+05
0,up_proj,262106,0.000722,0.003996,0.9953,0.001089,0.01044,0.9885,0.001176,0.009824,0.989,1.509,2.612,976.4,4.013e+05
0,down_proj,262106,0.0694,0.004415,0.9262,0.01401,0.01277,0.9732,0.6022,0.005813,0.3919,0.2019,2.893,8040,4.159e+05
1,q_proj,262106,3.679e-05,0.003109,0.9969,5.077e-20,0.007206,0.9928,3.767e-21,0.006406,0.9936,1.38e-15,2.318,4.066e-14,4.108e+05
1,k_proj,262106,3.679e-05,0.003109,0.9969,0.4082,0.006459,0.5853,0.05072,0.009354,0.9399,1.11e+04,2.078,5.417e+05,5.452e+05
1,v_proj,262106,3.679e-05,0.003109,0.9969,0.9637,0.0008256,0.03544,0.6725,0.006826,0.3206,2.62e+04,0.2656,1.518e+07,4.844e+05
1,o_proj,262106,0.0001128,0.003445,0.9964,0.0001802,0.01229,0.9875,4.489e-05,0.01722,0.9827,1.598,3.567,113.1,5.049e+05
1,gate_proj,262106,0.001349,0.004032,0.9946,0.0001541,0.01181,0.988,0.0003119,0.01225,0.9874,0.1143,2.929,112.5,5.338e+05
1,up_proj,262106,0.001349,0.004032,0.9946,0.0002213,0.01294,0.9868,0.000447,0.01346,0.9861,0.1641,3.211,156,5.601e+05
1,down_proj,262106,0.9913,4.132e-05,0.008659,0.0003777,0.01365,0.986,0.9779,0.0002416,0.02181,0.000381,330.3,166.9,4.124e+05
2,q_proj,262106,9.974e-06,0.003145,0.9968,1.57e-19,0.02597,0.974,3.27e-21,0.02464,0.9754,1.574e-14,8.259,4.406e-14,8.247e+05
2,k_proj,262106,9.974e-06,0.003145,0.9968,0.8021,0.007096,0.1908,0.07666,0.03005,0.8933,8.041e+04,2.256,9.322e+05,5.564e+05
2,v_proj,262106,9.974e-06,0.003145,0.9968,0.9983,5.444e-05,0.00165,0.9241,0.00225,0.07369,1.001e+05,0.01731,1.147e+08,3.583e+05
2,o_proj,262106,9.282e-05,0.002117,0.9978,0.0002949,0.0135,0.9862,0.0001637,0.01519,0.9846,3.177,6.376,154.9,5.194e+05
2,gate_proj,262106,0.0004534,0.004072,0.9955,0.0001619,0.01305,0.9868,0.0001014,0.01241,0.9875,0.357,3.205,96.54,5.338e+05
2,up_proj,262106,0.0004534,0.004072,0.9955,0.0001461,0.01311,0.9867,9.298e-05,0.01263,0.9873,0.3222,3.219,70.77,4.465e+05
2,down_proj,262106,0.0001127,0.004145,0.9957,0.0005741,0.01405,0.9854,9.512e-05,0.01215,0.9878,5.095,3.388,230.1,4.136e+05
3,q_proj,262106,2.136e-05,0.003332,0.9966,3.584e-19,0.04188,0.9581,1.528e-20,0.0405,0.9595,1.678e-14,12.57,1.427e-13,1.724e+06
3,k_proj,262106,2.136e-05,0.003332,0.9966,0.5446,0.02002,0.4354,0.049,0.03983,0.9112,2.55e+04,6.009,3.752e+05,6.023e+05
