layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,3053,0.01896,0.1209,0.8602,1.536e-17,0.4554,0.5446,3.516e-17,0.863,0.137,8.102e-16,3.768,9.174e-14,1828
0,k_proj,3053,0.01896,0.1209,0.8602,0.03677,0.8718,0.0914,0.02984,0.8782,0.092,1.939,7.214,135,2466
0,v_proj,3053,0.01896,0.1209,0.8602,0.265,0.5951,0.1399,0.2794,0.5329,0.1876,13.98,4.924,73.88,97.74
0,o_proj,3053,0.007588,0.1053,0.8871,0.0009485,0.4139,0.5852,0.0003222,0.2765,0.7232,0.125,3.93,0.5505,108.7
0,gate_proj,3053,0.03053,0.1816,0.7878,0.0004553,0.3176,0.6819,0.0007897,0.4345,0.5647,0.01492,1.749,0.137,48.1
0,up_proj,3053,0.03053,0.1816,0.7878,0.0005712,0.3392,0.6602,0.001011,0.4486,0.5504,0.01871,1.867,0.201,51.89
0,down_proj,3053,0.4179,0.4663,0.1157,0.002703,0.1816,0.8157,0.2178,0.4532,0.3289,0.006468,0.3893,0.9465,27.1
1,q_proj,3053,0.001741,0.1256,0.8727,1.43e-20,0.2957,0.7043,1.101e-21,0.3015,0.6985,8.21e-18,2.354,1.183e-17,240.9
1,k_proj,3053,0.001741,0.1256,0.8727,0.09729,0.551,0.3517,0.009552,0.4871,0.5034,55.88,4.387,56.33,277
1,v_proj,3053,0.001741,0.1256,0.8727,0.4675,0.4839,0.04862,0.253,0.3611,0.3859,268.5,3.853,2037,2358
1,o_proj,3053,0.00747,0.2042,0.7883,4.284e-05,0.1772,0.8228,1.968e-05,0.2733,0.7267,0.005734,0.8675,0.01765,33.34
1,gate_proj,3053,0.05135,0.1865,0.7622,0.0001471,0.2404,0.7594,0.0004617,0.3313,0.6683,0.002865,1.29,0.04518,38.59
