layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,262103,0.0003554,0.003499,0.9961,1.024e-16,0.8051,0.1949,6.313e-17,0.8215,0.1785,2.881e-13,230.1,1.045e-10,1.041e+08
0,k_proj,262103,0.0003554,0.003499,0.9961,0.4514,0.4265,0.1222,0.3417,0.5316,0.1267,1270,121.9,2.045e+05,2.392e+07
0,v_proj,262103,0.0003554,0.003499,0.9961,0.9349,0.04351,0.02162,0.9021,0.0688,0.02906,2631,12.43,1.725e+06,9.681e+06
0,o_proj,262103,0.0001577,0.004122,0.9957,0.008239,0.5833,0.4085,0.00427,0.3643,0.6315,52.23,141.5,761.2,6.497e+06
0,gate_proj,262103,0.0006943,0.004043,0.9953,0.003481,0.282,0.7145,0.004457,0.2148,0.7807,5.014,69.74,185.9,1.526e+06
0,up_proj,262103,0.0006943,0.004043,0.9953,0.003973,0.3596,0.6364,0.005297,0.2747,0.72,5.722,88.94,232.6,2.311e+06
0,down_proj,262103,0.06344,0.005346,0.9312,0.0286,0.1278,0.8436,0.7978,0.03362,0.1686,0.4508,23.91,1117,2.903e+05
1,q_proj,262103,3.7e-05,0.003096,0.9969,1.086e-19,0.174,0.826,8.665e-21,0.136,0.864,2.935e-15,56.2,5.847e-15,8.699e+05
1,k_proj,262103,3.7e-05,0.003096,0.9969,0.5049,0.04503,0.4501,0.07398,0.07037,0.8556,1.365e+04,14.54,5.366e+04,2.911e+05
1,v_proj,262103,3.7e-05,0.003096,0.9969,0.9735,0.006928,0.01962,0.7531,0.05317,0.1937,2.631e+04,2.238,1.71e+06,1.047e+06
1,o_proj,262103,0.0001011,0.003154,0.9967,0.0003892,0.0836,0.916,9.451e-05,0.08017,0.9197,3.848,26.5,15.48,8.25e+04
1,gate_proj,262103,0.001335,0.004144,0.9945,0.0004952,0.07738,0.9221,0.001197,0.08746,0.9113,0.371,18.67,19.85,8.228e+04
1,up_proj,262103,0.001335,0.004144,0.9945,0.0009019,0.07449,0.9246,0.002198,0.0849,0.9129,0.6758,17.97,36.57,8.042e+04
1,down_proj,262103,0.9912,4.799e-05,0.008709,0.0006465,0.06672,0.9326,0.9915,0.001872,0.006662,0.0006523,1390,22.14,5.9e+04
2,q_proj,262103,9.975e-06,0.003076,0.9969,2.08e-19,0.02593,0.9741,4.322e-21,0.02427,0.9757,2.086e-14,8.43,7.836e-15,4.156e+04
2,k_proj,262103,9.975e-06,0.003076,0.9969,0.7774,0.02209,0.2006,0.06947,0.07685,0.8537,7.793e+04,7.181,1.402e+05,1.306e+05
2,v_proj,262103,9.975e-06,0.003076,0.9969,0.9961,0.001821,0.002096,0.9003,0.01161,0.08807,9.986e+04,0.5922,1.893e+07,3.76e+06
2,o_proj,262103,7.503e-05,0.001723,0.9982,0.0005278,0.06871,0.9308,0.0001241,0.03838,0.9615,7.034,39.88,19.27,7.697e+04
2,gate_proj,262103,0.0004435,0.004335,0.9952,0.0003678,0.07271,0.9269,0.0002888,0.08262,0.9171,0.8293,16.77,14.24,8.406e+04
2,up_proj,262103,0.0004435,0.004335,0.9952,0.0003013,0.0653,0.9344,0.0002427,0.07545,0.9243,0.6794,15.07,10.56,7.457e+04
2,down_proj,262103,0.0001144,0.004363,0.9955,0.0009753,0.05834,0.9407,0.0002197,0.0656,0.9342,8.522,13.37,28.18,3.578e+04
3,q_proj,262103,2.118e-05,0.003355,0.9966,2.942e-19,0.02398,0.976,1.257e-20,0.02283,0.9772,1.389e-14,7.147,1.447e-14,4.13e+04
3,k_proj,262103,2.118e-05,0.003355,0.9966,0.7147,0.03273,0.2526,0.099,0.09998,0.801,3.375e+04,9.757,1.035e+05,3.022e+05
3,v_proj,262103,2.118e-05,0.003355,0.9966,0.9946,0.00198,0.003375,0.9166,0.01233,0.07106,4.697e+04,0.5901,8.61e+06,1.614e+06
