layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,59866,0.001557,0.01419,0.9843,1.521e-14,0.3002,0.6998,7.42e-15,0.2433,0.7567,9.767e-12,21.15,1.313e-09,8.094e+05
0,k_proj,59866,0.001557,0.01419,0.9843,0.2302,0.1354,0.6344,0.133,0.1366,0.7304,147.8,9.543,5675,9.557e+04
0,v_proj,59866,0.001557,0.01419,0.9843,0.9787,0.008577,0.01268,0.9694,0.01106,0.01955,628.5,0.6043,3.949e+05,6.349e+04
0,o_proj,59866,0.003739,0.02143,0.9748,0.1821,0.4292,0.3887,0.2079,0.4793,0.3128,48.7,20.02,1752,9.471e+04
0,gate_proj,59866,0.002583,0.01654,0.9809,0.1352,0.2002,0.6645,0.165,0.2182,0.6168,52.35,12.11,755.9,1.73e+04
0,up_proj,59866,0.002583,0.01654,0.9809,0.0039,0.5849,0.4112,0.004527,0.6345,0.361,1.51,35.36,40.56,1.492e+05
0,down_proj,59866,0.5735,0.008312,0.4182,0.005683,0.1721,0.8222,0.7616,0.0441,0.1943,0.00991,20.71,18.04,4553
1,q_proj,59866,0.0001381,0.01392,0.9859,4.417e-19,0.1616,0.8384,3.255e-20,0.1524,0.8476,3.198e-15,11.61,2.237e-15,1.823e+04
1,k_proj,59866,0.0001381,0.01392,0.9859,0.4179,0.08666,0.4954,0.04826,0.1371,0.8146,3025,6.227,2762,4127
1,v_proj,59866,0.0001381,0.01392,0.9859,0.9248,0.01856,0.05666,0.4643,0.1249,0.4108,6694,1.333,4.94e+04,9823
1,o_proj,59866,0.0002047,0.01336,0.9864,0.0008295,0.1678,0.8313,7.28e-05,0.1813,0.8187,4.053,12.56,2.728,5934
1,gate_proj,59866,0.005301,0.01652,0.9782,0.01074,0.1607,0.8286,0.02291,0.171,0.8061,2.026,9.725,39.69,9488
1,up_proj,59866,0.005301,0.01652,0.9782,0.06391,0.1532,0.7829,0.1277,0.1535,0.7188,12.06,9.269,259.8,9441
1,down_proj,59866,0.8594,0.001887,0.1387,0.0002331,0.132,0.8678,0.9689,0.0075,0.02361,0.0002712,69.97,0.6842,5295
2,q_proj,59866,6.607e-05,0.01323,0.9867,1.585e-20,0.119,0.881,5.074e-22,0.1058,0.8942,2.4e-16,8.991,7.839e-17,1.538e+04
2,k_proj,59866,6.607e-05,0.01323,0.9867,0.4628,0.106,0.4312,0.02936,0.158,0.8126,7005,8.012,3820,1.06e+04
2,v_proj,59866,6.607e-05,0.01323,0.9867,0.9603,0.01359,0.02612,0.7549,0.05484,0.1903,1.453e+04,1.027,3.512e+05,1.467e+05
