layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,262144,0.000357,0.003304,0.9963,1.301e-14,0.7583,0.2417,7.115e-15,0.7197,0.2803,3.643e-11,229.5,4.995e-09,2.68e+07
0,k_proj,262144,0.000357,0.003304,0.9963,0.375,0.3689,0.2561,0.2517,0.4355,0.3129,1050,111.7,5.11e+04,5.2e+06
0,v_proj,262144,0.000357,0.003304,0.9963,0.9862,0.008237,0.005522,0.9779,0.01421,0.007858,2763,2.493,2.908e+06,1.288e+06
0,o_proj,262144,0.0008953,0.005185,0.9939,0.1144,0.6296,0.256,0.1311,0.683,0.1859,127.7,121.4,5679,2.446e+06
0,gate_proj,262144,0.0005899,0.003775,0.9956,0.109,0.3081,0.5829,0.1308,0.278,0.5912,184.8,81.62,2465,5.416e+05
0,up_proj,262144,0.0005899,0.003775,0.9956,0.002828,0.7012,0.296,0.003416,0.6962,0.3004,4.793,185.7,136.8,2.292e+06
0,down_proj,262144,0.2365,0.003493,0.76,0.006136,0.1004,0.8935,0.7853,0.02763,0.187,0.02594,28.74,72.74,4.002e+04
1,q_proj,262144,3.093e-05,0.003127,0.9968,4.275e-19,0.1081,0.8919,2.967e-20,0.09441,0.9056,1.383e-14,34.59,8.38e-15,8.112e+04
1,k_proj,262144,3.093e-05,0.003127,0.9968,0.4598,0.05184,0.4884,0.05437,0.08182,0.8638,1.487e+04,16.58,1.215e+04,1.86e+04
1,v_proj,262144,3.093e-05,0.003127,0.9968,0.9347,0.009527,0.05578,0.4938,0.06658,0.4397,3.022e+04,3.047,2.092e+05,2.386e+04
1,o_proj,262144,4.588e-05,0.002974,0.997,0.0007325,0.09322,0.906,6.77e-05,0.06368,0.9363,15.96,31.35,9.177,4.983e+04
1,gate_proj,262144,0.001222,0.003791,0.995,0.009705,0.05389,0.9364,0.0216,0.05841,0.92,7.943,14.22,128.8,7113
1,up_proj,262144,0.001222,0.003791,0.995,0.05672,0.05603,0.8872,0.118,0.05676,0.8252,46.42,14.78,830.6,1.57e+04
1,down_proj,262144,0.8546,0.0001237,0.1453,0.0002289,0.04332,0.9565,0.9688,0.004458,0.02671,0.0002679,350.1,2.513,4680
2,q_proj,262144,1.47e-05,0.002939,0.997,1.84e-20,0.03036,0.9696,5.712e-22,0.02544,0.9746,1.252e-15,10.33,3.254e-16,1.167e+04
2,k_proj,262144,1.47e-05,0.002939,0.997,0.4881,0.02996,0.4819,0.03063,0.04134,0.928,3.322e+04,10.19,1.552e+04,6606
