layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,59866,0.001583,0.01418,0.9842,5.449e-16,0.1628,0.8372,3.262e-16,0.125,0.875,3.443e-13,11.48,4.296e-12,1.861e+04
0,k_proj,59866,0.001583,0.01418,0.9842,0.09106,0.1443,0.7646,0.06161,0.1336,0.8048,57.54,10.18,549.4,8515
0,v_proj,59866,0.001583,0.01418,0.9842,0.7308,0.0592,0.21,0.6756,0.06661,0.2578,461.7,4.176,1.164e+04,1.123e+04
0,o_proj,59866,0.003809,0.02136,0.9748,0.005403,0.1597,0.8349,0.007893,0.2151,0.777,1.418,7.477,18.47,4837
0,gate_proj,59866,0.002534,0.01646,0.981,0.001372,0.1721,0.8265,0.001487,0.1829,0.8156,0.5415,10.45,5.02,6412
0,up_proj,59866,0.002534,0.01646,0.981,0.001578,0.1825,0.8159,0.001715,0.195,0.8033,0.6228,11.09,6.189,7609
0,down_proj,59866,0.3909,0.01194,0.5972,0.007166,0.1569,0.836,0.6668,0.05839,0.2748,0.01833,13.14,23.74,4560
1,q_proj,59866,0.000144,0.01457,0.9853,2.506e-19,0.137,0.863,1.823e-20,0.1281,0.8719,1.741e-15,9.4,1.09e-15,1.037e+04
1,k_proj,59866,0.000144,0.01457,0.9853,0.3912,0.09512,0.5137,0.04306,0.1473,0.8096,2718,6.529,2264,8161
1,v_proj,59866,0.000144,0.01457,0.9853,0.9209,0.01529,0.06376,0.4566,0.1029,0.4405,6397,1.049,4.855e+04,7677
1,o_proj,59866,0.0001976,0.0128,0.987,0.0003603,0.1535,0.8462,3.078e-05,0.1582,0.8418,1.823,11.99,1.296,5521
1,gate_proj,59866,0.005149,0.01614,0.9787,0.002331,0.1691,0.8286,0.004938,0.1803,0.8148,0.4527,10.48,9.409,7911
1,up_proj,59866,0.005149,0.01614,0.9787,0.01598,0.1674,0.8166,0.03304,0.1753,0.7917,3.105,10.37,68.37,8104
1,down_proj,59866,0.8283,0.002209,0.1694,0.0002494,0.1433,0.8564,0.9702,0.002319,0.02749,0.0003011,64.87,0.8264,4205
2,q_proj,59866,6.264e-05,0.01378,0.9862,8.056e-21,0.1827,0.8173,2.463e-22,0.1733,0.8267,1.286e-16,13.25,4.462e-17,4.435e+04
2,k_proj,59866,6.264e-05,0.01378,0.9862,0.464,0.09295,0.4431,0.02698,0.1603,0.8127,7406,6.743,3897,1.561e+04
2,v_proj,59866,6.264e-05,0.01378,0.9862,0.9667,0.002272,0.03098,0.7085,0.03797,0.2535,1.543e+04,0.1648,2.872e+05,2.151e+04
2,o_proj,59866,7.552e-05,0.005078,0.9948,0.0002636,0.1416,0.8581,1.423e-05,0.05162,0.9484,3.49,27.89,0.9447,5106
2,gate_proj,59866,3.717e-05,0.01591,0.9841,3.664e-06,0.1547,0.8453,5.585e-08,0.1681,0.8319,0.09857,9.723,0.01361,6266
2,up_proj,59866,3.717e-05,0.01591,0.9841,4.558e-06,0.1247,0.8753,6.942e-08,0.1348,0.8652,0.1226,7.84,0.01694,4734
2,down_proj,59866,2.927e-07,0.01578,0.9842,0.0003607,0.1376,0.862,4.918e-08,0.1483,0.8517,1232,8.717,1.215,5312
3,q_proj,59866,0.0001071,0.0129,0.987,4.055e-20,0.0866,0.9134,2.21e-21,0.07543,0.9246,3.787e-16,6.712,1.44e-16,3979
3,k_proj,59866,0.0001071,0.0129,0.987,0.4293,0.07692,0.4938,0.04086,0.1166,0.8425,4009,5.962,2949,5994
3,v_proj,59866,0.0001071,0.0129,0.987,0.9539,0.003669,0.04239,0.7447,0.03534,0.22,8909,0.2844,2.526e+05,2.895e+04
3,o_proj,59866,0.0001845,0.01449,0.9853,0.0003551,0.1352,0.8644,3.382e-05,0.1061,0.8939,1.925,9.332,1.232,6109
3,gate_proj,59866,6.391e-05,0.01614,0.9838,9.259e-06,0.1499,0.8501,2.41e-07,0.164,0.836,0.1449,9.289,0.03522,7439
3,up_proj,59866,6.391e-05,0.01614,0.9838,1.382e-05,0.1396,0.8604,3.592e-07,0.153,0.847,0.2162,8.65,0.05249,6513
