layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,55604,0.004725,0.01524,0.98,3.27e-15,0.4969,0.5031,7.697e-15,0.4775,0.5225,6.92e-13,32.59,2.444e-11,1.229e+05
0,k_proj,55604,0.004725,0.01524,0.98,0.1453,0.4078,0.4469,0.2798,0.3243,0.396,30.75,26.75,1320,1.47e+05
0,v_proj,55604,0.004725,0.01524,0.98,0.7078,0.1007,0.1915,0.8448,0.05105,0.1041,149.8,6.608,9721,4.607e+04
0,o_proj,55604,0.001871,0.01742,0.9807,0.00282,0.2802,0.7169,0.002276,0.2956,0.7021,1.507,16.09,10.59,3.818e+04
0,gate_proj,55604,0.007366,0.02049,0.9721,0.00172,0.2566,0.7417,0.003874,0.2985,0.6977,0.2335,12.52,6.296,3.256e+04
0,up_proj,55604,0.007366,0.02049,0.9721,0.001402,0.2729,0.7257,0.00312,0.316,0.6809,0.1903,13.32,5.62,3.894e+04
0,down_proj,55604,0.006724,0.07373,0.9195,0.003558,0.1825,0.814,0.1388,0.07343,0.7878,0.5292,2.475,8.352,1.199e+04
1,q_proj,55604,0.001076,0.01616,0.9828,1.106e-18,0.2005,0.7995,5.071e-19,0.2025,0.7975,1.028e-15,12.41,5.19e-15,4.089e+04
1,k_proj,55604,0.001076,0.01616,0.9828,0.2493,0.1323,0.6185,0.1499,0.1658,0.6843,231.8,8.186,1685,1.581e+04
1,v_proj,55604,0.001076,0.01616,0.9828,0.5678,0.02842,0.4038,0.6574,0.03195,0.3107,527.9,1.759,7.051e+04,1.445e+05
1,o_proj,55604,0.0006517,0.01837,0.981,0.002035,0.1849,0.8131,0.000488,0.2055,0.794,3.122,10.06,5.068,1.53e+04
1,gate_proj,55604,0.001232,0.02093,0.9778,0.001444,0.2207,0.7779,0.000546,0.26,0.7395,1.172,10.55,4.443,2.456e+04
1,up_proj,55604,0.001232,0.02093,0.9778,0.001303,0.2179,0.7808,0.0004937,0.2588,0.7407,1.058,10.41,3.894,2.306e+04
1,down_proj,55604,0.02346,0.02464,0.9519,0.003668,0.1637,0.8327,0.02589,0.2386,0.7355,0.1564,6.643,7.921,1.085e+04
2,q_proj,55604,0.001129,0.01559,0.9833,1.978e-18,0.1162,0.8838,9.847e-19,0.1128,0.8872,1.753e-15,7.453,4.682e-15,3354
2,k_proj,55604,0.001129,0.01559,0.9833,0.1631,0.1022,0.7348,0.1005,0.118,0.7815,144.4,6.556,634.9,4073
2,v_proj,55604,0.001129,0.01559,0.9833,0.5333,0.03341,0.4333,0.5816,0.03677,0.3816,472.4,2.144,3.245e+04,7.803e+04
2,o_proj,55604,0.0006179,0.01908,0.9803,0.0009263,0.1676,0.8315,0.0002553,0.1574,0.8423,1.499,8.781,2.125,1.319e+04
2,gate_proj,55604,0.003398,0.02067,0.9759,0.001175,0.2032,0.7956,0.001226,0.2498,0.749,0.3458,9.828,3.176,1.932e+04
2,up_proj,55604,0.003398,0.02067,0.9759,0.002433,0.1746,0.8229,0.002634,0.2203,0.777,0.7159,8.447,5.947,1.304e+04
2,down_proj,55604,0.9572,0.001457,0.04137,0.001645,0.1356,0.8628,0.9374,0.01155,0.05102,0.001719,93.06,3.015,6836
