layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,55604,0.001899,0.01454,0.9836,4.344e-14,0.331,0.669,4.858e-14,0.2932,0.7068,2.287e-11,22.76,3.844e-10,1.039e+05
0,k_proj,55604,0.001899,0.01454,0.9836,0.07729,0.228,0.6947,0.07404,0.1888,0.7372,40.69,15.68,748.3,3.505e+04
0,v_proj,55604,0.001899,0.01454,0.9836,0.3615,0.1745,0.4639,0.3513,0.1629,0.4858,190.3,12,3926,4.082e+04
0,o_proj,55604,0.01453,0.04671,0.9388,0.008593,0.2191,0.7723,0.03292,0.4216,0.5455,0.5915,4.69,53.87,4.915e+04
0,gate_proj,55604,0.006528,0.02384,0.9696,0.005046,0.2274,0.7676,0.009654,0.266,0.7244,0.773,9.538,35.33,5.874e+04
0,up_proj,55604,0.006528,0.02384,0.9696,0.004307,0.2353,0.7604,0.008144,0.2722,0.7196,0.6597,9.867,33.26,6.773e+04
0,down_proj,55604,0.001268,0.07456,0.9242,0.003916,0.1769,0.8192,0.1682,0.07929,0.7525,3.088,2.372,16.83,2.454e+04
1,q_proj,55604,0.0001435,0.01679,0.9831,3.056e-18,0.1718,0.8282,1.845e-19,0.1844,0.8156,2.129e-14,10.23,2.264e-14,4.009e+04
1,k_proj,55604,0.0001435,0.01679,0.9831,0.1862,0.118,0.6959,0.02017,0.1985,0.7814,1297,7.028,2431,3.227e+04
1,v_proj,55604,0.0001435,0.01679,0.9831,0.3771,0.04682,0.5761,0.3418,0.07993,0.5783,2627,2.789,1.279e+05,1.066e+06
1,o_proj,55604,0.0007565,0.02102,0.9782,0.002406,0.1774,0.8202,0.0008063,0.1724,0.8268,3.18,8.441,11.27,2.97e+04
1,gate_proj,55604,0.00218,0.01977,0.978,0.001611,0.197,0.8014,0.001128,0.2149,0.7839,0.7392,9.964,9.103,4.096e+04
1,up_proj,55604,0.00218,0.01977,0.978,0.001428,0.1908,0.8077,0.000995,0.2084,0.7906,0.6553,9.651,8.167,3.723e+04
1,down_proj,55604,0.001135,0.02117,0.9777,0.004121,0.1709,0.825,0.001421,0.2042,0.7944,3.631,8.069,16.74,2.513e+04
2,q_proj,55604,9.718e-05,0.0164,0.9835,1.376e-19,0.09557,0.9044,5.316e-21,0.09277,0.9072,1.416e-15,5.826,7.216e-16,7140
2,k_proj,55604,9.718e-05,0.0164,0.9835,0.1671,0.1083,0.7246,0.01129,0.1609,0.8278,1720,6.604,1236,6322
2,v_proj,55604,9.718e-05,0.0164,0.9835,0.4236,0.04949,0.5269,0.27,0.1025,0.6275,4359,3.017,9.042e+04,7.143e+05
2,o_proj,55604,0.0007383,0.0195,0.9798,0.0001693,0.1723,0.8275,6.351e-05,0.169,0.8309,0.2293,8.836,0.7425,3.006e+04
2,gate_proj,55604,0.05157,0.02452,0.9239,0.002501,0.1926,0.8049,0.04501,0.2118,0.7432,0.04849,7.853,13.05,3.543e+04
2,up_proj,55604,0.05157,0.02452,0.9239,0.01184,0.1665,0.8217,0.1821,0.161,0.6568,0.2296,6.791,56.27,2.759e+04
2,down_proj,55604,0.9252,0.005665,0.06913,0.0002458,0.1355,0.8643,0.9543,0.007175,0.03851,0.0002657,23.92,0.8562,1.476e+04
3,q_proj,55604,0.0001136,0.01508,0.9848,2.422e-19,0.07595,0.924,1.143e-20,0.07061,0.9294,2.132e-15,5.036,1.626e-15,1.474e+04
3,k_proj,55604,0.0001136,0.01508,0.9848,0.4429,0.09654,0.4605,0.04857,0.1793,0.7721,3898,6.4,7704,4.678e+04
3,v_proj,55604,0.0001136,0.01508,0.9848,0.7825,0.02295,0.1946,0.5739,0.06545,0.3607,6886,1.521,2.16e+05,4.171e+05
3,o_proj,55604,0.001542,0.0167,0.9818,0.0002371,0.1341,0.8657,0.0001973,0.1363,0.8635,0.1538,8.032,0.8297,1.654e+04
3,gate_proj,55604,0.0007726,0.01957,0.9797,7.217e-05,0.1522,0.8477,2.008e-05,0.1767,0.8233,0.09341,7.78,0.2756,1.772e+04
3,up_proj,55604,0.0007726,0.01957,0.9797,0.0001054,0.1304,0.8695,2.99e-05,0.1538,0.8461,0.1365,6.662,0.3802,1.399e+04
3,down_proj,55604,0.0001726,0.021,0.9788,0.0004453,0.103,0.8966,3.239e-05,0.1243,0.8757,2.58,4.903,1.223,6564
4,q_proj,55604,0.0002335,0.01515,0.9846,5.918e-19,0.06661,0.9334,5.55e-20,0.06149,0.9385,2.534e-15,4.398,2.325e-15,4836
4,k_proj,55604,0.0002335,0.01515,0.9846,0.4002,0.07783,0.522,0.06998,0.1249,0.8051,1714,5.139,2700,7896
4,v_proj,55604,0.0002335,0.01515,0.9846,0.7751,0.01932,0.2055,0.5679,0.05237,0.3798,3319,1.276,7.344e+04,8.452e+04
4,o_proj,55604,0.001338,0.01641,0.9822,0.0004338,0.09889,0.9007,0.0002891,0.09241,0.9073,0.3243,6.025,1.205,6938
4,gate_proj,55604,0.0005486,0.01784,0.9816,8.993e-05,0.09927,0.9006,1.988e-05,0.1076,0.8924,0.1639,5.565,0.25,5444
4,up_proj,55604,0.0005486,0.01784,0.9816,0.000176,0.08993,0.9099,3.895e-05,0.09803,0.9019,0.3208,5.042,0.4756,5248
4,down_proj,55604,0.0003296,0.01757,0.9821,0.0006875,0.08464,0.9147,9.478e-05,0.08571,0.9142,2.086,4.816,1.557,3045
5,q_proj,55604,0.0002389,0.0158,0.984,1.816e-18,0.04027,0.9597,1.808e-19,0.04003,0.96,7.601e-15,2.549,5.202e-15,2673
5,k_proj,55604,0.0002389,0.0158,0.984,0.4178,0.05508,0.5272,0.07828,0.09516,0.8266,1749,3.486,2464,2786
5,v_proj,55604,0.0002389,0.0158,0.984,0.8119,0.01312,0.175,0.561,0.03875,0.4002,3399,0.8306,5.13e+04,3.029e+04
5,o_proj,55604,0.001806,0.01491,0.9833,0.00069,0.08551,0.9138,0.0006338,0.08303,0.9163,0.382,5.736,1.596,3190
5,gate_proj,55604,0.0005259,0.01686,0.9826,0.0001385,0.08516,0.9147,3.034e-05,0.08793,0.912,0.2633,5.051,0.321,2829
5,up_proj,55604,0.0005259,0.01686,0.9826,0.0003763,0.07494,0.9247,8.271e-05,0.07868,0.9212,0.7156,4.445,0.816,2279
5,down_proj,55604,0.0003997,0.01614,0.9835,0.001016,0.07926,0.9197,0.0001786,0.07759,0.9222,2.542,4.909,2.038,1997
6,q_proj,55604,0.0002975,0.01474,0.985,2.243e-18,0.04155,0.9585,2.907e-19,0.03907,0.9609,7.54e-15,2.819,5.506e-15,691.8
6,k_proj,55604,0.0002975,0.01474,0.985,0.315,0.04983,0.6352,0.06595,0.06821,0.8658,1059,3.38,1599,1984
6,v_proj,55604,0.0002975,0.01474,0.985,0.8429,0.01117,0.1459,0.5509,0.03579,0.4133,2833,0.7577,2.657e+04,6942
6,o_proj,55604,0.001444,0.0128,0.9858,0.001051,0.08061,0.9183,0.000869,0.07171,0.9274,0.7277,6.299,2.14,2163
6,gate_proj,55604,0.0005048,0.01618,0.9833,0.0001947,0.07991,0.9199,4.154e-05,0.08042,0.9195,0.3856,4.939,0.3937,1545
6,up_proj,55604,0.0005048,0.01618,0.9833,0.0004037,0.06803,0.9316,8.649e-05,0.06948,0.9304,0.7997,4.205,0.7455,1397
6,down_proj,55604,0.0001441,0.01605,0.9838,0.001434,0.07565,0.9229,9.118e-05,0.07647,0.9234,9.95,4.713,2.501,1165
7,q_proj,55604,0.0003172,0.01457,0.9851,5.199e-18,0.04437,0.9556,7.149e-19,0.0411,0.9589,1.639e-14,3.045,1.088e-14,727.4
7,k_proj,55604,0.0003172,0.01457,0.9851,0.3287,0.06986,0.6014,0.07121,0.09233,0.8365,1036,4.795,1348,1929
7,v_proj,55604,0.0003172,0.01457,0.9851,0.8292,0.01593,0.1548,0.5645,0.05052,0.385,2614,1.093,2.782e+04,8434
7,o_proj,55604,0.000918,0.01056,0.9885,0.001499,0.0743,0.9242,0.0007418,0.05049,0.9488,1.632,7.032,2.628,1278
7,gate_proj,55604,0.0006449,0.01602,0.9833,0.0003222,0.07184,0.9278,8.827e-05,0.07242,0.9275,0.4997,4.483,0.5777,1460
7,up_proj,55604,0.0006449,0.01602,0.9833,0.0003636,0.06369,0.936,0.0001002,0.06431,0.9356,0.5638,3.975,0.5898,921.7
7,down_proj,55604,0.0006322,0.02033,0.979,0.001803,0.07071,0.9275,0.0004846,0.1079,0.8916,2.852,3.477,2.783,824.5
8,q_proj,55604,0.0003701,0.01502,0.9846,1.358e-17,0.03357,0.9664,2.193e-18,0.03187,0.9681,3.67e-14,2.235,2.538e-14,736.3
8,k_proj,55604,0.0003701,0.01502,0.9846,0.3684,0.07163,0.56,0.09992,0.09773,0.8023,995.5,4.768,1720,3469
8,v_proj,55604,0.0003701,0.01502,0.9846,0.8276,0.0162,0.1562,0.5517,0.04741,0.4009,2236,1.078,1.769e+04,4296
8,o_proj,55604,0.001724,0.01333,0.9849,0.001915,0.06987,0.9282,0.001704,0.06649,0.9318,1.111,5.241,2.96,903.4
8,gate_proj,55604,0.0009434,0.01553,0.9835,0.0005425,0.06806,0.9314,0.0002205,0.06718,0.9326,0.5751,4.383,0.8596,951.3
8,up_proj,55604,0.0009434,0.01553,0.9835,0.0005781,0.07227,0.9272,0.0002374,0.06986,0.9299,0.6128,4.654,0.8613,856.6
8,down_proj,55604,0.0003294,0.01495,0.9847,0.002325,0.06291,0.9348,0.0003427,0.05813,0.9415,7.059,4.209,3.231,574.3
9,q_proj,55604,0.0005184,0.01543,0.984,9.925e-18,0.058,0.942,2.281e-18,0.05722,0.9428,1.914e-14,3.758,1.572e-14,1634
9,k_proj,55604,0.0005184,0.01543,0.984,0.3616,0.06653,0.5719,0.1217,0.09008,0.7883,697.4,4.311,1147,2387
9,v_proj,55604,0.0005184,0.01543,0.984,0.7968,0.01717,0.1861,0.5782,0.03701,0.3848,1537,1.112,1.346e+04,8763
9,o_proj,55604,0.001942,0.01068,0.9874,0.002198,0.06241,0.9354,0.002275,0.05047,0.9473,1.132,5.846,3.174,496.1
9,gate_proj,55604,0.002344,0.0161,0.9816,0.001298,0.06255,0.9362,0.001333,0.06355,0.9351,0.5539,3.886,1.926,550
9,up_proj,55604,0.002344,0.0161,0.9816,0.0007708,0.05658,0.9426,0.0007962,0.05784,0.9414,0.3289,3.515,1.06,439.2
9,down_proj,55604,0.07346,0.02786,0.8987,0.00247,0.06086,0.9367,0.09741,0.05187,0.8507,0.03363,2.184,3.179,366.2
10,q_proj,55604,0.0004038,0.01702,0.9826,2.113e-17,0.03413,0.9659,3.659e-18,0.03566,0.9643,5.232e-14,2.005,3.093e-14,480.6
10,k_proj,55604,0.0004038,0.01702,0.9826,0.26,0.09097,0.6491,0.06241,0.1179,0.8197,643.7,5.345,773.8,2821
10,v_proj,55604,0.0004038,0.01702,0.9826,0.7574,0.02646,0.2162,0.417,0.07338,0.5096,1876,1.554,7608,1702
10,o_proj,55604,0.001209,0.01202,0.9868,0.002687,0.05327,0.944,0.00163,0.04284,0.9555,2.222,4.43,3.464,398
10,gate_proj,55604,0.001028,0.01609,0.9829,0.0005465,0.04941,0.95,0.0002453,0.05042,0.9493,0.5318,3.07,0.7248,506.4
10,up_proj,55604,0.001028,0.01609,0.9829,0.0004344,0.04652,0.953,0.0001958,0.0476,0.9522,0.4227,2.891,0.5529,382.2
10,down_proj,55604,0.0006716,0.01431,0.985,0.002764,0.05144,0.9458,0.0008161,0.04269,0.9565,4.116,3.594,3.254,271.1
11,q_proj,55604,0.000493,0.01663,0.9829,1.319e-17,0.02118,0.9788,2.796e-18,0.0223,0.9777,2.675e-14,1.274,1.866e-14,258.9
11,k_proj,55604,0.000493,0.01663,0.9829,0.2979,0.05448,0.6476,0.08785,0.07338,0.8388,604.3,3.277,1161,1824
11,v_proj,55604,0.000493,0.01663,0.9829,0.8248,0.01447,0.1608,0.5619,0.04009,0.398,1673,0.8704,1.556e+04,3386
11,o_proj,55604,0.00131,0.009228,0.9895,0.00297,0.05008,0.9469,0.001928,0.03321,0.9649,2.267,5.427,3.494,266.5
11,gate_proj,55604,0.001065,0.01641,0.9825,0.0005395,0.04446,0.955,0.0002453,0.04552,0.9542,0.5065,2.709,0.6677,278.2
11,up_proj,55604,0.001065,0.01641,0.9825,0.0004898,0.04237,0.9571,0.0002234,0.0434,0.9564,0.4598,2.581,0.5695,238.8
11,down_proj,55604,0.001139,0.0128,0.9861,0.002875,0.04894,0.9482,0.001412,0.03517,0.9634,2.523,3.824,3.171,227.1
12,q_proj,55604,0.0004576,0.01787,0.9817,5.879e-18,0.02184,0.9782,1.145e-18,0.0233,0.9767,1.285e-14,1.223,7.196e-15,232.4
12,k_proj,55604,0.0004576,0.01787,0.9817,0.2253,0.05468,0.7201,0.05785,0.0684,0.8737,492.3,3.061,595.5,3458
12,v_proj,55604,0.0004576,0.01787,0.9817,0.7697,0.01845,0.2118,0.4462,0.04901,0.5048,1682,1.033,7036,1815
12,o_proj,55604,0.0006556,0.008796,0.9905,0.003095,0.04817,0.9487,0.001008,0.02745,0.9715,4.72,5.477,3.447,219.1
12,gate_proj,55604,0.0004958,0.01618,0.9833,0.0003058,0.05391,0.9458,6.417e-05,0.05718,0.9428,0.6167,3.333,0.3639,348.4
12,up_proj,55604,0.0004958,0.01618,0.9833,0.0006023,0.05882,0.9406,0.0001266,0.06275,0.9371,1.215,3.636,0.6787,404.2
12,down_proj,55604,6.592e-05,0.01661,0.9833,0.003278,0.04298,0.9537,9.076e-05,0.04683,0.9531,49.73,2.587,3.432,218.6
13,q_proj,55604,0.0003643,0.01722,0.9824,1.571e-17,0.04077,0.9592,2.484e-18,0.0427,0.9573,4.313e-14,2.367,1.857e-14,336.8
13,k_proj,55604,0.0003643,0.01722,0.9824,0.2741,0.05435,0.6715,0.05822,0.0729,0.8689,752.5,3.156,909.4,828
13,v_proj,55604,0.0003643,0.01722,0.9824,0.786,0.01952,0.1945,0.4521,0.05738,0.4905,2158,1.134,1.032e+04,5094
13,o_proj,55604,0.0008527,0.008261,0.9909,0.003496,0.0417,0.9548,0.001507,0.0237,0.9748,4.101,5.048,3.707,241.1
13,gate_proj,55604,0.0005637,0.01566,0.9838,0.0003998,0.03377,0.9658,9.436e-05,0.03308,0.9668,0.7092,2.157,0.4431,235.5
13,up_proj,55604,0.0005637,0.01566,0.9838,0.000598,0.03036,0.969,0.0001423,0.02987,0.97,1.061,1.94,0.6263,192.2
13,down_proj,55604,6.827e-05,0.05551,0.9444,0.003741,0.03748,0.9588,0.0001248,0.1128,0.8871,54.8,0.6752,3.778,243.3
14,q_proj,55604,0.0004507,0.01993,0.9796,2.745e-17,0.02796,0.972,5.356e-18,0.04428,0.9557,6.091e-14,1.402,3.11e-14,450.4
14,k_proj,55604,0.0004507,0.01993,0.9796,0.2929,0.1151,0.592,0.07636,0.2504,0.6732,649.8,5.775,817.4,2008
