layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,262016,0.0005029,0.003498,0.996,7.898e-15,0.845,0.155,7.077e-15,0.8479,0.1521,1.57e-11,241.5,4.954e-09,6.153e+07
0,k_proj,262016,0.0005029,0.003498,0.996,0.2934,0.4409,0.2657,0.2777,0.4511,0.2711,583.5,126,3.946e+04,4.504e+06
0,v_proj,262016,0.0005029,0.003498,0.996,0.1646,0.2946,0.5409,0.158,0.308,0.534,327.2,84.2,3771,3.451e+05
0,o_proj,262016,0.002145,0.0068,0.9911,0.002183,0.13,0.8679,0.007504,0.2744,0.7181,1.018,19.11,28.18,1.488e+05
0,gate_proj,262016,0.0009218,0.004982,0.9941,0.00433,0.2,0.7957,0.006607,0.3026,0.6908,4.698,40.15,70.81,2.956e+05
0,up_proj,262016,0.0009218,0.004982,0.9941,0.00476,0.1694,0.8258,0.00749,0.262,0.7305,5.164,34,73.29,2.159e+05
0,down_proj,262016,0.0015,0.004841,0.9937,0.002503,0.06599,0.9315,0.006183,0.1314,0.8624,1.668,13.63,29.02,3.802e+04
1,q_proj,262016,0.0002556,0.003276,0.9965,8.509e-15,0.04846,0.9515,4.612e-15,0.05838,0.9416,3.329e-11,14.79,1.396e-10,5.359e+04
1,k_proj,262016,0.0002556,0.003276,0.9965,0.04787,0.1696,0.7825,0.02611,0.1923,0.7816,187.3,51.76,1181,2.068e+05
1,v_proj,262016,0.0002556,0.003276,0.9965,0.07234,0.2299,0.6977,0.0373,0.2499,0.7128,283,70.19,1281,1.59e+05
1,o_proj,262016,0.001807,0.007668,0.9905,0.002341,0.06699,0.9307,0.007644,0.1391,0.8532,1.296,8.737,27.49,4.182e+04
1,gate_proj,262016,0.0002918,0.003056,0.9967,0.01979,0.114,0.8662,0.01191,0.08988,0.8982,67.83,37.3,388.1,1.152e+05
1,up_proj,262016,0.0002918,0.003056,0.9967,0.01445,0.164,0.8215,0.009401,0.1324,0.8582,49.53,53.67,275.6,2.416e+05
