layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,2616,0.0008045,0.192,0.8072,9.095e-13,0.4083,0.5917,2.955e-14,0.5712,0.4288,1.13e-09,2.126,4.623e-10,1379
0,k_proj,2616,0.0008045,0.192,0.8072,0.009338,0.2606,0.73,0.0003454,0.3464,0.6533,11.61,1.357,2.082,232.5
0,v_proj,2616,0.0008045,0.192,0.8072,0.05479,0.1489,0.7963,0.003656,0.3275,0.6689,68.11,0.7753,13.72,231.8
0,o_proj,2616,0.04049,0.2181,0.7414,0.01085,0.1041,0.8851,0.02365,0.1822,0.7941,0.2681,0.4771,4.047,248.5
0,gate_proj,2616,0.03238,0.192,0.7756,0.01402,0.1632,0.8228,0.02323,0.2612,0.7156,0.4329,0.8498,3.948,152.2
0,up_proj,2616,0.03238,0.192,0.7756,0.01594,0.1036,0.8804,0.03226,0.1983,0.7694,0.4925,0.5397,6.957,193.6
0,down_proj,2616,0.02077,0.1951,0.7841,0.006306,0.1069,0.8868,0.01906,0.2627,0.7182,0.3036,0.5476,2.549,324.9
1,q_proj,2616,0.03462,0.1499,0.8154,1.026e-13,0.06634,0.9337,1.446e-13,0.06523,0.9348,2.964e-12,0.4424,5.334e-11,192.1
1,k_proj,2616,0.03462,0.1499,0.8154,0.01492,0.2163,0.7688,0.02245,0.1946,0.783,0.431,1.442,3.336,477.5
1,v_proj,2616,0.03462,0.1499,0.8154,0.05116,0.1971,0.7517,0.07348,0.1798,0.7467,1.478,1.314,11.14,446.8
1,o_proj,2616,0.1197,0.2356,0.6447,0.006895,0.1109,0.8822,0.04249,0.1682,0.7894,0.05758,0.4707,2.817,339.3
1,gate_proj,2616,0.02736,0.1574,0.8152,0.01479,0.111,0.8742,0.01251,0.07898,0.9085,0.5406,0.705,7.745,336.7
1,up_proj,2616,0.02736,0.1574,0.8152,0.01712,0.0979,0.885,0.01619,0.07389,0.9099,0.6257,0.622,7.158,162.9
1,down_proj,2616,0.05879,0.1856,0.7556,0.005144,0.1197,0.8752,0.01302,0.1451,0.8419,0.08751,0.6448,1.957,344.4
2,q_proj,2616,0.02078,0.164,0.8152,9.037e-15,0.1486,0.8514,7.051e-15,0.1707,0.8293,4.349e-13,0.9058,3.911e-12,175.8
2,k_proj,2616,0.02078,0.164,0.8152,0.004241,0.2337,0.7621,0.003565,0.2196,0.7768,0.2041,1.425,1.087,277.9
2,v_proj,2616,0.02078,0.164,0.8152,0.03154,0.2763,0.6922,0.02943,0.2426,0.728,1.518,1.684,7.983,925.6
2,o_proj,2616,0.04681,0.235,0.7182,0.005421,0.1241,0.8704,0.01501,0.2307,0.7543,0.1158,0.5284,2.134,387.8
2,gate_proj,2616,0.02028,0.1567,0.823,0.005807,0.1447,0.8495,0.00427,0.108,0.8878,0.2864,0.9231,3,228
2,up_proj,2616,0.02028,0.1567,0.823,0.008282,0.1212,0.8706,0.005963,0.08983,0.9042,0.4084,0.7731,5.408,268.2
2,down_proj,2616,0.02459,0.1592,0.8162,0.00602,0.1529,0.8411,0.004847,0.1228,0.8723,0.2448,0.9603,1.966,400.7
3,q_proj,2616,0.01228,0.1639,0.8238,3.387e-15,0.1825,0.8175,1.536e-15,0.2075,0.7925,2.758e-13,1.113,1.354e-12,206.8
