layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,54475,0.002246,0.01625,0.9815,1.39e-11,0.09077,0.9092,1.368e-11,0.09094,0.9091,6.19e-09,5.585,2.03e-07,2.917e+04
0,k_proj,54475,0.002246,0.01625,0.9815,0.04447,0.135,0.8206,0.04332,0.1352,0.8215,19.8,8.305,232.3,8893
0,v_proj,54475,0.002246,0.01625,0.9815,0.1508,0.1507,0.6984,0.144,0.1482,0.7078,67.14,9.276,466.2,6132
0,o_proj,54475,0.008751,0.02951,0.9617,0.01201,0.09073,0.8973,0.03646,0.1708,0.7927,1.372,3.075,29.29,3201
0,gate_proj,54475,0.003509,0.0217,0.9748,0.01919,0.1245,0.8563,0.02623,0.1613,0.8125,5.467,5.738,50.53,5279
0,up_proj,54475,0.003509,0.0217,0.9748,0.02036,0.1208,0.8588,0.02814,0.1576,0.8143,5.802,5.568,54.94,4754
0,down_proj,54475,0.01077,0.02424,0.965,0.008259,0.08375,0.908,0.03923,0.153,0.8077,0.7667,3.455,19.67,1892
1,q_proj,54475,0.007537,0.02405,0.9684,5.058e-13,0.1792,0.8208,1.893e-12,0.2951,0.7049,6.711e-11,7.45,2.468e-09,4.911e+04
1,k_proj,54475,0.007537,0.02405,0.9684,0.316,0.3869,0.2971,0.4287,0.4643,0.107,41.93,16.09,3769,1.855e+05
1,v_proj,54475,0.007537,0.02405,0.9684,0.1684,0.1342,0.6974,0.3684,0.1764,0.4552,22.34,5.582,667.5,9354
1,o_proj,54475,0.007934,0.03269,0.9594,0.005903,0.08655,0.9076,0.01773,0.1674,0.8149,0.7441,2.647,14.09,2612
1,gate_proj,54475,0.001139,0.01345,0.9854,0.07511,0.1669,0.758,0.04448,0.1296,0.826,65.96,12.41,382.7,2.97e+04
1,up_proj,54475,0.001139,0.01345,0.9854,0.06455,0.2589,0.6765,0.0402,0.1979,0.7619,56.69,19.25,378.4,9.82e+04
1,down_proj,54475,0.01401,0.02948,0.9565,0.00584,0.07945,0.9147,0.02751,0.1505,0.822,0.4168,2.696,12.97,775
2,q_proj,54475,0.001093,0.01546,0.9834,2.144e-15,0.08265,0.9174,1.147e-15,0.08253,0.9175,1.962e-12,5.346,6.882e-12,5206
2,k_proj,54475,0.001093,0.01546,0.9834,0.08671,0.1189,0.7943,0.04117,0.1265,0.8324,79.36,7.694,354.6,8444
2,v_proj,54475,0.001093,0.01546,0.9834,0.3233,0.1306,0.5461,0.185,0.1615,0.6535,295.9,8.448,1740,3996
2,o_proj,54475,0.0057,0.02779,0.9665,0.003848,0.07931,0.9168,0.01097,0.1459,0.8431,0.675,2.854,8.539,953.2
2,gate_proj,54475,0.0008805,0.01355,0.9856,0.06638,0.1675,0.7661,0.03266,0.1369,0.8304,75.39,12.36,326.8,3.691e+04
2,up_proj,54475,0.0008805,0.01355,0.9856,0.02597,0.1192,0.8548,0.01272,0.09691,0.8904,29.49,8.801,101,4103
2,down_proj,54475,0.00684,0.03067,0.9625,0.004067,0.07789,0.918,0.01146,0.1389,0.8496,0.5947,2.54,8.37,565.7
3,q_proj,54475,0.001821,0.01619,0.982,5.044e-14,0.1076,0.8924,5.008e-14,0.1106,0.8894,2.769e-11,6.646,1.378e-10,4211
3,k_proj,54475,0.001821,0.01619,0.982,0.04586,0.1239,0.8302,0.03505,0.1246,0.8404,25.18,7.658,132.3,2319
3,v_proj,54475,0.001821,0.01619,0.982,0.1259,0.1506,0.7235,0.09562,0.157,0.7473,69.13,9.306,360.5,1508
3,o_proj,54475,0.01149,0.03517,0.9533,0.002224,0.07559,0.9222,0.01324,0.176,0.8108,0.1935,2.149,4.739,657.6
3,gate_proj,54475,0.002326,0.01524,0.9824,0.009977,0.1172,0.8728,0.01167,0.1095,0.8788,4.29,7.693,38.06,2270
3,up_proj,54475,0.002326,0.01524,0.9824,0.01242,0.1178,0.8698,0.01568,0.1108,0.8736,5.338,7.728,42.94,1979
3,down_proj,54475,0.8499,0.1011,0.04898,0.0001572,0.07467,0.9252,0.3351,0.1224,0.5425,0.000185,0.7388,0.3154,648.4
4,q_proj,54475,0.0001689,0.01564,0.9842,4.037e-17,0.05166,0.9483,3.831e-17,0.04893,0.9511,2.39e-13,3.304,1.08e-13,985.6
4,k_proj,54475,0.0001689,0.01564,0.9842,0.4635,0.08591,0.4505,0.03014,0.0835,0.8864,2744,5.494,3536,2.193e+04
4,v_proj,54475,0.0001689,0.01564,0.9842,0.9,0.06468,0.03534,0.4167,0.09634,0.487,5328,4.136,6.369e+04,1.636e+05
4,o_proj,54475,0.001631,0.01326,0.9851,0.0001384,0.07626,0.9236,0.0006548,0.06212,0.9372,0.08483,5.753,0.2746,725.2
4,gate_proj,54475,0.002968,0.01667,0.9804,0.007499,0.1161,0.8764,0.009751,0.1141,0.8762,2.527,6.96,23.92,3144
4,up_proj,54475,0.002968,0.01667,0.9804,0.003837,0.1071,0.889,0.004996,0.1065,0.8885,1.293,6.426,9.617,1353
4,down_proj,54475,0.8071,0.09349,0.09944,0.0001526,0.07567,0.9242,0.2366,0.1135,0.6499,0.0001891,0.8094,0.269,613.7
5,q_proj,54475,0.0003083,0.01648,0.9832,4.772e-18,0.03755,0.9625,3.611e-18,0.03884,0.9612,1.548e-14,2.278,9.566e-15,611.9
5,k_proj,54475,0.0003083,0.01648,0.9832,0.5662,0.08021,0.3536,0.09747,0.095,0.8075,1837,4.866,3813,1.111e+04
5,v_proj,54475,0.0003083,0.01648,0.9832,0.8829,0.07994,0.03713,0.583,0.09292,0.3241,2864,4.85,4.765e+04,1.546e+05
5,o_proj,54475,0.001997,0.01083,0.9872,0.0001564,0.07659,0.9232,0.0005264,0.05196,0.9475,0.07831,7.072,0.2787,665.2
5,gate_proj,54475,0.006061,0.01644,0.9775,0.001498,0.1052,0.8933,0.004221,0.1015,0.8942,0.2472,6.398,4.444,4131
5,up_proj,54475,0.006061,0.01644,0.9775,0.0008854,0.1008,0.8983,0.002398,0.09683,0.9008,0.1461,6.134,2.168,2544
5,down_proj,54475,0.1364,0.05253,0.811,0.0001659,0.07769,0.9221,0.007568,0.1295,0.8629,0.001216,1.479,0.2747,417.4
6,q_proj,54475,0.0003925,0.0162,0.9834,9.913e-18,0.07539,0.9246,6.096e-18,0.07697,0.923,2.525e-14,4.654,2.28e-14,2213
6,k_proj,54475,0.0003925,0.0162,0.9834,0.3783,0.08203,0.5397,0.06406,0.08948,0.8465,963.6,5.064,1369,4797
