layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,54475,0.002211,0.01649,0.9813,1.608e-14,0.1399,0.8601,1.567e-14,0.1533,0.8467,7.272e-12,8.484,4.36e-10,1.975e+05
0,k_proj,54475,0.002211,0.01649,0.9813,0.04502,0.1608,0.7942,0.04268,0.1731,0.7842,20.36,9.754,667.4,7.491e+04
0,v_proj,54475,0.002211,0.01649,0.9813,0.1174,0.1846,0.698,0.1131,0.1915,0.6953,53.08,11.2,566.8,1.525e+04
0,o_proj,54475,0.005665,0.02385,0.9705,0.02569,0.1492,0.8251,0.05305,0.2101,0.7369,4.536,6.255,91.09,8587
0,gate_proj,54475,0.004123,0.02224,0.9736,0.03151,0.1592,0.8093,0.05128,0.2077,0.741,7.642,7.159,109.8,7136
0,up_proj,54475,0.004123,0.02224,0.9736,0.02858,0.1651,0.8063,0.04589,0.2159,0.7382,6.932,7.427,100.3,7233
0,down_proj,54475,0.00646,0.02212,0.9714,0.01398,0.1072,0.8788,0.04632,0.1638,0.7899,2.164,4.849,42.05,2643
1,q_proj,54475,0.00233,0.01733,0.9803,3.327e-14,0.1313,0.8687,3.543e-14,0.1433,0.8567,1.428e-11,7.578,1.623e-10,4820
1,k_proj,54475,0.00233,0.01733,0.9803,0.1034,0.1844,0.7122,0.1157,0.1895,0.6949,44.38,10.64,484.3,4600
1,v_proj,54475,0.00233,0.01733,0.9803,0.1519,0.1936,0.6545,0.1777,0.1942,0.6282,65.2,11.17,764.7,5650
1,o_proj,54475,0.008925,0.03469,0.9564,0.01062,0.1021,0.8873,0.03789,0.2097,0.7524,1.19,2.942,32.17,2666
1,gate_proj,54475,0.002054,0.01514,0.9828,0.0512,0.1663,0.7825,0.05129,0.1585,0.7902,24.92,10.98,314.5,1.028e+04
1,up_proj,54475,0.002054,0.01514,0.9828,0.02222,0.1603,0.8175,0.02221,0.1489,0.8289,10.81,10.59,117.8,1.174e+04
1,down_proj,54475,0.1189,0.0718,0.8093,0.01032,0.09684,0.8928,0.2716,0.238,0.4905,0.08675,1.349,30.03,2087
2,q_proj,54475,0.001015,0.01893,0.9801,3.914e-15,0.08914,0.9109,1.758e-15,0.1065,0.8935,3.857e-12,4.71,1.544e-11,2279
2,k_proj,54475,0.001015,0.01893,0.9801,0.2129,0.1823,0.6049,0.1128,0.2,0.6872,209.8,9.631,1356,1.03e+04
2,v_proj,54475,0.001015,0.01893,0.9801,0.3766,0.1907,0.4327,0.2743,0.189,0.5367,371.1,10.07,4229,3.19e+04
