layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,53700,0.001721,0.01644,0.9818,1.047e-15,0.1821,0.8179,7.43e-16,0.184,0.816,6.085e-13,11.08,3.427e-12,1.528e+04
0,k_proj,53700,0.001721,0.01644,0.9818,0.1233,0.08521,0.7915,0.09246,0.08602,0.8215,71.67,5.183,321.7,1237
0,v_proj,53700,0.001721,0.01644,0.9818,0.8008,0.02792,0.1713,0.7474,0.03472,0.2178,465.4,1.698,7579,3725
0,o_proj,53700,0.0007591,0.01779,0.9814,0.009927,0.1017,0.8884,0.003075,0.09964,0.8973,13.08,5.716,18.38,2573
0,gate_proj,53700,0.003368,0.01928,0.9774,0.001115,0.1048,0.8941,0.001273,0.1168,0.882,0.3309,5.439,2.235,2796
0,up_proj,53700,0.003368,0.01928,0.9774,0.001145,0.1031,0.8958,0.00131,0.115,0.8837,0.3399,5.347,2.352,2834
0,down_proj,53700,0.3266,0.01475,0.6587,0.01767,0.09192,0.8904,0.7581,0.02613,0.2158,0.0541,6.23,29.96,2290
1,q_proj,53700,0.0001923,0.01597,0.9838,2.574e-19,0.08128,0.9187,2.058e-20,0.07685,0.9231,1.339e-15,5.091,5.261e-16,2616
1,k_proj,53700,0.0001923,0.01597,0.9838,0.5315,0.05407,0.4144,0.0851,0.1002,0.8147,2764,3.386,2356,2872
1,v_proj,53700,0.0001923,0.01597,0.9838,0.9728,0.003886,0.02333,0.7463,0.03455,0.2191,5059,0.2434,7.399e+04,3701
1,o_proj,53700,0.0006453,0.01813,0.9812,0.0006129,0.08872,0.9107,0.000166,0.09919,0.9006,0.9498,4.894,1.091,2715
1,gate_proj,53700,0.006932,0.01894,0.9741,0.0005485,0.09448,0.905,0.001369,0.1032,0.8954,0.07913,4.99,1.074,3259
1,up_proj,53700,0.006932,0.01894,0.9741,0.001049,0.09711,0.9018,0.002607,0.1061,0.8913,0.1513,5.129,2.097,3851
1,down_proj,53700,0.9986,3.297e-05,0.001381,0.0009735,0.07719,0.9218,0.9956,0.0004822,0.003926,0.0009749,2341,1.544,1750
2,q_proj,53700,4.911e-05,0.01586,0.9841,2.358e-19,0.0293,0.9707,4.851e-21,0.02787,0.9721,4.8e-15,1.847,5.095e-16,497.9
2,k_proj,53700,4.911e-05,0.01586,0.9841,0.6053,0.02947,0.3653,0.0311,0.06876,0.9001,1.232e+04,1.858,4447,1775
2,v_proj,53700,4.911e-05,0.01586,0.9841,0.9976,0.0002665,0.002161,0.8951,0.01088,0.09405,2.031e+04,0.0168,8.302e+05,1570
2,o_proj,53700,0.0005173,0.01276,0.9867,0.0009701,0.07811,0.9209,0.0002902,0.05534,0.9444,1.875,6.12,1.619,2100
2,gate_proj,53700,0.001922,0.01897,0.9791,0.0005036,0.09051,0.909,0.0003504,0.1012,0.8985,0.262,4.771,0.9114,3228
2,up_proj,53700,0.001922,0.01897,0.9791,0.0004219,0.08216,0.9174,0.0002975,0.09243,0.9073,0.2195,4.331,0.7097,2502
2,down_proj,53700,0.0004554,0.0202,0.9793,0.001642,0.06843,0.9299,0.0002838,0.08083,0.9189,3.606,3.387,2.428,1758
3,q_proj,53700,0.0001016,0.01636,0.9835,7.493e-19,0.05028,0.9497,3.217e-20,0.04991,0.9501,7.374e-15,3.074,1.23e-15,1861
3,k_proj,53700,0.0001016,0.01636,0.9835,0.5614,0.05284,0.3858,0.05215,0.1129,0.835,5525,3.23,2654,4914
3,v_proj,53700,0.0001016,0.01636,0.9835,0.9966,0.0005853,0.002862,0.9253,0.01249,0.06219,9808,0.03579,5.132e+05,8242
3,o_proj,53700,0.00047,0.01507,0.9845,0.001523,0.06097,0.9375,0.0003519,0.05423,0.9454,3.242,4.045,2.315,1917
3,gate_proj,53700,0.001933,0.01861,0.9795,0.0007865,0.06582,0.9334,0.0005818,0.07274,0.9267,0.407,3.537,1.245,2001
3,up_proj,53700,0.001933,0.01861,0.9795,0.0006803,0.05792,0.9414,0.0005068,0.06422,0.9353,0.352,3.113,1.03,1514
3,down_proj,53700,0.0002968,0.02026,0.9794,0.002603,0.05367,0.9437,0.0003018,0.05935,0.9404,8.769,2.649,3.47,1105
4,q_proj,53700,0.0001333,0.01588,0.984,2.786e-18,0.03384,0.9662,1.587e-19,0.03227,0.9677,2.09e-14,2.131,4.07e-15,592.9
4,k_proj,53700,0.0001333,0.01588,0.984,0.591,0.03707,0.3719,0.07635,0.08001,0.8436,4432,2.335,2268,2647
4,v_proj,53700,0.0001333,0.01588,0.984,0.9945,0.0005559,0.004922,0.9122,0.008541,0.07923,7458,0.03501,2.309e+05,707.9
4,o_proj,53700,0.0008567,0.01238,0.9868,0.002555,0.05036,0.9471,0.001134,0.04105,0.9578,2.982,4.067,3.43,1099
4,gate_proj,53700,0.001978,0.01782,0.9802,0.001122,0.05152,0.9474,0.0008797,0.05494,0.9442,0.5674,2.891,1.488,965
