layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,54600,0.0007704,0.01702,0.9822,4.653e-15,0.1131,0.8869,1.27e-15,0.1052,0.8948,6.039e-12,6.648,4.263e-11,1.458e+04
0,k_proj,54600,0.0007704,0.01702,0.9822,0.001498,0.1844,0.8141,0.0004258,0.1795,0.82,1.944,10.84,6.558,1.002e+04
0,v_proj,54600,0.0007704,0.01702,0.9822,0.001691,0.2391,0.7592,0.0005042,0.235,0.7645,2.195,14.05,3.636,3323
0,o_proj,54600,0.01137,0.03661,0.952,0.0001565,0.07305,0.9268,0.0006486,0.1604,0.8389,0.01376,1.995,0.2288,738.1
0,gate_proj,54600,0.003427,0.02464,0.9719,0.0005614,0.1148,0.8847,0.0006736,0.1589,0.8405,0.1638,4.658,1.007,1233
0,up_proj,54600,0.003427,0.02464,0.9719,0.0004523,0.1097,0.8899,0.000548,0.1527,0.8467,0.132,4.451,0.783,1178
0,down_proj,54600,0.007297,0.02749,0.9652,0.000162,0.07146,0.9284,0.000528,0.1043,0.8952,0.02221,2.6,0.2285,759.9
1,q_proj,54600,0.008789,0.01576,0.9755,4.288e-15,0.05813,0.9419,1.612e-14,0.06296,0.937,4.878e-13,3.689,8.065e-12,1307
1,k_proj,54600,0.008789,0.01576,0.9755,0.02036,0.2359,0.7438,0.07641,0.2125,0.7111,2.316,14.97,67.24,3250
1,v_proj,54600,0.008789,0.01576,0.9755,0.005971,0.2878,0.7062,0.02237,0.2528,0.7248,0.6793,18.27,12.53,4115
1,o_proj,54600,0.05468,0.04846,0.8969,0.0001691,0.07324,0.9266,0.003492,0.1811,0.8154,0.003093,1.511,0.2409,781.3
1,gate_proj,54600,0.001503,0.01353,0.985,0.01114,0.2028,0.786,0.007689,0.1478,0.8445,7.415,14.99,27.94,1.006e+04
1,up_proj,54600,0.001503,0.01353,0.985,0.002434,0.1649,0.8326,0.001772,0.1299,0.8684,1.62,12.19,5.35,2915
1,down_proj,54600,0.2934,0.06234,0.6442,0.0001244,0.07227,0.9276,0.02023,0.1721,0.8077,0.0004238,1.159,0.1766,775.2
2,q_proj,54600,0.007892,0.01636,0.9758,8.886e-16,0.08408,0.9159,2.974e-15,0.091,0.909,1.126e-13,5.141,1.607e-12,947.8
2,k_proj,54600,0.007892,0.01636,0.9758,0.01082,0.2342,0.755,0.03716,0.2365,0.7264,1.371,14.32,27.33,2304
2,v_proj,54600,0.007892,0.01636,0.9758,0.004647,0.2556,0.7397,0.01607,0.2591,0.7248,0.5887,15.63,9.755,3130
2,o_proj,54600,0.04195,0.04789,0.9102,0.0001031,0.07091,0.929,0.001608,0.1874,0.811,0.002458,1.481,0.148,825.9
2,gate_proj,54600,0.00156,0.01359,0.9849,0.003529,0.1502,0.8463,0.002682,0.1241,0.8732,2.262,11.05,9.175,4508
2,up_proj,54600,0.00156,0.01359,0.9849,0.0007974,0.1124,0.8868,0.0006011,0.09367,0.9057,0.5111,8.272,2.375,2351
2,down_proj,54600,0.0912,0.05709,0.8517,9.323e-05,0.07063,0.9293,0.003574,0.1621,0.8343,0.001022,1.237,0.1328,844.3
3,q_proj,54600,0.002121,0.01519,0.9827,2.22e-16,0.08224,0.9178,1.925e-16,0.08768,0.9123,1.047e-13,5.413,4.546e-13,1606
3,k_proj,54600,0.002121,0.01519,0.9827,0.003371,0.2924,0.7042,0.003281,0.2702,0.7265,1.59,19.25,8.95,1.091e+04
3,v_proj,54600,0.002121,0.01519,0.9827,0.003288,0.3506,0.6462,0.003701,0.2944,0.7019,1.55,23.07,8.886,8052
3,o_proj,54600,0.01755,0.04881,0.9336,9.835e-05,0.06767,0.9322,0.0006291,0.1861,0.8133,0.005605,1.386,0.1422,874.7
3,gate_proj,54600,0.00152,0.01328,0.9852,0.001415,0.1074,0.8912,0.00105,0.0909,0.908,0.9309,8.086,3.77,2954
3,up_proj,54600,0.00152,0.01328,0.9852,0.001057,0.1117,0.8873,0.0008092,0.09426,0.9049,0.695,8.411,3.083,3171
3,down_proj,54600,0.05312,0.03646,0.9104,9.561e-05,0.06805,0.9319,0.001883,0.1043,0.8939,0.0018,1.867,0.1363,902.3
4,q_proj,54600,0.001706,0.01613,0.9822,3.041e-17,0.1025,0.8975,2.057e-17,0.1124,0.8876,1.782e-14,6.355,6.404e-14,3480
4,k_proj,54600,0.001706,0.01613,0.9822,0.01866,0.1841,0.7972,0.01368,0.1633,0.823,10.94,11.42,40.64,6213
4,v_proj,54600,0.001706,0.01613,0.9822,0.01374,0.2736,0.7127,0.01089,0.2432,0.746,8.051,16.97,30.91,4678
4,o_proj,54600,0.01008,0.05073,0.9392,2.822e-05,0.06437,0.9356,0.0001007,0.1688,0.8311,0.0028,1.269,0.04134,945.1
4,gate_proj,54600,0.003592,0.01338,0.983,0.0003584,0.1249,0.8747,0.0006728,0.1048,0.8945,0.09977,9.336,1.202,1.063e+04
4,up_proj,54600,0.003592,0.01338,0.983,0.0001922,0.1238,0.876,0.0003575,0.1058,0.8939,0.0535,9.256,0.5478,5974
4,down_proj,54600,0.8554,0.1445,5.401e-05,2.497e-05,0.06317,0.9368,0.5792,0.4162,0.004542,2.919e-05,0.4371,0.03604,717.7
5,q_proj,54600,7.297e-05,0.01521,0.9847,1.407e-21,0.05057,0.9494,4.437e-23,0.05745,0.9426,1.928e-17,3.324,3.136e-18,1301
5,k_proj,54600,7.297e-05,0.01521,0.9847,0.1846,0.234,0.5814,0.008506,0.101,0.8905,2529,15.38,682.5,8599
5,v_proj,54600,7.297e-05,0.01521,0.9847,0.4922,0.4837,0.02406,0.2637,0.3093,0.427,6746,31.79,3.935e+04,3.139e+05
5,o_proj,54600,0.0001088,0.01352,0.9864,2.647e-05,0.06343,0.9365,1.326e-06,0.05607,0.9439,0.2434,4.691,0.0386,767.9
5,gate_proj,54600,0.01653,0.02799,0.9555,2.989e-05,0.1321,0.8679,0.0002616,0.1184,0.8813,0.001808,4.72,0.08476,6356
5,up_proj,54600,0.01653,0.02799,0.9555,2.269e-05,0.139,0.861,0.0001966,0.1234,0.8764,0.001373,4.967,0.06228,6950
5,down_proj,54600,0.4822,0.4831,0.03474,2.73e-05,0.05998,0.94,0.06784,0.393,0.5391,5.662e-05,0.1242,0.039,625.4
