layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,56609,0.001483,0.01613,0.9824,8.5e-15,0.1508,0.8492,4.984e-15,0.1623,0.8377,5.732e-12,9.349,3.038e-11,1476
0,k_proj,56609,0.001483,0.01613,0.9824,0.05243,0.1511,0.7965,0.02969,0.167,0.8033,35.36,9.367,199.1,1977
0,v_proj,56609,0.001483,0.01613,0.9824,0.2136,0.2015,0.5849,0.1567,0.2482,0.5951,144.1,12.49,1071,2162
0,o_proj,56609,0.008396,0.02596,0.9656,0.02393,0.1452,0.8309,0.0821,0.2261,0.6918,2.85,5.592,87.11,1378
0,gate_proj,56609,0.005657,0.02607,0.9683,0.02248,0.1362,0.8413,0.03422,0.18,0.7858,3.974,5.226,65.48,1397
0,up_proj,56609,0.005657,0.02607,0.9683,0.02393,0.1384,0.8377,0.03637,0.1828,0.7809,4.231,5.308,70.59,1298
0,down_proj,56609,0.02863,0.06008,0.9113,0.01212,0.1096,0.8783,0.08115,0.245,0.6739,0.4232,1.824,21.74,644.8
1,q_proj,56609,0.0008093,0.01215,0.987,1.234e-14,0.1045,0.8955,5.87e-15,0.08209,0.9179,1.524e-11,8.599,3.081e-11,1313
1,k_proj,56609,0.0008093,0.01215,0.987,0.07127,0.1939,0.7349,0.02562,0.1411,0.8332,88.07,15.95,229.1,2426
1,v_proj,56609,0.0008093,0.01215,0.987,0.1611,0.3383,0.5006,0.1453,0.3432,0.5115,199,27.83,7536,2.14e+05
1,o_proj,56609,0.02811,0.06783,0.9041,0.006805,0.08482,0.9084,0.05072,0.2637,0.6856,0.2421,1.25,12.91,866.4
1,gate_proj,56609,0.005328,0.02822,0.9665,0.01072,0.1171,0.8721,0.0178,0.1606,0.8216,2.012,4.151,24.74,1142
1,up_proj,56609,0.005328,0.02822,0.9665,0.01483,0.1129,0.8722,0.02503,0.1589,0.8161,2.784,4.003,31.77,1081
1,down_proj,56609,0.007647,0.212,0.7803,0.01151,0.07888,0.9096,0.07564,0.4829,0.4415,1.505,0.3721,19.26,482
2,q_proj,56609,0.0004471,0.01369,0.9859,8.015e-17,0.08085,0.9192,3.269e-17,0.07971,0.9203,1.793e-13,5.904,2.016e-13,1304
2,k_proj,56609,0.0004471,0.01369,0.9859,0.0596,0.2324,0.708,0.009617,0.1417,0.8487,133.3,16.98,245.2,1.153e+04
2,v_proj,56609,0.0004471,0.01369,0.9859,0.1119,0.389,0.499,0.1245,0.3193,0.5562,250.3,28.41,1.562e+04,7.551e+05
2,o_proj,56609,0.007091,0.03195,0.961,0.01064,0.0763,0.9131,0.01738,0.1198,0.8629,1.5,2.388,18.44,519.6
2,gate_proj,56609,0.001476,0.01976,0.9788,0.00604,0.09426,0.8997,0.004388,0.1164,0.8792,4.093,4.77,12.2,618.3
2,up_proj,56609,0.001476,0.01976,0.9788,0.004947,0.08714,0.9079,0.003535,0.1088,0.8877,3.353,4.409,9.084,528
2,down_proj,56609,0.004411,0.02857,0.967,0.0163,0.07328,0.9104,0.01254,0.1067,0.8808,3.694,2.565,25.36,310.3
3,q_proj,56609,0.0004688,0.01368,0.9858,5.729e-16,0.06986,0.9301,1.195e-16,0.06806,0.9319,1.222e-12,5.106,1.26e-12,558.4
3,k_proj,56609,0.0004688,0.01368,0.9858,0.05485,0.2018,0.7434,0.01083,0.1253,0.8639,117,14.75,190.4,7321
3,v_proj,56609,0.0004688,0.01368,0.9858,0.1207,0.3883,0.4909,0.1179,0.3319,0.5502,257.5,28.38,1.022e+04,5.016e+05
3,o_proj,56609,0.006564,0.02385,0.9696,0.01502,0.07396,0.911,0.02651,0.09511,0.8784,2.288,3.1,24.3,370.5
3,gate_proj,56609,0.00136,0.01842,0.9802,0.006204,0.08287,0.9109,0.004898,0.09806,0.897,4.563,4.5,11.27,411.8
3,up_proj,56609,0.00136,0.01842,0.9802,0.009475,0.07682,0.9137,0.007538,0.09188,0.9006,6.968,4.171,15.86,389.2
3,down_proj,56609,0.001759,0.02585,0.9724,0.01929,0.07242,0.9083,0.006386,0.09557,0.898,10.97,2.801,28.77,283.7
4,q_proj,56609,0.0004641,0.01418,0.9854,1.294e-16,0.06166,0.9383,4.797e-17,0.06178,0.9382,2.788e-13,4.348,2.504e-13,692.9
4,k_proj,56609,0.0004641,0.01418,0.9854,0.04182,0.2135,0.7447,0.009034,0.1207,0.8703,90.1,15.06,139.2,9529
4,v_proj,56609,0.0004641,0.01418,0.9854,0.1212,0.3931,0.4857,0.1129,0.3347,0.5524,261.1,27.72,9553,4.292e+05
4,o_proj,56609,0.006084,0.02463,0.9693,0.01787,0.07199,0.9101,0.02462,0.08685,0.8885,2.938,2.923,26.93,306.5
4,gate_proj,56609,0.001499,0.01795,0.9806,0.007341,0.0777,0.915,0.006088,0.08809,0.9058,4.897,4.329,12.94,461.4
4,up_proj,56609,0.001499,0.01795,0.9806,0.01189,0.07122,0.9169,0.009659,0.08127,0.9091,7.928,3.968,19.36,391
4,down_proj,56609,0.001927,0.02054,0.9775,0.0225,0.07319,0.9043,0.008338,0.08042,0.9112,11.67,3.563,31.32,263.5
5,q_proj,56609,0.0004654,0.01425,0.9853,1.397e-16,0.06052,0.9395,5.078e-17,0.06083,0.9392,3.001e-13,4.247,2.475e-13,606.9
5,k_proj,56609,0.0004654,0.01425,0.9853,0.03933,0.1746,0.7861,0.007062,0.1007,0.8922,84.51,12.25,106.8,4117
5,v_proj,56609,0.0004654,0.01425,0.9853,0.1139,0.3951,0.491,0.1108,0.3079,0.5813,244.7,27.73,6685,3.026e+05
5,o_proj,56609,0.004785,0.02332,0.9719,0.01898,0.07361,0.9074,0.0204,0.09151,0.8881,3.966,3.156,27.05,286.8
5,gate_proj,56609,0.001245,0.0176,0.9812,0.02458,0.07503,0.9004,0.007386,0.08469,0.9079,19.74,4.262,41.45,448.9
5,up_proj,56609,0.001245,0.0176,0.9812,0.0175,0.07257,0.9099,0.006534,0.0815,0.912,14.05,4.123,27.33,366
5,down_proj,56609,0.0009723,0.02029,0.9787,0.02472,0.07529,0.9,0.006996,0.08227,0.9107,25.43,3.711,32.56,263.4
6,q_proj,56609,0.000507,0.01439,0.9851,2.49e-16,0.0475,0.9525,9.455e-17,0.04627,0.9537,4.911e-13,3.302,3.902e-13,618.6
6,k_proj,56609,0.000507,0.01439,0.9851,0.03142,0.1919,0.7767,0.006959,0.0905,0.9025,61.97,13.34,96.37,5327
6,v_proj,56609,0.000507,0.01439,0.9851,0.1157,0.3993,0.4851,0.1166,0.304,0.5794,228.1,27.76,5865,2.316e+05
6,o_proj,56609,0.004479,0.01852,0.977,0.01838,0.07773,0.9039,0.02243,0.0852,0.8924,4.104,4.196,25.07,298.8
6,gate_proj,56609,0.001989,0.01815,0.9799,0.02475,0.0813,0.8939,0.01749,0.08773,0.8948,12.45,4.48,39.76,484.7
6,up_proj,56609,0.001989,0.01815,0.9799,0.02321,0.0811,0.8957,0.01362,0.08644,0.8999,11.67,4.469,34.25,413.9
6,down_proj,56609,0.006961,0.02235,0.9707,0.02238,0.07781,0.8998,0.0553,0.08772,0.857,3.216,3.481,28.12,254.5
7,q_proj,56609,0.0005924,0.01348,0.9859,2.037e-14,0.08122,0.9188,5.404e-15,0.0418,0.9582,3.438e-11,6.023,2.893e-11,612.1
7,k_proj,56609,0.0005924,0.01348,0.9859,0.04661,0.1947,0.7587,0.01544,0.09602,0.8885,78.69,14.44,117.9,4803
7,v_proj,56609,0.0005924,0.01348,0.9859,0.09232,0.3988,0.5088,0.1404,0.2596,0.6,155.8,29.58,2672,1.119e+05
7,o_proj,56609,0.01877,0.02984,0.9514,0.01222,0.07824,0.9095,0.08595,0.1427,0.7713,0.6512,2.622,15.6,247.8
7,gate_proj,56609,0.004709,0.02438,0.9709,0.02154,0.09941,0.879,0.03399,0.1519,0.8141,4.575,4.077,32.95,412.1
7,up_proj,56609,0.004709,0.02438,0.9709,0.03405,0.08768,0.8783,0.05667,0.1308,0.8126,7.231,3.596,48.08,345.1
7,down_proj,56609,0.9868,0.001983,0.01123,0.003907,0.07613,0.92,0.9857,0.00865,0.005618,0.003959,38.38,4.497,224
8,q_proj,56609,0.0001363,0.01421,0.9857,8.715e-19,0.06506,0.9349,5.387e-20,0.05905,0.941,6.395e-15,4.58,1.163e-15,247.5
8,k_proj,56609,0.0001363,0.01421,0.9857,0.4909,0.05092,0.4581,0.05734,0.08715,0.8555,3602,3.585,1569,514
8,v_proj,56609,0.0001363,0.01421,0.9857,0.97,0.004255,0.02577,0.6732,0.04334,0.2834,7117,0.2995,4.715e+04,523.2
8,o_proj,56609,0.0005152,0.0141,0.9854,0.004468,0.07016,0.9254,0.001196,0.06428,0.9345,8.673,4.975,5.24,244.5
8,gate_proj,56609,1.418e-05,0.01855,0.9814,2.201e-05,0.074,0.926,1.169e-07,0.07996,0.92,1.553,3.989,0.03004,321.1
8,up_proj,56609,1.418e-05,0.01855,0.9814,0.0002974,0.06572,0.934,1.648e-06,0.07276,0.9272,20.98,3.542,0.3561,255.8
8,down_proj,56609,4.462e-07,0.01987,0.9801,0.005075,0.06267,0.9323,8.832e-07,0.07279,0.9272,1.137e+04,3.155,5.215,153
9,q_proj,56609,0.0002158,0.01463,0.9852,6.255e-18,0.05724,0.9428,6.067e-19,0.05333,0.9467,2.898e-14,3.912,7.383e-15,181.2
9,k_proj,56609,0.0002158,0.01463,0.9852,0.5637,0.03677,0.3995,0.1114,0.07035,0.8182,2612,2.513,1636,228.7
9,v_proj,56609,0.0002158,0.01463,0.9852,0.9459,0.004813,0.04924,0.63,0.03081,0.3392,4383,0.329,1.774e+04,167.8
