layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,971,0.003002,0.0284,0.9686,1.634e-15,0.2634,0.7366,1.226e-15,0.27,0.73,5.444e-13,9.275,3.197e-12,429.7
0,k_proj,971,0.003002,0.0284,0.9686,0.0608,0.2001,0.7391,0.04448,0.202,0.7535,20.26,7.047,80.21,397.9
0,v_proj,971,0.003002,0.0284,0.9686,0.6941,0.05847,0.2475,0.6247,0.07369,0.3017,231.2,2.059,1996,126.5
0,o_proj,971,0.001459,0.04116,0.9574,0.01273,0.1485,0.8388,0.004182,0.2087,0.7871,8.723,3.608,10.28,64.73
0,gate_proj,971,0.006058,0.0352,0.9587,0.003527,0.1627,0.8338,0.004623,0.1844,0.811,0.5821,4.621,2.958,62.92
0,up_proj,971,0.006058,0.0352,0.9587,0.003907,0.1721,0.824,0.005121,0.2007,0.7942,0.6449,4.888,3.347,122.7
0,down_proj,971,0.376,0.0279,0.5961,0.01144,0.1347,0.8539,0.6074,0.07032,0.3223,0.03043,4.827,8.856,54.7
1,q_proj,971,0.0003244,0.02743,0.9723,3.027e-19,0.1214,0.8786,2.433e-20,0.1151,0.8849,9.329e-16,4.425,3.392e-16,87.69
1,k_proj,971,0.0003244,0.02743,0.9723,0.3245,0.09968,0.5758,0.03649,0.1342,0.8293,1000,3.635,464.4,131.8
1,v_proj,971,0.0003244,0.02743,0.9723,0.9527,0.009263,0.03805,0.6177,0.07097,0.3113,2936,0.3378,1.927e+04,200.3
1,o_proj,971,0.0009149,0.03244,0.9666,0.0003903,0.1335,0.8661,8.568e-05,0.1688,0.8311,0.4266,4.115,0.3223,65.07
1,gate_proj,971,0.01102,0.03529,0.9537,0.001274,0.1489,0.8498,0.003063,0.1686,0.8284,0.1157,4.22,1.05,78.43
1,up_proj,971,0.01102,0.03529,0.9537,0.004046,0.1403,0.8557,0.009735,0.1588,0.8315,0.3672,3.975,3.462,73.66
1,down_proj,971,0.9989,4.337e-05,0.001036,0.0005054,0.1212,0.8783,0.9904,0.001448,0.008128,0.0005059,2795,0.3795,51.51
2,q_proj,971,8.799e-05,0.02734,0.9726,2.025e-19,0.07988,0.9201,4.327e-21,0.07613,0.9239,2.302e-15,2.922,1.993e-16,71.77
2,k_proj,971,8.799e-05,0.02734,0.9726,0.5614,0.0705,0.3681,0.02706,0.144,0.8289,6380,2.579,1638,156.4
2,v_proj,971,8.799e-05,0.02734,0.9726,0.9939,0.0008058,0.005319,0.7787,0.02712,0.1942,1.13e+04,0.02947,1.693e+05,105.3
2,o_proj,971,0.0008688,0.01732,0.9818,0.0005181,0.1224,0.8771,0.0001237,0.07859,0.9213,0.5964,7.065,0.4053,60.34
2,gate_proj,971,0.003706,0.03428,0.962,0.0003105,0.1356,0.8641,0.0002535,0.1497,0.8501,0.08378,3.956,0.2565,80.46
2,up_proj,971,0.003706,0.03428,0.962,0.0002506,0.1229,0.8769,0.0002092,0.1375,0.8623,0.06762,3.583,0.1981,70.4
2,down_proj,971,0.0009077,0.03701,0.9621,0.0008531,0.1085,0.8906,0.0001824,0.1401,0.8597,0.9399,2.932,0.6171,58.31
3,q_proj,971,0.0001831,0.02875,0.9711,1.918e-19,0.07991,0.9201,8.479e-21,0.07881,0.9212,1.048e-15,2.779,2.126e-16,121.1
3,k_proj,971,0.0001831,0.02875,0.9711,0.4401,0.1056,0.4543,0.03387,0.1774,0.7887,2403,3.672,981.3,362.6
