layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,53575,0.002924,0.01665,0.9804,8.599e-12,0.1848,0.8152,1.173e-11,0.1842,0.8158,2.941e-09,11.1,2.852e-08,6164
0,k_proj,53575,0.002924,0.01665,0.9804,0.04225,0.1591,0.7987,0.05475,0.1535,0.7917,14.45,9.557,160.2,4326
0,v_proj,53575,0.002924,0.01665,0.9804,0.5424,0.09718,0.3605,0.6071,0.08278,0.3101,185.5,5.838,4390,2814
0,o_proj,53575,0.007999,0.02778,0.9642,0.1215,0.1307,0.7478,0.276,0.1639,0.56,15.19,4.703,345.9,1269
0,gate_proj,53575,0.00301,0.01788,0.9791,0.1154,0.1339,0.7508,0.1254,0.1369,0.7376,38.32,7.49,389.8,2124
0,up_proj,53575,0.00301,0.01788,0.9791,0.07002,0.1531,0.7769,0.07546,0.1579,0.7666,23.26,8.562,240.6,3775
0,down_proj,53575,0.006628,0.01977,0.9736,0.0417,0.1434,0.8149,0.08399,0.1524,0.7637,6.291,7.253,106.3,1163
1,q_proj,53575,0.001655,0.01488,0.9835,1.606e-11,0.1378,0.8622,1.603e-11,0.126,0.874,9.706e-09,9.255,4.305e-08,1703
1,k_proj,53575,0.001655,0.01488,0.9835,0.05033,0.1365,0.8132,0.03814,0.1271,0.8348,30.42,9.168,133.9,1677
1,v_proj,53575,0.001655,0.01488,0.9835,0.2769,0.1577,0.5654,0.2401,0.1516,0.6083,167.4,10.6,1234,2943
1,o_proj,53575,0.01348,0.03446,0.9521,0.0287,0.1446,0.8267,0.1334,0.2304,0.6362,2.13,4.196,76.61,1296
1,gate_proj,53575,0.004167,0.02003,0.9758,0.02434,0.1648,0.8108,0.03308,0.1788,0.7881,5.842,8.231,80.81,2203
1,up_proj,53575,0.004167,0.02003,0.9758,0.02789,0.1583,0.8138,0.03825,0.1723,0.7895,6.692,7.904,88.65,1963
1,down_proj,53575,0.9937,0.0001517,0.006151,0.00837,0.1347,0.8569,0.9975,0.0004277,0.002053,0.008423,888.5,20.32,1164
