layer,proj,n_tokens,A_bos,A_p1_7,A_rest,G_bos,G_p1_7,G_rest,AG_bos,AG_p1_7,AG_rest,G_over_A_bos,G_over_A_p1_7,g_bos_over_median,g_p1_7_max_over_median
0,q_proj,53700,0.001772,0.01641,0.9818,1.262e-16,0.6913,0.3087,9.979e-17,0.6299,0.3701,7.125e-14,42.12,6.462e-12,3.897e+06
0,k_proj,53700,0.001772,0.01641,0.9818,0.1258,0.1908,0.6834,0.09734,0.1996,0.7031,71.02,11.63,1070,2.989e+04
0,v_proj,53700,0.001772,0.01641,0.9818,0.6783,0.08714,0.2345,0.615,0.1064,0.2786,382.9,5.309,1.231e+04,7.437e+04
0,o_proj,53700,0.0009313,0.01767,0.9814,0.006664,0.1777,0.8157,0.002333,0.1949,0.8028,7.155,10.05,35.77,3.321e+04
0,gate_proj,53700,0.003489,0.01947,0.977,0.001359,0.2045,0.7941,0.001552,0.2292,0.7692,0.3896,10.51,8.289,5.329e+04
0,up_proj,53700,0.003489,0.01947,0.977,0.001315,0.2169,0.7818,0.00151,0.2469,0.7516,0.377,11.14,8.042,6.173e+04
0,down_proj,53700,0.2658,0.01769,0.7165,0.0105,0.13,0.8595,0.5822,0.06223,0.3555,0.0395,7.347,47.51,8209
1,q_proj,53700,0.0001852,0.0157,0.9841,1.089e-19,0.1274,0.8726,8.488e-21,0.123,0.877,5.878e-16,8.112,6.147e-16,2.255e+04
1,k_proj,53700,0.0001852,0.0157,0.9841,0.4418,0.08798,0.4703,0.05913,0.1413,0.7995,2385,5.602,3807,1.003e+04
1,v_proj,53700,0.0001852,0.0157,0.9841,0.934,0.01048,0.0555,0.5308,0.07123,0.398,5043,0.667,7.94e+04,1.013e+04
1,o_proj,53700,0.0004421,0.01697,0.9826,0.0004056,0.1263,0.8733,6.912e-05,0.1242,0.8757,0.9175,7.444,2.011,8948
1,gate_proj,53700,0.005922,0.01886,0.9752,0.0003459,0.124,0.8757,0.0007138,0.1307,0.8686,0.05842,6.574,1.887,1.054e+04
1,up_proj,53700,0.005922,0.01886,0.9752,0.0006033,0.1356,0.8638,0.001248,0.1437,0.8551,0.1019,7.192,3.318,1.57e+04
1,down_proj,53700,0.9976,4.854e-05,0.002344,0.0007173,0.1068,0.8925,0.989,0.001357,0.00962,0.000719,2200,2.99,7191
2,q_proj,53700,4.993e-05,0.01565,0.9843,3.847e-19,0.1297,0.8703,8.009e-21,0.1311,0.8689,7.705e-15,8.285,1.929e-15,5.308e+04
2,k_proj,53700,4.993e-05,0.01565,0.9843,0.6077,0.0709,0.3214,0.0321,0.1673,0.8006,1.217e+04,4.53,9158,7.141e+04
2,v_proj,53700,4.993e-05,0.01565,0.9843,0.9951,0.0007079,0.004236,0.8119,0.02554,0.1626,1.993e+04,0.04523,9.882e+05,1.611e+04
2,o_proj,53700,0.0005324,0.0118,0.9877,0.0007312,0.09995,0.8993,0.0001841,0.08914,0.9107,1.373,8.473,3.268,6974
2,gate_proj,53700,0.00201,0.01889,0.9791,0.0004617,0.1093,0.8902,0.000318,0.1166,0.8831,0.2297,5.787,2.276,9241
2,up_proj,53700,0.00201,0.01889,0.9791,0.0003972,0.1023,0.8973,0.0002791,0.1099,0.8898,0.1976,5.415,1.756,6850
2,down_proj,53700,0.0005088,0.01916,0.9803,0.001278,0.0912,0.9075,0.0002458,0.1011,0.8986,2.512,4.759,5.089,5644
