layer,bos_norm,tpl_norm,rest_norm,bos_over_rest,att_bos,att_p1,att_tpl,att_rest
0,91.45,61.26,47.22,1.936,0.0329,0.0307,0.2145,0.7218
1,4334,831.6,71.82,60.33,0.0245,0.0204,0.2595,0.6957
2,4358,855.4,97.78,44.57,0.3333,0.0106,0.3058,0.3503
3,5226,917.3,122,42.82,0.4008,0.0074,0.2039,0.3879
4,5308,934.3,140.1,37.88,0.3541,0.0087,0.2588,0.3784
5,5331,948.2,151.5,35.19,0.3663,0.0045,0.2292,0.3999
6,5355,954.9,157.5,33.99,0.2965,0.0042,0.1748,0.5245
7,5414,961,159.6,33.93,0.3221,0.0047,0.1464,0.5267
8,5451,980.4,173,31.51,0.3072,0.0053,0.1863,0.5013
9,5451,978.4,173.3,31.45,0.4019,0.0035,0.2185,0.3761
10,5462,995.8,190.3,28.7,0.3503,0.0047,0.2074,0.4377
11,5462,990.9,188.3,29.01,0.4064,0.0038,0.1753,0.4145
12,5461,998.2,190.3,28.7,0.4087,0.0038,0.1779,0.4097
13,5460,1003,194.7,28.04,0.3347,0.0025,0.1769,0.4860
14,5459,1013,205.5,26.57,0.3920,0.0038,0.1671,0.4371
15,5459,1014,204.6,26.68,0.5015,0.0048,0.1620,0.3316
16,5458,1029,214,25.51,0.4037,0.0071,0.1867,0.4025
17,5458,1030,218,25.04,0.3647,0.0063,0.1743,0.4547
18,5458,1065,247.2,22.08,0.3733,0.0043,0.1551,0.4673
19,5457,1085,272.9,19.99,0.4258,0.0103,0.1897,0.3743
20,5456,1126,323.1,16.89,0.3791,0.0048,0.2448,0.3712
21,5452,1169,377.1,14.46,0.4357,0.0124,0.2053,0.3467
22,5445,1243,448.8,12.13,0.4691,0.0353,0.2718,0.2239
23,5439,1318,516.4,10.53,0.5134,0.0112,0.2730,0.2024
24,5419,1352,567.5,9.549,0.5095,0.0093,0.3091,0.1721
25,5328,1402,632.9,8.419,0.4348,0.0058,0.2289,0.3305
26,2201,745.9,760.1,2.896,0.3350,0.0046,0.2148,0.4457
27,67.9,74.51,83.45,0.8137,0.3990,0.0087,0.0702,0.5222
