class,cos_with_bos_dir,rel_err,energy_share_on_bos_dir
bos,-0.9797,0.0813,0.9598
tpl,-0.2405,1.1178,0.5660
rest,-0.7363,0.5368,0.5794
pos2,0.5997,0.3449,nan
pos3,-0.8699,0.6964,nan
pos4,0.8825,3.5777,nan
pos5,-0.9295,1.2741,nan
pos6,-0.6036,0.3536,nan
pos7,-0.5222,0.4600,nan
prompt_newline(n=80),-0.8075,0.7913,nan
prompt_ordinary(n=1092),-0.2472,0.5555,nan
prompt_template(n=64),-0.0224,0.9691,nan
resp_newline(n=20),-0.4573,0.4112,nan
resp_ordinary(n=1919),-0.1438,0.3367,nan
resp_template(n=1),0.9377,1.8385,nan
"overlap_q1(n=632,tpl_frac=0.12)",nan,0.6967,0.0343
"overlap_q2(n=632,tpl_frac=0.08)",nan,0.5874,0.0765
"overlap_q3(n=632,tpl_frac=0.01)",nan,0.6059,0.1078
"overlap_q4(n=632,tpl_frac=0.00)",nan,0.5513,0.1455
"overlap_q5(n=632,tpl_frac=0.03)",nan,1.7568,12.3965
"pearson(|x0.x_t|,||e_t||) linear=0.986 log=0.341 n=3160",0.9862,0.3408,nan
