class,cos_with_bos_dir,rel_err,energy_share_on_bos_dir
bos,-0.9792,0.0813,0.9588
tpl,-0.1382,0.8980,0.4730
rest,-0.7133,0.5138,0.5520
pos2,0.5360,0.3553,nan
pos3,-0.7988,0.5851,nan
pos4,0.9227,2.7700,nan
pos5,-0.8896,0.9606,nan
pos6,-0.0878,0.2766,nan
pos7,-0.5120,0.4406,nan
prompt_newline(n=80),-0.1187,0.4992,nan
prompt_ordinary(n=1092),-0.3230,0.5716,nan
prompt_template(n=64),-0.0090,1.2155,nan
resp_newline(n=20),-0.0774,0.3727,nan
resp_ordinary(n=1919),-0.2558,0.3392,nan
resp_template(n=1),0.9635,2.1502,nan
"iso_q1(n=632,tpl_frac=0.12,tpl_recall=0.51)",nan,0.7438,0.0343
"iso_q2(n=632,tpl_frac=0.08,tpl_recall=0.34)",nan,0.5994,0.0765
"iso_q3(n=632,tpl_frac=0.01,tpl_recall=0.04)",nan,0.6076,0.1078
"iso_q4(n=632,tpl_frac=0.00,tpl_recall=0.00)",nan,0.5421,0.1455
"iso_q5(n=632,tpl_frac=0.03,tpl_recall=0.11)",nan,1.7322,12.3965
iso_pearson linear=0.984 log=0.332 spearman=0.155 n=3160,0.9840,0.3316,0.1554
"white_q1(n=632,tpl_frac=0.06,tpl_recall=0.24)",nan,0.4901,0.0025
"white_q2(n=633,tpl_frac=0.04,tpl_recall=0.15)",nan,0.7192,0.0082
"white_q3(n=631,tpl_frac=0.06,tpl_recall=0.25)",nan,0.5430,0.0142
"white_q4(n=632,tpl_frac=0.03,tpl_recall=0.13)",nan,0.6515,0.0222
"white_q5(n=632,tpl_frac=0.05,tpl_recall=0.23)",nan,1.8209,8.5448
white_pearson linear=0.984 log=0.407 spearman=0.237 n=3160,0.9840,0.4072,0.2375
"row_q1(n=632,tpl_frac=0.01,tpl_recall=0.04)",nan,0.4171,0.0484
"row_q2(n=632,tpl_frac=0.07,tpl_recall=0.29)",nan,0.4312,0.1459
"row_q3(n=632,tpl_frac=0.01,tpl_recall=0.05)",nan,0.4817,0.2445
"row_q4(n=632,tpl_frac=0.04,tpl_recall=0.18)",nan,0.5553,0.3613
"row_q5(n=632,tpl_frac=0.10,tpl_recall=0.44)",nan,2.3397,1.4645
row_pearson linear=0.992 log=0.636 spearman=0.645 n=3160,0.9923,0.6360,0.6449
"rowshare_template(row=1384,n=49)",nan,15.8958,0.3730
"rowshare_newline(row=1384,n=100)",nan,0.5738,0.0831
"rowshare_ordinary(row=1384,n=3011)",nan,0.6091,0.1506
