part,kind,token,ov_iso,ov_white,ov_row,err,err_rowshare
prompt,template,<|begin_of_text|>,480.9,335.83,21.548,43.165,0.4208
prompt,ordinary,<|start_header_id|>,0.033121,0.13421,0.61867,1.0149,0.2187
prompt,ordinary,system,0.10416,0.014055,0.90544,0.95269,0.2979
prompt,ordinary,<|end_header_id|>,0.2576,0.038232,2.4038,3.4853,0.2634
prompt,newline,\n\n,0.076633,0.033479,1.1596,1.3949,0.3437
prompt,ordinary,Cut,0.14651,0.018599,0.22676,0.48625,0.0086
prompt,ordinary,ting,0.12129,0.020733,0.3972,0.64886,0.1144
prompt,ordinary, Knowledge,0.31243,0.054714,0.70082,1.0461,0.3567
prompt,ordinary, Date,0.26165,0.058868,0.62103,0.75691,0.3416
prompt,ordinary,:,0.084774,0.021742,0.49003,0.93144,0.3070
prompt,ordinary, December,0.15564,0.041352,0.26506,0.51743,0.2334
prompt,ordinary, ,0.099408,0.015581,0.65392,0.80799,0.3768
prompt,ordinary,202,0.23368,0.030378,0.55082,0.64988,0.3075
prompt,ordinary,3,0.15586,0.025459,0.63161,0.85441,0.3153
prompt,newline,\n,0.019924,0.0023561,0.37748,0.39854,0.0187
prompt,ordinary,Today,0.26649,0.043542,0.16264,0.42732,0.0278
prompt,ordinary, Date,0.32427,0.077418,0.30096,0.59452,0.1315
prompt,ordinary,:,0.22888,0.041117,0.49096,0.9048,0.2872
prompt,ordinary, ,0.13213,0.02373,0.67949,0.68732,0.2160
prompt,ordinary,26,0.11485,0.011217,0.39071,0.66972,0.2597
prompt,ordinary, Jul,0.25054,0.049131,0.21768,0.51536,0.0995
prompt,ordinary, ,0.098102,0.00067402,0.4978,0.59237,0.2776
prompt,ordinary,202,0.2822,0.013252,0.4136,0.65347,0.1958
prompt,ordinary,4,0.13175,0.018763,0.28331,0.57191,0.0134
prompt,newline,\n\n,0.079238,0.00023066,0.18324,0.41643,0.0070
prompt,template,<|eot_id|>,0.0084778,0.010507,1.8231,2.6118,0.3502
prompt,ordinary,<|start_header_id|>,0.02649,0.010704,2.3037,3.2656,0.3403
prompt,ordinary,user,0.097117,0.04213,0.425,0.63705,0.1472
prompt,ordinary,<|end_header_id|>,0.015013,0.006582,2.3108,3.4709,0.3499
prompt,newline,\n\n,0.011351,0.012954,0.10827,0.45661,0.0064
prompt,ordinary,Write,0.090458,0.0038909,0.23296,0.52911,0.0541
