part,kind,token,ov_iso,ov_white,ov_row,err,err_rowshare
prompt,template,<|begin_of_text|>,480.9,337.5,22.457,43.18,0.4205
prompt,ordinary,<|start_header_id|>,0.033121,0.13192,0.57644,0.9809,0.1492
prompt,ordinary,system,0.10416,0.012908,0.82882,1.1357,0.2847
prompt,ordinary,<|end_header_id|>,0.2576,0.042307,0.85116,4.4764,0.2027
prompt,newline,\n\n,0.076633,0.033223,1.1922,1.85,0.3681
prompt,ordinary,Cut,0.14651,0.019589,0.34833,0.62192,0.1888
prompt,ordinary,ting,0.12129,0.021102,0.37422,0.67672,0.1394
prompt,ordinary, Knowledge,0.31243,0.057238,0.6794,0.89329,0.2937
prompt,ordinary, Date,0.26165,0.060851,0.76781,0.84573,0.3564
prompt,ordinary,:,0.084774,0.023291,0.5396,0.87523,0.3069
prompt,ordinary, December,0.15564,0.040635,0.26034,0.59941,0.1767
prompt,ordinary, ,0.099408,0.015518,0.81641,1.0589,0.4214
prompt,ordinary,202,0.23368,0.030561,0.50021,0.47425,0.1211
prompt,ordinary,3,0.15586,0.025081,0.60444,0.68065,0.2569
prompt,newline,\n,0.019924,0.0019547,0.40491,0.64891,0.2493
prompt,ordinary,Today,0.26649,0.045833,0.051287,0.56333,0.2493
prompt,ordinary, Date,0.32427,0.078619,0.16791,0.57441,0.0077
prompt,ordinary,:,0.22888,0.04426,0.59283,0.82651,0.2833
prompt,ordinary, ,0.13213,0.024461,0.70744,0.97313,0.3448
prompt,ordinary,26,0.11485,0.01257,0.42489,0.54585,0.2394
prompt,ordinary, Jul,0.25054,0.050108,0.0060774,0.44095,0.0000
prompt,ordinary, ,0.098102,0.0013827,0.45051,0.66383,0.2893
prompt,ordinary,202,0.2822,0.014445,0.25325,0.46567,0.1156
prompt,ordinary,4,0.13175,0.019425,0.23841,0.5255,0.0000
prompt,newline,\n\n,0.079238,0.0016152,0.29159,0.64956,0.3253
prompt,template,<|eot_id|>,0.0084778,0.0088523,0.48141,2.0105,0.3301
prompt,ordinary,<|start_header_id|>,0.02649,0.012854,0.67346,2.8465,0.3286
prompt,ordinary,user,0.097117,0.042094,0.35756,0.59634,0.0407
prompt,ordinary,<|end_header_id|>,0.015013,0.0050665,0.42349,2.5476,0.3282
prompt,newline,\n\n,0.011351,0.013888,0.51801,1.0922,0.4023
prompt,ordinary,Write,0.090458,0.0030508,0.15336,0.46019,0.0012
prompt,ordinary, a,0.21241,0.028032,0.66003,0.96698,0.3556
prompt,ordinary, ,0.00057404,0.0097502,0.96778,1.1718,0.4239
prompt,ordinary,300,0.086368,0.0089717,0.53759,0.62592,0.3741
prompt,ordinary,+,0.063273,0.0087917,0.35767,0.45606,0.0248
prompt,ordinary, word,0.078947,0.014616,0.0253,0.4983,0.0521
prompt,ordinary, summary,0.2219,0.057785,0.20947,0.58188,0.0058
prompt,ordinary, of,0.23017,0.059332,0.22073,0.53668,0.1467
prompt,ordinary, the,0.17443,0.036344,0.32607,0.36072,0.2264
prompt,ordinary, wikipedia,0.29211,0.068983,0.22479,0.68813,0.1320
prompt,ordinary, page,0.1441,0.034668,0.37394,0.6342,0.1823
prompt,ordinary," """,0.19451,0.045674,0.76821,0.97032,0.3831
prompt,ordinary,https,0.064295,0.024854,0.28888,0.46041,0.0126
prompt,ordinary,://,0.28123,0.059787,0.18588,0.73819,0.2274
prompt,ordinary,en,0.1001,0.0055621,0.56938,0.92746,0.2310
prompt,ordinary,.wikipedia,0.19401,0.04052,0.25203,0.74453,0.0686
prompt,ordinary,.org,0.25562,0.031772,0.86975,1.2572,0.3040
prompt,ordinary,/wiki,0.17465,0.021155,0.30686,0.87154,0.1399
prompt,ordinary,/R,0.076935,0.010708,0.18699,0.54659,0.1248
prompt,ordinary,ay,0.24978,0.065782,0.32028,0.69365,0.0712
prompt,ordinary,mond,0.18596,0.026501,0.085077,0.63942,0.0435
prompt,ordinary,_,0.052208,0.026941,0.89425,1.2034,0.3462
prompt,ordinary,III,0.18462,0.036629,0.36118,0.74732,0.0996
prompt,ordinary,",_",0.14493,0.028612,0.12697,0.65697,0.1155
prompt,ordinary,Count,0.15542,0.034788,0.26202,0.55764,0.0000
prompt,ordinary,_of,0.26105,0.046574,0.085313,0.62344,0.0025
prompt,ordinary,_T,0.16036,0.042031,0.88879,0.91664,0.3694
prompt,ordinary,rip,0.080263,0.004627,0.38248,0.72954,0.0772
prompt,ordinary,oli,0.10921,0.0037322,0.29952,0.72749,0.1155
prompt,ordinary,""".",0.18485,0.060753,0.010588,0.3643,0.0388
prompt,ordinary, Do,0.25833,0.041694,0.014902,0.32834,0.0035
prompt,ordinary, not,0.25454,0.0045455,0.16367,0.43531,0.0004
prompt,ordinary, use,0.1704,0.034747,0.15925,0.32075,0.0102
prompt,ordinary, any,0.23493,0.015424,0.16417,0.36891,0.1144
prompt,ordinary, commas,0.14566,0.042297,0.061561,0.49912,0.0015
prompt,ordinary, and,0.11916,0.013553,0.12306,0.24852,0.0287
prompt,ordinary, highlight,0.11036,0.0031653,0.0049401,0.46207,0.0183
prompt,ordinary, at,0.11334,0.0099241,0.089784,0.35606,0.1549
prompt,ordinary, least,0.13656,0.01093,0.075929,0.38911,0.0068
prompt,ordinary, ,0.10596,0.00094403,0.44104,0.44403,0.3195
prompt,ordinary,3,0.20307,0.0134,0.020497,0.37785,0.0165
prompt,ordinary, sections,0.26029,0.039744,0.28612,0.54743,0.1680
prompt,ordinary, that,0.15311,0.021241,0.11352,0.25794,0.0012
prompt,ordinary, has,0.094381,0.00019991,0.13063,0.32259,0.0081
prompt,ordinary, titles,0.18891,0.031419,0.24606,0.72917,0.2847
prompt,ordinary, in,0.070216,0.013144,0.18704,0.31446,0.0848
prompt,ordinary, markdown,0.099803,0.015093,0.091668,0.56749,0.0413
prompt,ordinary, format,0.23513,0.029622,0.11921,0.45603,0.0196
prompt,ordinary,",",0.059113,0.009453,0.033159,0.36048,0.2505
prompt,ordinary, for,0.072064,0.0004544,0.15062,0.27924,0.0245
prompt,ordinary, example,0.29461,0.026109,0.15365,0.47847,0.0972
prompt,ordinary, *,0.13386,0.026321,0.22397,0.42443,0.1525
prompt,ordinary,highlight,0.11649,0.0033406,0.040972,0.57705,0.0159
prompt,ordinary,ed,0.15106,0.021797,0.14104,0.6956,0.0414
prompt,ordinary, section,0.13501,0.0094285,0.17957,0.40965,0.0274
prompt,ordinary, part,0.20775,0.029743,0.085048,0.43479,0.0586
prompt,ordinary, ,0.074922,0.010111,0.88391,0.9463,0.3845
prompt,ordinary,1,0.16695,0.012774,0.31988,0.46387,0.1555
prompt,ordinary,"*,",0.18054,0.042691,0.080101,0.58755,0.1008
prompt,ordinary, *,0.14866,0.027754,0.16567,0.52755,0.0380
prompt,ordinary,highlight,0.13568,0.0070435,0.1151,0.57889,0.0017
prompt,ordinary,ed,0.142,0.014815,0.10144,0.76492,0.0838
prompt,ordinary, section,0.12859,0.0026079,0.21741,0.41954,0.0432
prompt,ordinary, part,0.20063,0.026263,0.051832,0.43041,0.0157
prompt,ordinary, ,0.073241,0.0080039,0.72394,0.83745,0.3656
prompt,ordinary,2,0.19587,0.011322,0.23241,0.4585,0.0912
prompt,ordinary,"*,",0.19221,0.03115,0.17637,0.61149,0.1336
prompt,ordinary, *,0.14388,0.022891,0.1625,0.55275,0.0376
prompt,ordinary,highlight,0.13568,0.0049043,0.13152,0.58951,0.0063
prompt,ordinary,ed,0.13508,0.014317,0.1261,0.76135,0.0800
prompt,ordinary, section,0.13045,0.0012214,0.23892,0.44004,0.0569
prompt,ordinary, part,0.1883,0.021934,0.080714,0.43378,0.0049
prompt,ordinary, ,0.078325,0.0077168,0.62277,0.75592,0.3476
prompt,ordinary,3,0.18078,0.0069221,0.21128,0.43889,0.1073
prompt,ordinary,*.,0.071683,0.0022151,0.16063,0.49733,0.0321
prompt,template,<|eot_id|>,0.05221,0.021209,0.62992,2.1852,0.3193
prompt,ordinary,<|start_header_id|>,0.064991,0.027151,0.84118,2.9635,0.3050
prompt,ordinary,assistant,0.033344,0.011018,0.097782,0.69716,0.0468
prompt,ordinary,<|end_header_id|>,0.062228,0.023329,0.54024,2.7461,0.3165
prompt,newline,\n\n,0.11802,0.028176,0.34944,0.44861,0.1192
resp,ordinary,Ray,0.17876,0.040435,0.20154,0.62175,0.1759
resp,ordinary,mond,0.20241,0.033343,0.0014352,0.71206,0.1237
resp,ordinary, III,0.088883,0.010776,0.45928,0.51902,0.0271
resp,ordinary, Count,0.17493,0.036014,0.079644,0.52568,0.0435
resp,ordinary, of,0.12924,0.025666,0.098007,0.55692,0.0375
resp,ordinary, Trip,0.11236,0.0085632,0.12254,0.43789,0.0538
resp,ordinary,oli,0.13117,0.015052,0.14238,0.64384,0.0587
resp,ordinary, was,0.057569,0.015548,0.0060708,0.28598,0.0578
resp,ordinary, a,0.085399,0.0079029,0.25346,0.39617,0.2809
resp,ordinary, member,0.079262,0.0032943,0.24696,0.44413,0.1787
resp,ordinary, of,0.049412,0.0031053,0.29781,0.56917,0.1231
resp,ordinary, the,0.038737,0.015204,0.53493,0.55249,0.2816
resp,ordinary, House,0.099716,0.016265,0.016522,0.33485,0.0000
resp,ordinary, of,0.1349,0.0048669,0.19905,0.57947,0.0865
resp,ordinary, Po,0.26776,0.058883,0.21021,0.49176,0.0002
resp,ordinary,it,0.10358,0.0057259,0.44382,0.66417,0.0956
resp,ordinary,iers,0.16086,0.013498,0.090837,0.64018,0.0002
resp,ordinary, and,0.052313,0.01226,0.046863,0.2794,0.2507
resp,ordinary, the,0.085435,0.0053549,0.1017,0.26053,0.0529
resp,ordinary, ruler,0.14125,0.042828,0.059527,0.54956,0.1116
resp,ordinary, of,0.05972,0.010294,0.39122,0.63871,0.1592
resp,ordinary, the,0.038227,0.024788,0.54095,0.62592,0.2835
resp,ordinary, County,0.12612,0.020186,0.25721,0.42096,0.1558
resp,ordinary, of,0.23742,0.022364,0.30251,0.56909,0.1400
resp,ordinary, Trip,0.13275,0.0069899,0.0097236,0.43583,0.0126
resp,ordinary,oli,0.11762,0.0047513,0.070679,0.62433,0.0361
resp,ordinary, from,0.072361,0.01727,0.057015,0.34488,0.2414
resp,ordinary, ,0.032558,0.00094724,0.41918,0.39275,0.3831
resp,ordinary,115,0.13834,0.022788,0.25881,0.36527,0.0253
resp,ordinary,2,0.14622,0.026735,0.30786,0.59834,0.0230
resp,ordinary, until,0.021705,0.0061482,0.061351,0.35855,0.1075
resp,ordinary, his,0.069609,0.0082722,0.062038,0.36012,0.0544
resp,ordinary, death,0.028128,0.0050616,0.097442,0.39694,0.0490
resp,ordinary, in,0.025034,0.015419,0.13229,0.28483,0.0053
resp,ordinary, ,0.042218,0.016867,0.34109,0.37339,0.3662
resp,ordinary,118,0.090802,0.0049114,0.37847,0.44934,0.1663
resp,ordinary,7,0.070876,0.010509,0.04029,0.55353,0.0008
resp,ordinary,.,0.006289,0.00055308,0.14719,0.22506,0.0032
resp,ordinary, He,0.047921,0.0065463,0.094837,0.24745,0.0042
resp,ordinary, was,0.060589,0.018835,0.17036,0.31279,0.1560
