class,cos_with_bos_dir,rel_err,energy_share_on_bos_dir
bos,-0.9926,0.2613,0.9852
tpl,0.9985,313.0230,0.9971
rest,0.9984,303.6301,0.9968
pos2,0.9981,310.2895,nan
pos3,0.9988,299.9282,nan
pos4,0.9987,376.2258,nan
pos5,0.9986,237.8817,nan
pos6,0.9986,336.2630,nan
pos7,0.9985,317.5498,nan
prompt_newline(n=3),0.6034,0.8404,nan
prompt_ordinary(n=757),0.9917,269.8561,nan
prompt_template(n=32),-0.9926,0.2613,nan
resp_newline(n=103),0.4016,1.6956,nan
resp_ordinary(n=1832),0.9796,217.3266,nan
resp_template(n=1),-0.5066,0.4686,nan
"iso_q1(n=543,tpl_frac=0.03,tpl_recall=0.15)",nan,83.4077,0.0053
"iso_q2(n=542,tpl_frac=0.05,tpl_recall=0.23)",nan,76.2363,0.0148
"iso_q3(n=542,tpl_frac=0.07,tpl_recall=0.32)",nan,78.1078,0.0265
"iso_q4(n=542,tpl_frac=0.01,tpl_recall=0.07)",nan,87.9220,0.0462
"iso_q5(n=543,tpl_frac=0.06,tpl_recall=0.24)",nan,117.2362,34.2177
iso_pearson linear=-0.071 log=0.090 spearman=0.236 n=2712,-0.0708,0.0899,0.2361
"white_q1(n=543,tpl_frac=0.03,tpl_recall=0.11)",nan,80.0010,0.0020
"white_q2(n=542,tpl_frac=0.03,tpl_recall=0.13)",nan,83.5171,0.0064
"white_q3(n=542,tpl_frac=0.04,tpl_recall=0.19)",nan,81.3249,0.0118
"white_q4(n=542,tpl_frac=0.05,tpl_recall=0.20)",nan,90.7206,0.0194
"white_q5(n=543,tpl_frac=0.08,tpl_recall=0.37)",nan,107.3708,4.6529
white_pearson linear=-0.056 log=0.039 spearman=0.209 n=2712,-0.0560,0.0388,0.2087
"row_q1(n=543,tpl_frac=0.16,tpl_recall=0.71)",nan,78.3374,0.0534
"row_q2(n=542,tpl_frac=0.01,tpl_recall=0.04)",nan,87.3959,0.0997
"row_q3(n=542,tpl_frac=0.00,tpl_recall=0.00)",nan,90.8159,0.1250
"row_q4(n=542,tpl_frac=0.00,tpl_recall=0.01)",nan,95.7077,0.1499
"row_q5(n=543,tpl_frac=0.06,tpl_recall=0.24)",nan,90.7113,1.7050
row_pearson linear=-0.051 log=0.236 spearman=0.077 n=2712,-0.0511,0.2356,0.0766
"rowshare_template(row=2070,n=17)",nan,52.5068,0.9331
"rowshare_newline(row=2070,n=106)",nan,8.0133,0.3999
"rowshare_ordinary(row=2070,n=2589)",nan,92.1266,0.9652
