part,kind,token,ov_iso,ov_white,ov_row,err,err_rowshare
prompt,template,<s>,798.84,153.29,3.6388,55.774,0.9724
prompt,ordinary,[INST],0.0057291,0.12873,0.0074518,127.04,0.9749
prompt,ordinary,Write,0.032532,0.011013,0.14595,124.58,0.9745
prompt,ordinary,a,0.033487,0.01806,0.1742,186.32,0.9752
prompt,ordinary,,34.292,5.5288,0.40508,202.43,0.9767
prompt,ordinary,3,0.06707,0.019917,0.087154,168.2,0.9735
prompt,ordinary,0,0.078451,0.0251,0.087831,171.2,0.9742
prompt,ordinary,0,0.074583,0.017801,0.14623,179.32,0.9742
prompt,ordinary,+,0.010813,0.011968,0.12887,103.85,0.9742
prompt,ordinary,word,0.057089,0.0055461,0.094721,108.71,0.9775
prompt,ordinary,summary,0.010303,0.02425,0.10603,59.75,0.9743
prompt,ordinary,of,0.23608,0.036781,0.12868,178.19,0.9758
prompt,ordinary,the,0.0092061,0.0018449,0.12361,152.89,0.9750
prompt,ordinary,w,0.067803,0.0067222,0.14796,125.36,0.9784
prompt,ordinary,ik,0.27717,0.086178,0.14511,149.86,0.9759
prompt,ordinary,ipedia,0.23586,0.0656,0.053566,128.41,0.9784
prompt,ordinary,page,0.24589,0.053894,0.11653,150.71,0.9775
prompt,ordinary,"""",0.036379,0.024901,0.15593,97.013,0.9781
prompt,ordinary,https,0.058615,0.02358,0.091098,38.438,0.9775
prompt,ordinary,://,0.65845,0.073946,0.21867,143.94,0.9741
prompt,ordinary,en,0.10975,0.042802,0.14764,151.89,0.9755
prompt,ordinary,.,0.025478,0.022662,0.16083,61.66,0.9774
prompt,ordinary,wikipedia,0.094539,0.031402,0.078068,72.193,0.9808
prompt,ordinary,.,0.040935,0.022454,0.046957,47.758,0.9745
prompt,ordinary,org,0.05959,0.015049,0.12617,97.127,0.9767
prompt,ordinary,/,0.037601,0.0019627,0.10884,41.582,0.9724
prompt,ordinary,wiki,0.10313,0.036563,0.076314,71.287,0.9783
prompt,ordinary,/,0.078649,0.0044327,0.1334,58.971,0.9750
prompt,ordinary,Ray,0.00044205,0.0059054,0.20372,76.431,0.9751
prompt,ordinary,mond,0.043391,0.026033,0.22622,97.192,0.9752
prompt,ordinary,_,0.72517,0.043892,0.055439,167.88,0.9778
prompt,ordinary,III,0.022261,0.016327,0.15168,49.192,0.9716
prompt,ordinary,",_",0.022011,0.035197,0.12624,11.365,0.9783
