class,cos_with_bos_dir,rel_err,energy_share_on_bos_dir
bos,0.4004,0.6465,0.1604
tpl,0.3309,0.8608,0.1254
rest,0.2480,0.2183,0.0829
pos2,0.4900,3.9277,nan
pos3,0.3992,0.3029,nan
pos4,0.1633,0.1610,nan
pos5,0.2713,0.1657,nan
pos6,0.2013,0.2547,nan
pos7,0.4604,0.3530,nan
prompt_newline(n=80),0.2709,0.9555,nan
prompt_ordinary(n=974),0.1252,0.1714,nan
prompt_template(n=80),0.2066,0.3073,nan
resp_newline(n=17),0.0449,0.1790,nan
resp_ordinary(n=1881),0.0875,0.1530,nan
resp_template(n=2),0.0638,0.2007,nan
"overlap_q1(n=604,tpl_frac=0.03)",nan,5.7516,0.0071
"overlap_q2(n=603,tpl_frac=0.04)",nan,5.5093,0.0181
"overlap_q3(n=604,tpl_frac=0.01)",nan,5.7151,0.0267
"overlap_q4(n=604,tpl_frac=0.04)",nan,7.2945,0.0373
"overlap_q5(n=603,tpl_frac=0.14)",nan,22.3832,0.4038
"pearson(|x0.x_t|,||e_t||) linear=0.120 log=0.351 n=3018",0.1198,0.3509,nan
