class,cos_with_bos_dir,rel_err,energy_share_on_bos_dir
bos,0.4004,0.6465,0.1604
tpl,0.3309,0.8608,0.1254
rest,0.2480,0.2183,0.0829
pos2,0.4900,3.9277,nan
pos3,0.3992,0.3029,nan
pos4,0.1633,0.1610,nan
pos5,0.2713,0.1657,nan
pos6,0.2013,0.2547,nan
pos7,0.4604,0.3530,nan
prompt_newline(n=80),0.2709,0.9555,nan
prompt_ordinary(n=974),0.1252,0.1714,nan
prompt_template(n=80),0.2066,0.3073,nan
resp_newline(n=17),0.0449,0.1790,nan
resp_ordinary(n=1881),0.0875,0.1530,nan
resp_template(n=2),0.0638,0.2007,nan
"iso_q1(n=604,tpl_frac=0.03,tpl_recall=0.11)",nan,5.7516,0.0071
"iso_q2(n=603,tpl_frac=0.04,tpl_recall=0.17)",nan,5.5093,0.0181
"iso_q3(n=604,tpl_frac=0.01,tpl_recall=0.06)",nan,5.7151,0.0267
"iso_q4(n=604,tpl_frac=0.04,tpl_recall=0.15)",nan,7.2945,0.0373
"iso_q5(n=603,tpl_frac=0.14,tpl_recall=0.52)",nan,22.3832,0.4038
iso_pearson linear=0.120 log=0.351 spearman=0.392 n=3018,0.1198,0.3509,0.3918
"white_q1(n=604,tpl_frac=0.01,tpl_recall=0.04)",nan,6.5194,0.0004
"white_q2(n=603,tpl_frac=0.04,tpl_recall=0.15)",nan,6.0435,0.0011
"white_q3(n=604,tpl_frac=0.05,tpl_recall=0.19)",nan,6.6858,0.0015
"white_q4(n=603,tpl_frac=0.08,tpl_recall=0.30)",nan,6.7044,0.0021
"white_q5(n=604,tpl_frac=0.09,tpl_recall=0.33)",nan,20.6755,0.0141
white_pearson linear=0.861 log=0.177 spearman=0.065 n=3018,0.8613,0.1773,0.0649
"row_q1(n=604,tpl_frac=0.03,tpl_recall=0.11)",nan,5.2586,0.3146
"row_q2(n=603,tpl_frac=0.03,tpl_recall=0.10)",nan,5.4051,0.9108
"row_q3(n=604,tpl_frac=0.01,tpl_recall=0.05)",nan,5.8746,1.5898
"row_q4(n=603,tpl_frac=0.05,tpl_recall=0.18)",nan,6.8188,2.6001
"row_q5(n=604,tpl_frac=0.15,tpl_recall=0.55)",nan,23.2707,18.6390
row_pearson linear=0.998 log=0.564 spearman=0.511 n=3018,0.9978,0.5643,0.5113
"rowshare_template(row=3094,n=66)",nan,6.9663,0.1734
"rowshare_newline(row=3094,n=97)",nan,89.5470,0.3834
"rowshare_ordinary(row=3094,n=2855)",nan,6.6568,0.1422
