part,kind,token,ov_iso,ov_white,ov_row,err,err_rowshare
prompt,ordinary,system,11.668,0.0059458,12.699,16.249,0.3694
prompt,newline,\n,1.28,0.16642,503.62,511.83,0.9467
prompt,ordinary,You,0.037703,0.0039593,7.9481,12.763,0.6450
prompt,ordinary, are,0.0040126,0.0022696,1.8674,7.6919,0.1056
prompt,ordinary, Q,0.0019111,0.0020982,3.6694,7.8318,0.2691
prompt,ordinary,wen,7.2375e-05,0.00046912,8.4706,15.14,0.1670
prompt,ordinary,",",0.047258,0.0020893,8.5863,13.197,0.8441
prompt,ordinary, created,0.03176,0.0017496,3.7931,7.1364,0.3341
prompt,ordinary, by,0.018128,0.00063735,5.4472,6.2627,0.3236
prompt,ordinary, Alibaba,0.08031,0.0033725,5.159,12.846,0.1031
prompt,ordinary, Cloud,0.042966,0.0071807,8.5016,22.532,0.1444
prompt,ordinary,.,0.021965,0.011731,2.9065,10.552,0.7999
prompt,ordinary, You,0.044118,0.0028169,3.7036,6.0621,0.4915
prompt,ordinary, are,0.0062828,0.0019388,0.25956,5.3116,0.0068
prompt,ordinary, a,0.013472,0.0010102,0.67799,5.1492,0.0212
prompt,ordinary, helpful,0.03559,0.00012949,1.7119,9.3267,0.0243
prompt,ordinary, assistant,0.053363,0.038674,7.1731,15.73,0.1824
prompt,ordinary,.,0.018364,0.010917,1.1745,3.1302,0.0016
prompt,template,<|im_end|>,0.06608,0.0023183,3.4506,6.4945,0.0675
prompt,newline,\n,0.048023,0.0015356,6.9454,10.861,0.7752
prompt,template,<|im_start|>,0.14855,0.0023942,4.3086,7.5564,0.3071
prompt,ordinary,user,0.066318,0.0016344,8.3573,16.656,0.3471
prompt,newline,\n,0.036168,0.0025259,3.0479,6.9012,0.3153
prompt,ordinary,Write,0.052158,0.015592,2.9632,7.9144,0.3233
prompt,ordinary, a,0.032983,0.00076249,1.0142,6.2422,0.0530
prompt,ordinary, ,0.033982,0.0011993,3.0816,5.8387,0.2640
prompt,ordinary,3,0.021821,0.0017436,2.692,4.4298,0.2580
prompt,ordinary,0,0.030922,0.0019787,0.030636,3.9926,0.0010
prompt,ordinary,0,0.023155,0.0027399,1.4039,4.2514,0.1245
prompt,ordinary,+,0.052934,0.0019044,2.5053,10.02,0.1135
prompt,ordinary, word,0.013099,0.00047503,1.3009,8.7666,0.0488
prompt,ordinary, summary,0.038578,0.001303,0.25973,9.3796,0.0036
prompt,ordinary, of,0.016542,0.0021334,4.0402,7.721,0.2204
prompt,ordinary, the,0.013809,0.013123,1.733,3.2297,0.2157
prompt,ordinary, wikipedia,0.037403,0.002121,1.0609,13.619,0.0005
prompt,ordinary, page,0.016976,0.0016665,3.2968,7.4138,0.3190
prompt,ordinary," """,0.029122,0.0027095,1.3308,4.9756,0.1237
prompt,ordinary,https,0.012406,0.0020986,1.6799,6.8664,0.0239
prompt,ordinary,://,0.11649,0.00095154,0.5072,6.2764,0.0168
prompt,ordinary,en,0.10079,0.0021019,5.3679,12.988,0.2505
prompt,ordinary,.wikipedia,0.046186,0.0025769,1.76,15.893,0.0342
prompt,ordinary,.org,0.037623,0.002137,1.0804,17.35,0.0003
prompt,ordinary,/wiki,0.1011,0.0069382,7.788,35.777,0.0277
prompt,ordinary,/R,0.063287,0.0036888,7.5518,10.474,0.5925
