layer,bos_norm,tpl_norm,rest_norm,bos_over_rest,att_bos,att_p1,att_tpl,att_rest
0,574.8,85.76,81.19,7.081,0.1811,0.1835,0.1229,0.5125
1,796.8,82.24,77.86,10.23,0.3563,0.3567,0.0302,0.2567
2,1011,92.74,84.14,12.02,0.2903,0.2906,0.0291,0.3900
3,1115,91.47,82.09,13.58,0.2592,0.2593,0.0487,0.4328
4,1138,93.87,85.03,13.38,0.2475,0.2475,0.0630,0.4420
5,1167,111.8,97.81,11.93,0.2939,0.2939,0.0466,0.3655
6,1339,118.2,103.8,12.9,0.2634,0.2635,0.0654,0.4076
7,1500,129.5,114.5,13.1,0.3273,0.3272,0.0418,0.3037
8,1527,140,124.1,12.31,0.2628,0.2629,0.0437,0.4306
9,1746,157.6,136,12.84,0.2828,0.2828,0.0537,0.3806
10,1803,171,146.1,12.35,0.2154,0.2155,0.0715,0.4976
11,2058,208.4,155.9,13.2,0.2516,0.2515,0.0710,0.4259
12,2178,245.3,168.4,12.94,0.2678,0.2674,0.0859,0.3790
13,2374,330.5,185.9,12.77,0.2768,0.2768,0.0579,0.3885
14,2569,471.1,206.6,12.44,0.2267,0.2267,0.0990,0.4477
15,2847,614.5,218.2,13.05,0.1949,0.1948,0.1364,0.4739
16,3110,715.6,241.9,12.86,0.2422,0.2421,0.1025,0.4132
17,3356,783.2,260.9,12.86,0.2712,0.2712,0.1235,0.3340
18,3594,841.2,275.1,13.06,0.1945,0.1944,0.1912,0.4199
19,3860,867.9,295.2,13.08,0.1743,0.1742,0.2109,0.4406
20,4101,873.4,315.6,12.99,0.1916,0.1916,0.1700,0.4469
21,4396,884.2,333.2,13.19,0.1912,0.1911,0.1707,0.4470
22,4669,889.7,339.4,13.76,0.1295,0.1294,0.2099,0.5312
23,5235,759.5,358.7,14.59,0.2449,0.2448,0.1882,0.3221
24,5636,662.4,374.1,15.06,0.2233,0.2232,0.1443,0.4092
25,5964,671.7,390.1,15.29,0.2729,0.2728,0.0981,0.3562
26,6379,454.7,378.1,16.87,0.2717,0.2716,0.0898,0.3670
27,6741,477.2,404.2,16.68,0.2775,0.2774,0.0548,0.3903
28,7148,472.5,422.3,16.93,0.3652,0.3653,0.0651,0.2045
29,7413,483.6,446.1,16.62,0.3597,0.3597,0.0484,0.2322
30,7502,487.8,462.6,16.21,0.3674,0.3675,0.0545,0.2106
31,7647,515.4,495.4,15.44,0.3608,0.3609,0.0517,0.2265
32,7840,537.9,525.3,14.92,0.3866,0.3867,0.0602,0.1665
33,7927,551,546.4,14.51,0.3769,0.3769,0.0715,0.1747
34,7928,570.7,572.3,13.85,0.3933,0.3933,0.0529,0.1605
35,7988,578,602.1,13.27,0.4122,0.4123,0.0585,0.1169
36,8144,599.8,642.7,12.67,0.3591,0.3592,0.0781,0.2036
37,8274,579.4,658.7,12.56,0.3597,0.3597,0.0704,0.2102
38,8481,615.6,719,11.8,0.3675,0.3675,0.0940,0.1710
39,8615,667.8,779.4,11.05,0.3036,0.3035,0.0958,0.2971
40,8692,787.3,947.9,9.17,0.3369,0.3368,0.0873,0.2389
41,102.1,88.78,102.5,0.9956,0.3758,0.3760,0.0300,0.2182
