layer,bos_norm,tpl_norm,rest_norm,bos_over_rest,att_bos,att_p1,att_tpl,att_rest
0,12.24,1.327,1.081,11.32,0.2810,0.2812,0.0680,0.3698
1,513.7,1.916,1.429,359.5,0.4226,0.4225,0.0157,0.1393
2,513.6,2.788,2.14,240,0.4531,0.4531,0.0096,0.0841
3,513.6,3.585,2.958,173.6,0.4319,0.4319,0.0100,0.1261
4,513.6,4.305,3.772,136.2,0.4041,0.4041,0.0149,0.1769
5,513.7,5.133,4.55,112.9,0.3768,0.3769,0.0219,0.2244
6,513.7,5.864,5.198,98.82,0.3638,0.3638,0.0211,0.2512
7,513.7,6.584,5.848,87.84,0.3228,0.3228,0.0284,0.3261
8,513.8,6.938,6.2,82.87,0.3330,0.3331,0.0293,0.3046
9,513.8,7.287,6.552,78.42,0.3163,0.3163,0.0352,0.3323
10,517.3,7.475,6.875,75.24,0.3525,0.3525,0.0344,0.2606
11,517.3,7.682,7.131,72.54,0.3178,0.3178,0.0435,0.3210
12,517.3,8.097,7.826,66.1,0.3056,0.3056,0.0341,0.3547
13,517.3,8.394,8.272,62.53,0.3252,0.3253,0.0389,0.3107
14,517.2,8.563,8.831,58.57,0.3242,0.3243,0.0303,0.3212
15,517.2,9.409,9.635,53.67,0.3324,0.3323,0.0301,0.3052
16,517.1,10.65,10.91,47.41,0.3555,0.3555,0.0244,0.2645
17,517.1,11.88,12.21,42.35,0.3710,0.3710,0.0250,0.2329
18,517,13.5,13.59,38.06,0.4041,0.4041,0.0156,0.1762
19,517,14.71,14.78,34.98,0.4201,0.4201,0.0188,0.1411
20,517,15.96,16.01,32.29,0.4085,0.4085,0.0193,0.1638
21,517,17.56,17.98,28.76,0.3980,0.3980,0.0159,0.1881
22,517,18.84,19.72,26.22,0.3998,0.3998,0.0194,0.1810
23,517,20.41,21.6,23.94,0.4243,0.4243,0.0171,0.1344
24,517.1,21.99,23.54,21.97,0.4372,0.4372,0.0119,0.1138
25,517.2,23.81,25.63,20.18,0.4382,0.4383,0.0118,0.1116
26,517.3,25.86,28.29,18.29,0.3995,0.3995,0.0166,0.1843
27,517.4,28.41,31.11,16.63,0.4076,0.4077,0.0207,0.1640
28,517.5,31.17,34.44,15.03,0.3868,0.3868,0.0186,0.2078
29,518,34.02,37.94,13.65,0.4060,0.4060,0.0198,0.1683
30,516.1,37.99,42.37,12.18,0.3435,0.3436,0.0328,0.2801
31,143.3,149.2,145.7,0.9834,0.3552,0.3552,0.0183,0.2713
