class,cos_with_bos_dir,rel_err,energy_share_on_bos_dir
bos,-0.9792,0.0813,0.9588
tpl,-0.2650,1.1453,0.5195
rest,-0.7440,0.4972,0.5641
pos2,0.3769,0.3117,nan
pos3,-0.8246,0.6303,nan
pos4,0.8999,3.8478,nan
pos5,-0.9323,1.2941,nan
pos6,-0.5494,0.3302,nan
pos7,-0.5604,0.4576,nan
prompt_newline(n=80),-0.3178,0.6266,nan
prompt_ordinary(n=1092),-0.3162,0.6164,nan
prompt_template(n=64),-0.0077,1.3350,nan
resp_newline(n=20),0.2467,0.4050,nan
resp_ordinary(n=1919),-0.1771,0.3355,nan
resp_template(n=1),0.9680,2.7723,nan
"overlap_q1(n=632,tpl_frac=0.12)",nan,0.7805,0.0343
"overlap_q2(n=632,tpl_frac=0.08)",nan,0.6175,0.0765
"overlap_q3(n=632,tpl_frac=0.01)",nan,0.6208,0.1078
"overlap_q4(n=632,tpl_frac=0.00)",nan,0.5557,0.1455
"overlap_q5(n=632,tpl_frac=0.03)",nan,1.7644,12.3965
"pearson(|x0.x_t|,||e_t||) linear=0.977 log=0.313 n=3160",0.9773,0.3130,nan
