layer,bos_norm,tpl_norm,rest_norm,bos_over_rest,att_bos,att_p1,att_tpl,att_rest
0,11.77,1.401,1.062,11.08,0.2707,0.2704,0.0446,0.4143
1,531,1.736,1.442,368.3,0.4245,0.4244,0.0104,0.1407
2,531,2.611,2.174,244.3,0.4549,0.4549,0.0079,0.0822
3,531,3.452,2.98,178.2,0.4324,0.4324,0.0095,0.1256
4,531,4.246,3.871,137.2,0.3988,0.3987,0.0149,0.1875
5,531,4.934,4.572,116.1,0.3891,0.3891,0.0178,0.2040
6,531,5.754,5.191,102.3,0.3615,0.3615,0.0219,0.2550
7,531.1,6.7,5.878,90.35,0.3378,0.3378,0.0244,0.3000
8,531.1,7.115,6.351,83.63,0.3345,0.3345,0.0253,0.3057
9,531.2,7.406,6.826,77.82,0.3268,0.3268,0.0247,0.3218
10,534.6,7.527,7.157,74.7,0.3517,0.3517,0.0209,0.2756
11,534.6,7.677,7.287,73.37,0.3229,0.3229,0.0263,0.3279
12,534.6,8.116,7.93,67.42,0.3028,0.3028,0.0228,0.3717
13,534.6,8.447,8.256,64.75,0.3311,0.3311,0.0265,0.3113
14,534.6,8.86,8.664,61.7,0.3330,0.3330,0.0247,0.3093
15,534.5,9.327,9.337,57.24,0.3533,0.3533,0.0238,0.2696
16,534.4,10.24,10.52,50.79,0.3795,0.3795,0.0165,0.2245
17,534.4,11.43,11.6,46.08,0.3841,0.3841,0.0152,0.2166
18,534.3,13.12,12.71,42.02,0.4263,0.4263,0.0109,0.1366
19,534.3,14.31,13.69,39.03,0.4284,0.4284,0.0146,0.1286
20,534.3,15.68,14.74,36.25,0.4179,0.4179,0.0179,0.1463
21,534.3,17.6,16.34,32.69,0.4126,0.4126,0.0136,0.1612
22,534.3,19.07,17.77,30.07,0.4165,0.4165,0.0164,0.1507
23,534.3,20.84,19.53,27.36,0.4354,0.4354,0.0140,0.1153
24,534.3,22.56,21.14,25.28,0.4364,0.4364,0.0148,0.1124
25,534.4,24.43,23,23.23,0.4373,0.4373,0.0149,0.1105
26,534.5,26.19,25.18,21.23,0.4025,0.4025,0.0194,0.1756
27,534.6,28.7,27.7,19.3,0.4135,0.4136,0.0183,0.1546
28,534.7,30.99,30.43,17.57,0.3859,0.3860,0.0172,0.2108
29,535.1,33.71,33.87,15.8,0.4056,0.4056,0.0186,0.1702
30,532.9,36.75,37.84,14.08,0.3318,0.3318,0.0338,0.3026
31,142.9,142.9,143,0.9993,0.3351,0.3351,0.0181,0.3117
