layer,bos_norm,tpl_norm,rest_norm,bos_over_rest,att_bos,att_p1,att_tpl,att_rest
0,5.444,0.2735,0.264,20.62,0.3466,0.3460,0.0704,0.2370
1,213.4,0.5808,0.6607,323.1,0.4132,0.4133,0.0296,0.1439
2,213.4,0.8193,0.8631,247.3,0.4306,0.4309,0.0467,0.0917
3,213.4,1.09,1.063,200.8,0.4233,0.4238,0.0406,0.1123
4,213.4,1.36,1.321,161.6,0.4142,0.4145,0.0512,0.1201
5,213.4,1.663,1.589,134.3,0.3978,0.3981,0.0564,0.1477
6,213.5,2.079,1.916,111.4,0.3736,0.3738,0.0684,0.1842
7,213.5,2.372,2.243,95.16,0.3489,0.3490,0.0739,0.2283
8,213.5,2.746,2.521,84.68,0.3465,0.3467,0.0669,0.2399
9,213.5,3.169,2.825,75.6,0.3461,0.3462,0.0804,0.2274
10,213.6,3.523,3.162,67.55,0.2993,0.2994,0.0998,0.3016
11,213.6,3.838,3.542,60.3,0.3222,0.3223,0.0870,0.2684
12,213.6,4.077,3.841,55.61,0.3289,0.3289,0.0819,0.2603
13,213.6,4.471,4.276,49.96,0.2774,0.2775,0.0999,0.3451
14,212.6,5.094,4.844,43.9,0.3206,0.3207,0.0827,0.2759
15,212.6,5.692,5.452,39,0.3142,0.3143,0.0982,0.2734
16,212.7,6.428,6.141,34.63,0.3042,0.3043,0.1067,0.2848
17,212.7,7.552,6.973,30.5,0.3109,0.3111,0.0762,0.3018
18,212.7,8.525,8.039,26.46,0.3114,0.3115,0.1128,0.2643
19,215.5,10.04,9.452,22.8,0.3195,0.3197,0.0978,0.2630
20,215.5,11.48,10.67,20.2,0.3526,0.3527,0.0720,0.2227
21,215.5,12.76,11.76,18.32,0.3803,0.3805,0.0588,0.1805
22,215.5,14.09,12.83,16.8,0.4017,0.4019,0.0548,0.1416
23,215.6,15.25,14.01,15.39,0.3851,0.3854,0.0597,0.1697
24,215.6,16.27,15.09,14.28,0.3942,0.3944,0.0507,0.1608
25,215.6,17.25,16.27,13.25,0.3999,0.4002,0.0486,0.1512
26,215.6,18.05,17.41,12.38,0.3862,0.3865,0.0710,0.1563
27,214.6,19.38,18.96,11.32,0.3865,0.3869,0.0588,0.1678
28,213.7,21.11,20.88,10.24,0.3459,0.3462,0.0715,0.2363
29,215.1,24.03,24.05,8.944,0.3513,0.3516,0.0734,0.2238
30,183.5,26.45,26.37,6.958,0.3430,0.3433,0.0744,0.2393
31,348,371.9,362.3,0.9606,0.2933,0.2935,0.1314,0.2818
