layer,bos_norm,tpl_norm,rest_norm,bos_over_rest,att_bos,att_p1,att_tpl,att_rest
0,45.28,1.912,30.13,1.503,0.1282,0.1307,0.1527,0.5884
1,45.47,2.74,30.9,1.472,0.3132,0.3134,0.0273,0.3461
2,828.1,4.132,40,20.7,0.3012,0.3017,0.0386,0.3585
3,828.2,5.881,41.54,19.94,0.3770,0.3767,0.0332,0.2131
4,828.2,7.489,43.15,19.2,0.3482,0.3478,0.0415,0.2625
5,828.3,9.264,44.8,18.49,0.3443,0.3440,0.0462,0.2654
6,828.4,10.82,46.26,17.9,0.3251,0.3247,0.0574,0.2928
7,832.6,12.79,47.67,17.47,0.3101,0.3096,0.0635,0.3168
8,836.9,13.85,49.11,17.04,0.3064,0.3060,0.0758,0.3118
9,879.8,14.86,52.62,16.72,0.2787,0.2784,0.0775,0.3655
10,887.5,16.37,54.31,16.34,0.2660,0.2657,0.0874,0.3809
11,895.3,16.19,55.47,16.14,0.2862,0.2860,0.0878,0.3399
12,895.3,19.92,57.62,15.54,0.2840,0.2837,0.0827,0.3495
13,895.4,37.14,59.51,15.05,0.2972,0.2969,0.0845,0.3214
14,895.4,40.02,60.32,14.84,0.3253,0.3251,0.0574,0.2922
15,895.5,40.69,61.41,14.58,0.2645,0.2643,0.0771,0.3941
16,895.5,43.65,63.59,14.08,0.2655,0.2653,0.0755,0.3937
17,891.7,45.46,65.71,13.57,0.2248,0.2245,0.0914,0.4593
18,891.8,48.25,69.58,12.82,0.2737,0.2734,0.0638,0.3890
19,891.7,50.45,72.69,12.27,0.3156,0.3154,0.0697,0.2992
20,903,53.3,76.38,11.82,0.3136,0.3134,0.0591,0.3139
21,903,56.01,78.99,11.43,0.3277,0.3275,0.0419,0.3029
22,903,60.53,83.82,10.77,0.3437,0.3435,0.0445,0.2683
23,903,65.47,88.99,10.15,0.3375,0.3374,0.0573,0.2678
24,899.2,70.24,95.57,9.409,0.3281,0.3279,0.0603,0.2837
25,899.2,64,100.6,8.939,0.3593,0.3592,0.0523,0.2292
26,899.3,68.53,106.3,8.462,0.3842,0.3840,0.0369,0.1949
27,899.3,72.04,109.7,8.201,0.3936,0.3935,0.0323,0.1806
28,899.3,75.7,114.5,7.851,0.3702,0.3700,0.0398,0.2200
29,903,82.81,121.6,7.429,0.3869,0.3867,0.0342,0.1922
30,903.1,87.38,126.2,7.155,0.3741,0.3739,0.0343,0.2176
31,903.1,92.85,133.1,6.787,0.3482,0.3478,0.0413,0.2627
32,903.1,99.45,139.7,6.464,0.3826,0.3824,0.0395,0.1954
33,903.1,104.8,145.9,6.189,0.3674,0.3672,0.0343,0.2310
34,899.3,113.9,154.9,5.806,0.3486,0.3485,0.0457,0.2571
35,891.9,126.5,166.8,5.346,0.3732,0.3730,0.0428,0.2110
36,876.6,133.6,173.8,5.044,0.3167,0.3166,0.0708,0.2959
37,805.5,156.3,196.7,4.095,0.2794,0.2794,0.0474,0.3939
38,366,200,235.3,1.556,0.3228,0.3228,0.0633,0.2910
39,419.5,425.9,409.2,1.025,0.1903,0.1908,0.1109,0.5080
