layer,bos_norm,tpl_norm,rest_norm,bos_over_rest,att_bos,att_p1,att_tpl,att_rest
0,12.63,15.12,12.41,1.018,0.0060,0.0046,0.1309,0.8586
1,72.54,23.07,17.35,4.18,0.0092,0.0104,0.1661,0.8143
2,135,28.15,22.35,6.039,0.0046,0.0050,0.2298,0.7606
3,218.5,1628,26.61,8.212,0.0062,0.0023,0.1453,0.8462
4,277.3,2066,30.88,8.981,0.0010,0.0005,0.7560,0.2425
5,368,2097,34.6,10.64,0.0005,0.0054,0.7671,0.2270
6,338.1,2132,40.57,8.334,0.0015,0.0051,0.6395,0.3539
7,318.6,2155,47.3,6.735,0.0005,0.0126,0.5962,0.3906
8,308.6,2178,54.11,5.704,0.0003,0.0059,0.6741,0.3196
9,300.1,2218,56.04,5.356,0.0004,0.0060,0.5890,0.4047
10,286.6,2232,59.91,4.785,0.0004,0.0024,0.6123,0.3850
11,275.2,2279,62.75,4.385,0.0002,0.0039,0.6046,0.3913
12,264.6,2308,64.84,4.08,0.0003,0.0037,0.6126,0.3834
13,255.7,2322,69.42,3.683,0.0005,0.0040,0.5304,0.4651
14,246.4,2328,71.64,3.439,0.0002,0.0070,0.6587,0.3341
15,239.7,2334,76.85,3.119,0.0007,0.0068,0.6069,0.3856
16,235.6,2333,77.05,3.058,0.0004,0.0112,0.5990,0.3895
17,233.5,2336,80.04,2.917,0.0004,0.0063,0.6780,0.3153
18,228.5,2339,86.96,2.628,0.0008,0.0048,0.5134,0.4810
19,234.8,2345,96.57,2.431,0.0005,0.0046,0.5489,0.4460
20,236.5,2343,112.5,2.101,0.0004,0.0032,0.5864,0.4101
21,242.6,2357,134.6,1.802,0.0003,0.0042,0.5839,0.4116
22,256.2,2380,161.7,1.584,0.0003,0.0049,0.7425,0.2523
23,285.9,2405,201.6,1.418,0.0002,0.0030,0.6661,0.3307
24,340.3,2425,249.8,1.362,0.0002,0.0020,0.6765,0.3213
25,372.1,2436,302.5,1.23,0.0003,0.0046,0.6038,0.3914
26,443.3,1047,381.9,1.161,0.0001,0.0014,0.6889,0.3096
27,243.8,289.9,289.3,0.8428,0.0006,0.0037,0.5390,0.4568
