layer,bos_norm,tpl_norm,rest_norm,bos_over_rest,att_bos,att_p1,att_tpl,att_rest
0,34.41,19.35,16.39,2.1,0.0040,0.0081,0.1486,0.8393
1,61.62,29.53,24.24,2.542,0.0370,0.0180,0.2541,0.6909
2,136.3,35.51,28.45,4.789,0.0678,0.0135,0.2295,0.6893
3,148.8,39.96,32.41,4.592,0.1649,0.0095,0.2092,0.6164
4,208.7,46.18,38.53,5.415,0.1776,0.0092,0.2173,0.5958
5,227.2,51.99,44.62,5.092,0.2860,0.0046,0.1541,0.5552
6,1.342e+04,55.6,49.43,271.5,0.2776,0.0049,0.1547,0.5628
7,1.361e+04,62.41,56.48,241,0.7646,0.0019,0.0427,0.1909
8,1.361e+04,70.72,64.86,209.8,0.7408,0.0024,0.0365,0.2203
9,1.367e+04,82.59,75.39,181.4,0.7319,0.0057,0.0395,0.2228
10,1.367e+04,91.21,82.72,165.3,0.6755,0.0024,0.0400,0.2821
11,1.374e+04,98.12,88.68,154.9,0.6250,0.0049,0.0550,0.3151
12,1.38e+04,102.6,91.86,150.2,0.6830,0.0044,0.0560,0.2566
13,1.38e+04,107.5,94.67,145.8,0.6349,0.0046,0.0578,0.3027
14,1.38e+04,114.3,101.1,136.5,0.5815,0.0045,0.0612,0.3527
15,1.38e+04,120.8,107,129,0.5781,0.0036,0.0684,0.3499
16,1.38e+04,134.3,115.5,119.5,0.5328,0.0063,0.0737,0.3873
17,1.38e+04,136.9,123.3,111.9,0.5416,0.0079,0.0836,0.3669
18,1.38e+04,143.3,128.1,107.8,0.5886,0.0065,0.0729,0.3319
19,1.515e+04,147.1,431.6,35.11,0.5503,0.0063,0.0713,0.3722
20,1.522e+04,176,454.8,33.46,0.6023,0.0060,0.0625,0.3292
21,1.522e+04,184,465.3,32.7,0.5714,0.0073,0.0828,0.3385
22,1.522e+04,192.3,480.3,31.68,0.5415,0.0044,0.0737,0.3804
23,1.522e+04,218,499.9,30.44,0.6999,0.0052,0.0460,0.2489
24,1.522e+04,221.2,506.8,30.03,0.6265,0.0054,0.0568,0.3114
25,1.522e+04,243.8,530.6,28.68,0.6040,0.0062,0.0629,0.3269
26,1.522e+04,276.9,566.8,26.85,0.6949,0.0035,0.0502,0.2514
27,1.522e+04,315.4,605.6,25.13,0.6409,0.0031,0.0425,0.3134
28,1.522e+04,354.5,647.4,23.51,0.7694,0.0041,0.0368,0.1897
29,1.522e+04,412.7,705.4,21.57,0.7908,0.0018,0.0258,0.1816
30,1.522e+04,485.9,779.7,19.52,0.7820,0.0022,0.0241,0.1917
31,1.522e+04,555.8,858.9,17.72,0.7498,0.0032,0.0368,0.2103
32,1.522e+04,645.3,953.9,15.95,0.8190,0.0024,0.0263,0.1522
33,1.521e+04,726.4,1045,14.56,0.8200,0.0026,0.0263,0.1510
34,1.521e+04,820.7,1141,13.34,0.8679,0.0042,0.0225,0.1054
35,1.521e+04,931.3,1261,12.07,0.8801,0.0023,0.0182,0.0993
36,1.515e+04,1059,1392,10.88,0.8029,0.0055,0.0302,0.1614
37,1.489e+04,1261,1592,9.355,0.8163,0.0038,0.0270,0.1529
38,1.349e+04,1731,1780,7.576,0.7088,0.0128,0.0438,0.2345
39,51.47,183.5,174.8,0.2945,0.5308,0.0154,0.0526,0.4012
