layer,bos_norm,tpl_norm,rest_norm,bos_over_rest,att_bos,att_p1,att_tpl,att_rest
0,12.19,1.166,1.053,11.57,0.5278,0.0060,0.0838,0.3825
1,496.2,1.778,1.599,310.4,0.7370,0.0046,0.0483,0.2101
2,496.2,2.428,2.305,215.3,0.8998,0.0013,0.0175,0.0814
3,496.2,3.172,3.102,160,0.8369,0.0016,0.0221,0.1394
4,496.2,3.916,3.919,126.6,0.7756,0.0023,0.0293,0.1928
5,496.2,4.513,4.597,108,0.7353,0.0026,0.0382,0.2239
6,496.3,5.151,5.205,95.35,0.6785,0.0022,0.0330,0.2863
7,496.3,5.62,5.871,84.53,0.6098,0.0028,0.0554,0.3321
8,496.4,6.126,6.283,79,0.6003,0.0053,0.0528,0.3416
9,496.4,6.466,6.828,72.7,0.6091,0.0057,0.0546,0.3306
10,499.9,6.564,7.163,69.79,0.6505,0.0056,0.0447,0.2991
11,499.9,6.888,7.378,67.75,0.5852,0.0077,0.0679,0.3392
12,499.9,7.494,8.215,60.85,0.5500,0.0058,0.0454,0.3988
13,499.9,8.026,8.791,56.86,0.5648,0.0125,0.0580,0.3647
14,499.8,8.335,9.194,54.36,0.5790,0.0097,0.0468,0.3645
15,499.7,9.115,10.03,49.81,0.6480,0.0056,0.0366,0.3098
16,499.7,10.33,11.18,44.68,0.6858,0.0042,0.0360,0.2740
17,499.6,11.5,12.4,40.29,0.7239,0.0030,0.0314,0.2416
18,499.6,12.92,13.74,36.35,0.7980,0.0028,0.0225,0.1767
19,499.6,13.94,14.9,33.53,0.8349,0.0018,0.0203,0.1429
20,499.6,15.26,16.22,30.8,0.8213,0.0020,0.0188,0.1578
21,499.6,17.27,18.29,27.31,0.7806,0.0023,0.0187,0.1984
22,499.6,18.83,20.15,24.79,0.8119,0.0020,0.0221,0.1641
23,499.6,20.7,22.23,22.48,0.8652,0.0012,0.0161,0.1175
24,499.6,22.4,24.2,20.65,0.8735,0.0017,0.0153,0.1095
25,499.8,24.28,26.25,19.04,0.8763,0.0010,0.0139,0.1088
26,499.9,26.27,29.07,17.2,0.7887,0.0018,0.0237,0.1858
27,500,29.27,31.68,15.78,0.8337,0.0021,0.0217,0.1425
28,500.1,32.1,35.12,14.24,0.7645,0.0013,0.0169,0.2174
29,500.7,35.75,38.68,12.95,0.8162,0.0022,0.0194,0.1622
30,503.4,40.77,42.97,11.72,0.6887,0.0021,0.0277,0.2815
31,143.2,140.1,147.1,0.9739,0.6764,0.0012,0.0183,0.3041
