layer,proj,quantizer,rows,cols,n_dead_cols,clip_frac,clip_frac_rtn,comp_disp,comp_disp_rel,wdisp_gptq,wdisp_rtn,obj_gptq,obj_rtn,obj_gptq_alt,obj_rtn_alt,hdiag_alt_corr,send_total,send_top1pct,send_top16_cols,hdiag_max_over_mean,cond_damped,awq_alpha,obj_awq,obj_awq_alt,protected,obj_gptq_tpl,obj_rtn_tpl,obj_gptq_ord,obj_rtn_ord,tplpos_ratio,lev_tpl,lev_ord,levpos,xnorm_tpl,xnorm_ord,xnormpos,tplpos_err_gptq,tplpos_err_rtn,p4_toprow_gptq,p4_toprow_share_gptq,p4_toprow_rtn,p4_toprow_share_rtn,p4_topcols,p4_topcols_share_gptq,p4_topcols_zero_gptq,p4_topcols_zero_rtn,p4_topcols_wnorm,p4_topcols_x,p4_toprow_w,p4_toprow_qg,p4_toprow_qr,p4_toprow_maxw,p4_toprow_maxqg,p4_toprow_nclip,p4_toprow_err_g,p4_toprow_err_r
0,q_proj,gptq,4096,4096,0,0.0019865036010742188,0.0014728307723999023,903.1175784147165,0.1708892374922888,1246.2823486328125,429.3394775390625,12.011056900024414,79.77983093261719,40.71765899658203,67.8072738647461,0.9759677648544312,865.83544921875,0.3410434126853943,"3303,2871,2650,891,1669,565,2646,162,194,2082,3608,2333,1384,4055,87,2877",769.74951171875,,,,,0,36.53434371948242,28.581077575683594,7.392757415771484,38.474002838134766,"6.231,6.231,2.314,0.708,0.558,0.680,0.046,0.219",700.77392578125,732.8267211914062,"192.7,192.7,20.21,1704,650.6,1648,281,916.7",7.371535301208496,8.685995101928711,"6.122,6.122,0.6339,9.278,8.946,9.119,9.574,9.177","10.39,10.39,0.4202,4.197,5.601,4.117,1.548,2.822","4.161,4.161,0.2762,4.986,7.495,4.992,7.182,6.033",295,0.03230445459485054,360,0.019573841243982315,"2871,2650,1421,1727,1669,663,3303,3183",1.2124316692352295,0.22064208984375,0.16485595703125,"5.17,4.86,3.41,3.34,3.31,2.64,4.78,3.04","5.16,4.38,2.41,1.94,1.78,1.72,1.54,1.51","-0.676,-0.516,0.289,-0.396,-0.0781,0.174,0.633,-0.165","-0.579,-0.579,0.193,-0.579,0,0.386,0.579,-0.193","-0.579,-0.589,0.31,-0.34,-0.113,0.188,0.542,-0.129",0.67578125,0.5792410969734192,10,1.006747841835022,0.48077887296676636
0,k_proj,gptq,1024,4096,0,0.0020151138305664062,0.0014576911926269531,616.9614354609648,0.22134365057493025,817.5629272460938,254.98321533203125,8.284964561462402,34.91912841796875,30.996675491333008,30.797367095947266,0.9759677648544312,595.2877197265625,0.36766916513442993,"3303,2871,2650,891,1669,2646,565,162,194,2082,3608,4055,1384,133,87,2333",769.74951171875,,,,,0,29.095043182373047,14.798562049865723,5.115471839904785,16.5022029876709,"5.449,5.449,3.033,0.847,0.990,0.992,0.077,0.338",700.77392578125,732.8267211914062,"192.7,192.7,20.21,1704,650.6,1648,281,916.7",7.371535301208496,8.685995101928711,"6.122,6.122,0.6339,9.278,8.946,9.119,9.574,9.177","9.499,9.499,0.3522,3.481,4.64,3.376,1.284,2.338","4.07,4.07,0.2023,3.782,4.664,3.39,4.636,4.022",295,0.0558154433965683,807,0.05800033360719681,"2871,2650,1421,1727,1669,663,3303,3183",1.2630627155303955,0.304443359375,0.185546875,"3.08,2.7,1.83,2.39,2.21,2.15,4.8,1.54","5.16,4.38,2.41,1.94,1.78,1.72,1.54,1.51","0.758,0.562,-0.176,0.121,0.189,-0.0981,-0.508,0.221","0.65,0.433,0,0.217,0.433,-0.217,-0.65,0.217","0.65,0.482,-0.171,0.108,0.162,-0.0804,-0.435,0.189",0.7578125,0.6495535969734192,2,1.0962672233581543,1.096632719039917
0,v_proj,gptq,1024,4096,0,0.001962900161743164,0.0014333724975585938,4.34898359847365,0.02337461777207232,16.340198516845703,14.388504028320312,0.06030827388167381,0.41465872526168823,0.08765055239200592,0.30784285068511963,0.9759677648544312,4.323942184448242,0.08178416639566422,"3303,2871,2650,891,1669,565,2646,162,194,2333,3608,133,2082,87,1384,4055",769.74951171875,,,,,0,0.05130648985505104,0.1304348111152649,0.03381730616092682,0.18408572673797607,"6.964,6.964,0.729,0.341,0.389,0.315,0.073,0.203",700.77392578125,732.8267211914062,"192.7,192.7,20.21,1704,650.6,1648,281,916.7",7.371535301208496,8.685995101928711,"6.122,6.122,0.6339,9.278,8.946,9.119,9.574,9.177","0.2601,0.2601,0.03117,0.2946,0.2275,0.2848,0.1111,0.2054","0.09856,0.09856,0.03651,0.5046,0.3647,0.5079,0.4113,0.4561",58,0.02211357280611992,515,0.01091468334197998,"2871,2650,1421,1727,1669,663,3303,3183",0.7799080014228821,0.546142578125,0.858154296875,"0.0303,0.0498,0.107,0.061,0.0793,0.0814,0.0361,0.146","5.16,4.38,2.41,1.94,1.78,1.72,1.54,1.51","-0.000706,0.00246,0.00307,0.000561,0.00322,-0.00249,-0.000115,-0.0047","0,0,0,0,0.00991,0,0,-0.00991","0,0,0.00438,0,0.00351,-0.00392,0,-0.00722",0.044677734375,0.03939153999090195,1,0.033826932311058044,0.019751064479351044
0,o_proj,gptq,4096,4096,0,0.0021005868911743164,0.0014626383781433105,47.44598351053207,0.05118495311219487,116.49093627929688,59.22711181640625,0.0037183836102485657,0.01051205862313509,0.004933674819767475,0.007761206943541765,0.68832927942276,47.309261322021484,0.12125494331121445,"272,3129,1341,1311,386,314,383,285,372,511,1289,263,357,413,258,255",75.92020416259766,,,,,0,0.0015985331265255809,0.003060231450945139,0.0027258158661425114,0.004716053139418364,"0.118,0.118,0.218,0.394,0.901,1.007,0.591,0.477",1179.544677734375,2703.3564453125,"118.3,118.3,430.6,403.4,4068,1085,1764,1448",0.4311274290084839,0.5381929874420166,"0.3807,0.3807,0.2926,0.3578,0.4311,0.3958,0.6575,0.5528","0.01614,0.01614,0.01688,0.02772,0.05017,0.04758,0.06487,0.04717","0.04687,0.04687,0.03616,0.04413,0.05285,0.04741,0.08441,0.0683",133,0.06104414537549019,133,0.03184166178107262,"2468,387,131,127,511,313,1102,3",0.7059337496757507,0.364532470703125,0.37213134765625,"0.667,0.447,0.365,0.631,0.517,0.6,0.566,0.465","0.202,0.0869,0.0811,0.0684,0.0659,0.0649,0.0649,0.0645","-0.0179,0.0206,0.0245,0.0342,-0.138,0.0466,-0.103,-0.00586","0,0.105,0,0.105,-0.105,0.105,-0.0832,0","-0.0175,0.0405,0.0186,0.0266,-0.121,0.0513,-0.1,0",0.369140625,0.3164062798023224,4,0.01239665225148201,0.009430729784071445
0,gate_proj,gptq,14336,4096,0,0.0020680257252284457,0.001537919044494629,202.87501107106684,0.02577203089417723,678.0834350585938,488.20599365234375,5.095577239990234,11.494560241699219,9.33924674987793,12.09893798828125,0.5805651545524597,202.6679229736328,0.044894516468048096,"1669,1856,2871,3488,2461,29,2082,689,607,2888,3261,199,2283,541,3485,3475",21.233015060424805,,,,,0,4.267860412597656,6.524892807006836,4.1421098709106445,6.053492069244385,"0.042,0.042,0.668,1.265,1.377,1.002,0.359,0.607",3104.62744140625,2927.0244140625,"206.3,206.3,1451,7679,4360,6537,1448,2950",7.203222274780273,6.947052001953125,"7.893,7.893,4.774,8.192,5.819,8.66,6.877,7.518","0.5657,0.5657,1.388,3.258,2.37,3.007,1.444,2.053","2.745,2.745,1.698,2.896,2.02,3.005,2.41,2.635",8001,0.005839960183948278,12650,0.00561894103884697,"2871,2650,417,2978,1262,3183,1759,3745",0.11898230761289597,0.3596366047859192,0.3488072156906128,"1.47,1.56,1.29,1.35,1.3,1.49,1.32,1.53","0.93,0.793,0.773,0.703,0.691,0.645,0.641,0.625","0.0469,0.0928,-0.00507,0.00264,0.0356,-0.0815,0.0308,0.121","0,0.114,0,0,0,-0.114,0,0.114","0.0589,0.0921,0,0,0.034,-0.0656,0.0306,0.107",0.3984375,0.455357164144516,1,0.18113483488559723,0.0685197040438652
0,up_proj,gptq,14336,4096,0,0.00205510003226144,0.001503791127886091,156.9291295659094,0.024222955917110097,542.049072265625,388.6021728515625,4.183879852294922,9.05650520324707,7.32196044921875,9.509320259094238,0.5805651545524597,156.91561889648438,0.037109311670064926,"1669,1856,2871,3488,2461,2082,689,29,2888,199,3261,607,3475,2185,3522,541",21.233015060424805,,,,,0,3.3624563217163086,5.1172685623168945,3.311098575592041,4.762887001037598,"0.046,0.046,0.676,1.305,1.288,1.020,0.368,0.623",3104.62744140625,2927.0244140625,"206.3,206.3,1451,7679,4360,6537,1448,2950",7.203222274780273,6.947052001953125,"7.893,7.893,4.774,8.192,5.819,8.66,6.877,7.518","0.5245,0.5245,1.217,2.884,2.026,2.708,1.299,1.85","2.44,2.44,1.481,2.525,1.786,2.681,2.142,2.343",2060,0.0019893739372491837,927,0.0011864316184073687,"2871,2650,417,2978,1262,3183,1759,3745",0.10667027533054352,0.3611886203289032,0.3828822672367096,"1.26,1.18,1.24,1.05,1.23,0.946,1.25,1.24","0.93,0.793,0.773,0.703,0.691,0.645,0.641,0.625","-0.02,0.0171,0.00879,0.00571,0.00152,-0.00278,-0.0171,-0.00482","-0.0246,0.0123,0.0123,0.0123,0,0,-0.0123,0","-0.0167,0.0191,0.00977,0.00942,0,0,-0.0157,-0.00792",0.04296875,0.04179833084344864,1,0.09038298577070236,0.040998972952365875
0,down_proj,gptq,4096,14336,0,0.0020075866154261996,0.0014771904264177596,347.1808386942066,0.05384558791111666,757.130126953125,398.82501220703125,0.012848605401813984,0.0437791645526886,0.04548656940460205,0.36131030321121216,0.9987606406211853,345.78466796875,0.08559069037437439,"8268,491,2605,8001,3106,11579,13768,10002,12036,3024,7749,8733,9743,5647,8509,12130",3360.464599609375,,,,,0,0.02796662598848343,0.4593130350112915,0.017271142452955246,0.01863142102956772,"0.001,0.001,0.833,1.288,1.784,0.917,0.772,0.833",20778.404296875,13323.052734375,"209.8,209.8,5.699e+04,3.387e+04,2.251e+04,2.661e+04,1.066e+04,1.518e+04",3.1014888286590576,0.763643741607666,"9.164,9.164,1.81,1.138,0.7239,1.152,0.7697,0.8895","0.03185,0.03185,0.2824,0.2146,0.1647,0.1863,0.1197,0.1403","1.313,1.313,0.3095,0.1891,0.1233,0.1946,0.1363,0.1537",133,0.029764695093035698,291,0.029119204729795456,"4914,13336,2769,3683,7375,14013,8237,8045",0.6596120595932007,0.348358154296875,0.359710693359375,"0.646,0.662,0.682,0.653,0.664,0.662,0.528,0.657","0.414,0.207,0.142,0.123,0.121,0.117,0.117,0.111","0.0205,-0.0127,-0.0247,0.0203,-0.00418,-0.00363,-0.025,0.00235","0.0524,-0.0187,-0.0382,0.035,0,0,0,-0.0163","0.0148,-0.0149,-0.0353,0.0209,0,0,-0.0273,0",0.44921875,0.3850446343421936,1,0.028421103954315186,0.009726601652801037
1,q_proj,gptq,4096,4096,0,0.0020480751991271973,0.0014809370040893555,435.4648187949605,0.07669382749392238,785.601806640625,401.34405517578125,8.314821243286133,61.990631103515625,20.968936920166016,51.91839599609375,0.9269593954086304,433.41827392578125,0.19740936160087585,"3572,1935,1306,3829,1472,2345,2593,3490,1902,50,29,979,541,3405,3266,3261",89.66922760009766,,,,,0,10.992908477783203,22.18268585205078,7.242194175720215,28.465145111083984,"1.203,1.203,0.793,0.396,0.875,0.272,0.166,0.219",1422.532958984375,1306.5592041015625,"176.5,176.5,2067,2186,2741,1634,1003,1396",11.532735824584961,14.012048721313477,"4.59,4.59,13.37,13.84,13.45,14.24,14.14,14.05","2.897,2.897,4.224,3.224,4.866,2.855,2.204,2.497","2.641,2.641,4.744,5.121,5.201,5.476,5.417,5.329",2988,0.00820175465196371,3043,0.009405185468494892,"3104,2978,1935,3096,1472,264,3183,1421",0.2815227806568146,0.304718017578125,0.258148193359375,"1.73,1.68,1.86,1.62,1.51,1.91,1.66,1.53","3.17,2.88,2.61,2.56,2.17,1.95,1.83,1.76","0.0215,0.103,-0.0344,0.064,-0.00252,0.0171,0.0564,-0.00769","0,0.108,-0.0539,0.0539,0,0,0.0539,0","0,0.0883,-0.0444,0.0485,0,0,0.0485,0",0.1884765625,0.1968018114566803,1,0.4407116174697876,0.1790800839662552
1,k_proj,gptq,1024,4096,0,0.002101898193359375,0.0014579296112060547,264.1031782947746,0.0910814098516616,442.83685302734375,231.9679718017578,4.932642459869385,35.3403434753418,12.252382278442383,29.591100692749023,0.9269593954086304,262.83282470703125,0.2221655696630478,"3572,1935,3829,1472,2593,1306,2345,3490,1902,29,50,979,541,3266,3731,3261",89.66922760009766,,,,,0,5.998226642608643,12.066144943237305,4.3617095947265625,16.471759796142578,"1.354,1.354,0.806,0.365,0.945,0.313,0.186,0.236",1422.532958984375,1306.5592041015625,"176.5,176.5,2067,2186,2741,1634,1003,1396",11.532735824584961,14.012048721313477,"4.59,4.59,13.37,13.84,13.45,14.24,14.14,14.05","1.604,1.604,3.318,2.454,3.755,2.253,1.705,1.932","1.378,1.378,3.694,4.063,3.862,4.026,3.951,3.98",81,0.016066599637269974,295,0.02731054648756981,"3104,2978,1935,3096,1472,264,3183,1421",0.3030893802642822,0.2982177734375,0.228271484375,"1.46,1.52,1.43,1.35,1.38,1.43,1.31,1.1","3.17,2.88,2.61,2.56,2.17,1.95,1.83,1.76","-0.0486,-0.0352,-0.024,-0.0613,-0.0942,-0.171,0.0142,-0.00525","-0.0508,-0.0508,0,-0.0508,-0.102,-0.152,0.0508,0","-0.0329,-0.029,-0.0304,-0.0658,-0.0942,-0.146,0,0",0.177734375,0.2031250149011612,1,0.4759660065174103,0.10833969712257385
1,v_proj,gptq,1024,4096,0,0.00203704833984375,0.0014460086822509766,6.08640683146885,0.02403889374141539,21.009836196899414,15.264786720275879,0.14778275787830353,1.3314162492752075,0.24682402610778809,1.1006078720092773,0.9269593954086304,6.062056541442871,0.10571702569723129,"3572,1472,2822,1935,3829,3448,2578,2347,2345,3327,2058,3508,887,199,979,23",89.66922760009766,,,,,0,0.12460245937108994,0.4674456715583801,0.1041790246963501,0.6265950202941895,"0.706,0.706,0.342,0.256,0.539,0.198,0.128,0.168",1422.532958984375,1306.5592041015625,"176.5,176.5,2067,2186,2741,1634,1003,1396",11.532735824584961,14.012048721313477,"4.59,4.59,13.37,13.84,13.45,14.24,14.14,14.05","0.07068,0.07068,0.4521,0.4082,0.546,0.3626,0.2822,0.3264","0.0841,0.0841,0.7727,0.8072,0.744,0.8158,0.79,0.7959",817,0.019047630950808525,935,0.00934534426778555,"3104,2978,1935,3096,1472,264,3183,1421",0.11772352457046509,0.5003662109375,0.8167724609375,"0.0737,0.095,0.0551,0.081,0.0713,0.0872,0.107,0.0995","3.17,2.88,2.61,2.56,2.17,1.95,1.83,1.76","-0.00218,0.0054,-0.000172,0.00218,0.00211,0.0014,-0.00224,-0.00732","0,0.00771,0,0,0,0,-0.00771,-0.00771","0,0.00492,0,0,0,0,0,-0.00921",0.0284423828125,0.0308314748108387,1,0.07536028325557709,0.013174530118703842
